[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 1] For thine incorruptible spirit is in all things.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 2] Wherefore thou convictest by little and little them that fall from the right way, And, putting them in remembrance by the very things wherein they sin, dost thou admonish them, That escaping from their wickedness they may believe on thee, O Lord.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 3] For verily the old inhabitants of thy holy land,
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 4] Hating them because they practiced detestable works of enchantments and unholy rites
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 5] (Merciless slaughters of children, And sacrificial banquets of men’s flesh and of blood),
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 6] Confederates in an impious fellowship, And murderers of their own helpless babes, It was thy counsel to destroy by the hands of our fathers;
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 7] That the land which in thy sight is most precious of all lands Might receive a worthy colony of God’s servants.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 8] Nevertheless even these thou didst spare as being men, And thou sentest hornets as forerunners of thy host, To cause them to perish by little and little;
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 9] Not that thou wast unable to subdue the ungodly under the hand of the righteous in battle, Or by terrible beasts or by one stern word to make away with them at once;
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 10] But judging them by little and little thou gavest them a place of repentance, Not being ignorant that their nature by birth was evil, and their wickedness inborn, And that their manner of thought would in no wise ever be changed,
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 11] For they were a seed accursed from the beginning: Neither was it through fear of any that thou didst leave them then unpunished for their sins.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 12] For who shall say, What hast thou done? Or who shall withstand thy judgment? And who shall accuse thee for the perishing of nations which thou didst make? Or who shall come and stand before thee as an avenger for unrighteous men?
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 13] For neither is there any God beside thee that careth for all, That thou mightest show unto him that thou didst not judge unrighteously:
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 14] Neither shall king or prince be able to look thee in the face to plead for those whom thou hast punished.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 15] But being righteous thou rulest all things righteously, Deeming it a thing alien from thy power To condemn one that doth not himself deserve to be punished.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 16] For thy strength is the beginning of righteousness, And thy sovereignty over all maketh thee to forbear all.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 17] For when men believe not that thou art perfect in power, thou showest thy strength, And in dealing with them that know it thou puttest their boldness to confusion.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 18] But thou, being sovereign over thy strength, judgest in gentleness, And with great forbearance dost thou govern us; For the power is thine whensoever thou hast the will.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 19] But thou didst teach thy people by such works as these, How that the righteous must be a lover of men; And thou didst make thy sons to be of good hope, Because thou givest repentance when men have sinned.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 20] For if on them that were enemies of thy servants and due to death Thou didst take vengeance with so great heedfulness and indulgence, Giving them times and place whereby they might escape from their wickedness;
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 21] With how great carefulness didst thou judge thy sons, To whose fathers thou gavest oaths and covenants of good promises!
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 22] While therefore thou dost chasten us, thou scourgest our enemies ten thousand times more, To the intent that we may ponder thy goodness when we judge, And when we are judged may look for mercy.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 23] Wherefore also the unrighteous that lived in folly of life Thou didst torment through their own abominations.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 24] For verily they went astray very far in the ways of error, Taking as gods those animals which even among their enemies were held in dishonor, Deceived like foolish babes.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 25] Therefore, as unto unreasoning children, thou didst send thy judgment to mock them.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 26] But they that would not be admonished by a mocking correction as of children Shall have experience of a judgment worthy of God.
[ASV | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 27] For through the sufferings whereat they were indignant, Being punished in these creatures which they supposed to be gods, They saw, and recognized as the true God him whom before they refused to know: Wherefore also the last end of condemnation came upon them.
