[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 1] O God of the fathers, and Lord who keepest thy mercy, Who madest all things by thy word;
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 2] And by thy wisdom thou formedst man, That he should have dominion over the creatures that were made by thee,
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 3] And rule the world in holiness and righteousness, And execute judgment in uprightness of soul;
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 4] Give me wisdom, her that sitteth by thee on thy throne; And reject me not from among thy servants:
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 5] Because I am thy bondman and the son of thy handmaid, A man weak and short-lived, And of small power to understand judgment and laws.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 6] For even if a man be perfect among the sons of men, Yet if the wisdom that cometh from thee be not with him, he shall be held in no account.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 7] Thou didst choose me before my brethren to be king of thy people, And to do judgment for thy sons and daughters.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 8] Thou gavest command to build a sanctuary in thy holy mountain, And an altar in the city of thy habitation, A copy of the holy tabernacle which thou preparedst beforehand from the beginning.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 9] And with thee is wisdom, which knoweth thy works, And was present when thou wast making the world, And which understandeth what is pleasing in thine eyes, And what is right according to thy commandments.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 10] Send her forth out of the holy heavens, And from the throne of thy glory bid her come, That being present with me she may toil with me, And that I may learn what is well-pleasing before thee.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 11] For she knoweth all things and hath understanding thereof, And in my doings she shall guide me in ways of soberness, And she shall guard me in her glory.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 12] And so shall my works be acceptable, And I shall judge thy people righteously, And I shall be worthy of my father’s throne.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 13] For what man shall know the counsel of God? Or who shall conceive what the Lord willeth?
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 14] For the thoughts of mortals are timorous, And our devices are prone to fail.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 15] For a corruptible body weigheth down the soul, And the earthy frame lieth heavy on a mind that is full of cares.
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 16] And hardly do we divine the things that are on earth, And the things that are close at hand we find with labor; But the things that are in the heavens who ever yet traced out?
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 17] And who ever gained knowledge of thy counsel, except thou gavest wisdom, And sentest thy holy spirit from on high?
[ASV | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 18] And it was thus that the ways of them who are on earth were corrected, And men were taught the things that are pleasing unto thee; And through wisdom were they saved.
