[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 1] But for thy holy ones there was great light; And the Egyptians, hearing their voice but seeing not their form, Counted it a happy thing that they too had suffered,
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 2] Yet for that they do not hurt them now, though wronged by them before, they are thankful; And because they had been at variance with them, they made supplication to them.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 3] Whereas thou didst provide for thy people a burning pillar of fire, To be a guide for their unknown journey, And withal a kindly sun for their proud exile.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 4] For well did the Egyptians deserve to be deprived of light and imprisoned by darkness, They who had kept in close ward thy sons, Through whom the incorruptible light of the law was to be given to the race of men.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 5] After they had taken counsel to slay the babes of the holy ones, And when a single child had been cast forth and saved to convict them of their sin, Thou tookest away from them their multitude of children, And destroyedst all their host together in a mighty flood.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 6] Of that night were our fathers made aware beforehand, That, having sure knowledge, they might be cheered by the oaths which they had trusted:
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 7] So by thy people was expected salvation of the righteous and destruction of the enemies;
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 8] For as thou didst take vengeance on the adversaries, By the same means, calling us unto thyself, thou didst glorify us.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 9] For holy children of good men offered sacrifice in secret, And with one consent they took upon themselves the covenant of the divine law, That they would partake alike in the same good things and the same perils; The fathers already leading the sacred songs of praise.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 10] But there sounded back in discord the cry of the enemies, And a piteous voice of lamentation for children was borne abroad.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 11] And servant along with master punished with a like just doom, And commoner suffering the same as king,
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 12] Yea, all the people together, under one form of death, Had with them corpses without number; For the living were not sufficient even to bury them, Since at a single stroke their nobler offspring was consumed.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 13] For while they were disbelieving all things by reason of the enchantments, Upon the destruction of the firstborn they confessed the people to be God’s son.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 14] For while peaceful silence enwrapped all things, And night in her own swiftness was in midcourse,
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 15] Thine all-powerful word leaped from heaven out of the royal throne, A stern warrior, into the midst of the doomed land,
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 16] Bearing as a sharp sword thine unfeigned commandment; And standing it filled all things with death; And while it touched the heaven it trod upon the earth.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 17] Then forthwith apparitions in dreams terribly troubled them, And fears came upon them unlooked for.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 18] And each, one thrown here half dead, another there, Made manifest wherefore he was dying:
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 19] For the dreams, perturbing them, did foreshow this, That they might not perish without knowing why they were afflicted.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 20] But it befell the righteous also to make trial of death, And a multitude were stricken in the wilderness: Howbeit the wrath endured not for long.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 21] For a blameless man hasted to be their champion: Bringing the weapon of his own ministry, Even prayer and the propitiation of incense, He withstood the indignation, and set an end to the calamity, Showing that he was thy servant.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 22] And he overcame the anger, Not by strength of body, not by efficacy of weapons; But by word did he subdue the minister of punishment, By bringing to remembrance oaths and covenants made with the fathers.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 23] For when the dead were already fallen in heaps one upon another, Standing between he stopped the advancing wrath, And cut off the way to the living.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 24] For upon his long high-priestly robe was the whole world, And the glories of the fathers were upon the graving of the four rows of precious stones, And thy majesty was upon the diadem of his head.
[ASV | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 25] To these the destroyer gave place, and these the people feared; For it was enough only to make trial of the wrath.
