[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 1] For verily all men by nature were but vain who had no perception of God, And from the good things that are seen they gained not power to know him that is, Neither by giving heed to the works did they recognize the artificer;
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 2] But either fire, or wind, or swift air, Or circling stars, or raging water, or luminaries of heaven, They thought to be gods that rule the world.
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 3] And if it was through delight in their beauty that they took them to be gods, Let them know how much better than these is their Sovereign Lord; For the first author of beauty created them:
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 4] But if it was through astonishment at their power and influence, Let them understand from them how much more powerful is he that formed them;
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 5] For from the greatness of the beauty even of created things In like proportion doth man form the image of their first maker.
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 6] But yet for these men there is but small blame, For they too peradventure do but go astray While they are seeking God and desiring to find him.
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 7] For living among his works they make diligent search, And they yield themselves up to sight, because the things that they look upon are beautiful.
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 8] But again even they are not to be excused.
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 9] For if they had power to know so much, That they should be able to explore the course of things, How is it that they did not sooner find the Sovereign Lord of these his works?
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 10] But miserable were they, and in dead things were their hopes, Who called them gods which are works of men’s hands, Gold and silver, wrought with careful art, and likenesses of animals, Or a useless stone, the work of an ancient hand.
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 11] Yea and if some woodcutter, having sawn down a tree that is easily moved, Skillfully strippeth away all its bark, And fashioning it in comely form maketh a vessel useful for the service of life;
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 12] And burning the refuse of his handiwork to dress his food, eateth his fill;
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 13] And taking the very refuse thereof which served to no use, A crooked piece of wood and full of knots, Carveth it with the diligence of his idleness, And shapeth it by the skill of his indolence; Then he giveth it the semblance of the image of a man,
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 14] Or maketh it like some paltry animal, Smearing it with vermilion, and with paint coloring it red, And smearing over every stain that is therein;
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 15] And having made for it a chamber worthy of it, He setteth it in a wall, making it fast with iron.
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 16] While then he taketh thought for it that it may not fall down, Knowing that it is unable to help itself; (For verily it is an image, and hath need of help;)
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 17] When he maketh his prayer concerning goods and his marriage and children, He is not ashamed to speak to that which hath no life;
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 18] Yea for health he calleth upon that which is weak, And for life he beseecheth that which is dead, And for aid he supplicateth that which hath least experience. And for a good journey that which cannot so much as move a step,
[ASV | EN | OT | Wisdom of Solomon | Chapter 13 | Verse 19] And for gaining and getting and good success of his hands He asketh ability of that which with its hands is most unable.
