[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 1] Hear therefore, ye kings, and understand; Learn, ye judges of the ends of the earth:
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 2] Give ear, ye that have dominion over much people, And make your boast in multitudes of nations.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 3] Because your dominion was given you from the Lord, And your sovereignty from the Most High; Who shall search out your works, And shall make inquisition of your counsels:
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 4] Because being officers of his kingdom ye did not judge aright, Neither kept ye law, nor walked after the counsel of God.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 5] Terribly and swiftly shall he come upon you; Because a stern judgment befalleth them that be in high place:
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 6] For the man of low estate may be pardoned in mercy, But mighty men shall be searched out mightily.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 7] For the Sovereign Lord of all will not refrain himself for any man’s person, Neither will he reverence greatness; Because it is he that made both small and great, And alike he taketh thought for all;
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 8] But strict is the scrutiny that cometh upon the powerful.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 9] Unto you therefore, O princes, are my words, That ye may learn wisdom and fall not from the right way.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 10] For they that have kept holily the things that are holy shall themselves be hallowed; And they that have been taught them shall find what to answer;
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 11] Set your desire therefore on my words; Long for them, and ye shall be trained by their discipline.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 12] Wisdom is radiant and fadeth not away; And easily is she beheld of them that love her, And found of them that seek her.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 13] She forestalleth them that desire to know her, making herself first known.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 14] He that riseth up early to seek her shall have no toil, For he shall find her sitting at his gates.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 15] For to think upon her is perfectness of understanding, And he that watcheth for her sake shall quickly be free from care.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 16] Because she goeth about, herself seeking them that are worthy of her, And in their paths she appeareth unto them graciously, And in every purpose she meeteth them.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 17] For her true beginning is desire of discipline; And the care for discipline is love of her;
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 18] And love of her is observance of her laws; And to give heed to her laws confirmeth incorruption;
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 19] And incorruption bringeth near unto God;
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 20] So then desire of wisdom promoteth to a kingdom.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 21] If therefore ye delight in thrones and scepters, ye princes of peoples, Honor wisdom, that ye may reign forever.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 22] But what wisdom is, and how she came into being, I will declare, And I will not hide mysteries from you; But I will trace her out from the beginning of creation, And bring the knowledge of her into clear light, And I will not pass by the truth;
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 23] Neither indeed will I take pining envy for my companion in the way, Because envy shall have no fellowship with wisdom.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 24] But a multitude of wise men is salvation to the world, And an understanding king is tranquility to his people.
[ASV | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 25] Wherefore be disciplined by my words, and thereby shall ye profit.
