[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 1] Then shall the righteous man stand in great boldness Before the face of them that afflicted him, And them that make his labors of no account.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 2] When they see it, they shall be troubled with terrible fear, And shall be amazed at the marvel of God’s salvation.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 3] They shall say within themselves repenting, And for distress of spirit shall they groan, This was he whom aforetime we had in derision, And made a parable of reproach:
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 4] We fools accounted his life madness, And his end without honor:
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 5] How was he numbered among sons of God? And how is his lot among saints?
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 6] Verily we went astray from the way of truth, And the light of righteousness shined not for us, And the sun rose not for us.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 7] We took our fill of the paths of lawlessness and destruction, And we journeyed through trackless deserts, But the way of the Lord we knew not.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 8] What did our arrogancy profit us? And what good have riches and vaunting brought us?
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 9] Those things all passed away as a shadow, And as a message that runneth by:
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 10] As a ship passing through the billowy water, Whereof, when it is gone by, there is no trace to be found, Neither pathway of its keel in the billows:
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 11] Or as when a bird flieth through the air, No token of its passage is found, But the light wind, lashed with the stroke of its pinions, And rent asunder with the violent rush of the moving wings, is passed through, And afterward no sign of its coming is found therein:
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 12] Or as when an arrow is shot at a mark, The air disparted closeth up again immediately, So that men know not where it passed through:
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 13] So we also, as soon as we were born, ceased to be; And of virtue we had no sign to show, But in our wickedness we were utterly consumed.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 14] Because the hope of the ungodly man is as chaff carried by the wind, And as foam vanishing before a tempest; And is scattered as smoke is scattered by the wind, And passeth by as the remembrance of a guest that tarrieth but a day.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 15] But the righteous live forever, And in the Lord is their reward, And the care for them with the Most High.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 16] Therefore shall they receive the crown of royal dignity And the diadem of beauty from the Lord’s hand; Because with his right hand shall he cover them, And with his arm shall he shield them.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 17] He shall take his jealousy as complete armor, And shall make the whole creation his weapons for vengeance on his enemies:
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 18] He shall put on righteousness as a breastplate, And shall array himself with judgment unfeigned as with a helmet;
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 19] He shall take holiness as an invincible shield,
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 20] And he shall sharpen stern wrath for a sword: And the world shall go forth with him to fight against his insensate foes.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 21] Shafts of lightning shall fly with true aim, And from the clouds, as from a well drawn bow, shall they leap to the mark.
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 22] And as from an engine of war shall be hurled hailstones full of wrath; The water of the sea shall be angered against them, And rivers shall sternly overwhelm them;
[ASV | EN | OT | Wisdom of Solomon | Chapter 5 | Verse 23] A mighty blast shall encounter them, And as a tempest shall it winnow them away: And so shall lawlessness make all the land desolate, And their evildoing shall overturn the thrones of princes.
