[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 1] But she reacheth from one end of the world to the other with full strength, And ordereth all things graciously.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 2] Her I loved and sought out from my youth, And I sought to take her for my bride, And I became enamored of her beauty.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 3] She glorifieth her noble birth in that it is given her to live with God, And the Sovereign Lord of all loved her.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 4] For she is initiated into the knowledge of God, And she chooseth out for him his works.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 5] But if riches are a desired possession in life, What is richer than wisdom, which worketh all things?
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 6] And if understanding worketh, Who more than wisdom is an artificer of the things that are?
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 7] And if a man loveth righteousness, The fruits of wisdom’s labor are virtues, For she teacheth soberness and understanding, righteousness and courage; And there is nothing in life for men more profitable than these.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 8] And if a man longeth even for much experience, She knoweth the things of old, and divineth the things to come: She understandeth subtleties of speeches and interpretations of dark sayings: She foreseeth signs and wonders, and the issues of seasons and times.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 9] I determined therefore to take her unto me to live with me, Knowing that she is one who would give me good thoughts for counsel, And encourage me in cares and grief.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 10] Because of her I shall have glory among multitudes, And honor in the sight of elders, though I be young.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 11] I shall be found of a quick conceit when I give judgment, And in the presence of princes I shall be admired.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 12] When I am silent, they shall wait for me; And when I open my lips, they shall give heed unto me; And if I continue speaking, they shall lay their hand upon their mouth.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 13] Because of her I shall have immortality, And leave behind an eternal memory to them that come after me.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 14] I shall govern peoples, And nations shall be subjected to me.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 15] Dread princes shall fear me when they hear of me: Among my people I shall show myself a good ruler, and in war courageous.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 16] When I am come into my house, I shall find rest with her; For converse with her hath no bitterness, And to live with her hath no pain, but gladness and joy.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 17] When I considered these things in myself, And took thought in my heart how that in kinship unto wisdom is immortality,
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 18] And in her friendship is good delight, And in the labors of her hands is wealth that faileth not, And in assiduous communing with her is understanding, And great renown in having fellowship with her words, I went about seeking how to take her unto myself.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 19] Now I was a child of parts, and a good soul fell to my lot;
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 20] Nay rather, being good, I came into a body undefiled.
[ASV | EN | OT | Wisdom of Solomon | Chapter 8 | Verse 21] But perceiving that I could not otherwise possess wisdom except God gave her me (Yea and to know by whom the grace is given, this too came of understanding), I pleaded with the Lord and besought him, and with my whole heart I said,
