[GNV | EN | NT | Matthew | Chapter 13 | Verse 1] The same day went Iesus out of the house, and sate by the sea side.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 2] And great multitudes resorted vnto him, so that he went into a ship, and sate downe: and the whole multitude stoode on the shore.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 3] Then he spake many things to them in parables, saying, Behold, a sower went forth to sowe.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 4] And as he sowed, some fell by the way side, and the foules came and deuoured them vp.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 5] And some fell vpon stony grounde, where they had not much earth, and anon they sprong vp, because they had no depth of earth.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 6] And when the sunne was vp, they were parched, and for lacke of rooting, withered away.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 7] And some fell among thornes, and the thornes sprong vp, and choked them.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 8] Some againe fel in good ground, and brought forth fruite, one corne an hundreth folde, some sixtie folde, and another thirtie folde.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 9] He that hath eares to heare, let him heare.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 10] Then the disciples came, and said to him, Why speakest thou to them in parables?
[GNV | EN | NT | Matthew | Chapter 13 | Verse 11] And he answered, and said vnto them, Because it is giuen vnto you, to know the secretes of the kingdome of heauen, but to the it is not giue.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 12] For whosoeuer hath, to him shalbe giuen, and he shall haue abundance: but whosoeuer hath not, from him shalbe taken away, euen that he hath.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 13] Therefore speake I to them in parables, because they seeing, doe not see: and hearing, they heare not, neither vnderstand.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 14] So in them is fulfilled the prophecie of Esaias, which prophecie saieth, By hearing, ye shall heare, and shall not vnderstand, and seeing, ye shall see, and shall not perceiue.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 15] For this peoples heart is waxed fat, and their eares are dull of hearing, and with their eyes they haue winked, lest they should see with their eyes, and heare with their eares, and should vnderstand with their hearts, and should returne, that I might heale them.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 16] But blessed are your eyes, for they see: and your eares, for they heare.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 17] For verely I say vnto you, that many Prophets, and righteous men haue desired to see those things which ye see, and haue not seene them, and to heare those things which ye heare, and haue not heard them.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 18] Heare ye therefore ye parable of ye sower.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 19] Whensoeuer any man heareth the woorde of that kingdome, and vnderstandeth it not, that euil one commeth, and catcheth away that which was sowen in his heart: and this is he which hath receiued the seede by the way side.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 20] And hee that receiued seede in the stonie grounde, is he which heareth the woorde, and incontinently with ioy receiueth it,
[GNV | EN | NT | Matthew | Chapter 13 | Verse 21] Yet hath he no roote in himselfe, and dureth but a season: for assoone as tribulation or persecution commeth because of the woorde, by and by he is offended.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 22] And hee that receiued the seede among thornes, is hee that heareth the woorde: but the care of this worlde, and the deceitfulnesse of riches choke the word, and he is made vnfruitfull.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 23] But he that receiued the seede in the good ground, is he that heareth the worde, and vnderstandeth it, which also beareth fruite, and bringeth foorth, some an hundreth folde, some sixtie folde, and some thirtie folde.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 24] Another parable put hee foorth vnto them, saying, The kingdome of heauen is like vnto a man which sowed good seede in his fielde.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 25] But while men slept, there came his enemie, and sowed tares among the wheat, and went his waie.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 26] And when the blade was sprong vp, and brought forth fruite, then appeared the tares also.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 27] Then came the seruaunts of the housholder, and sayd vnto him, Master, sowedst not thou good seede in thy fielde? from whence then hath it tares?
[GNV | EN | NT | Matthew | Chapter 13 | Verse 28] And hee said to them, Some enuious man hath done this. Then the seruants saide vnto him, Wilt thou then that we go and gather them vp?
[GNV | EN | NT | Matthew | Chapter 13 | Verse 29] But he saide, Nay, lest while yee goe about to gather the tares, yee plucke vp also with them the wheat.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 30] Let both growe together vntill the haruest, and in time of haruest I will say to the reapers, Gather yee first the tares, and binde them in sheaues to burne them: but gather the wheate into my barne.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 31] Another parable he put foorth vnto them, saying, The kingdome of heauen is like vnto a graine of mustard seede, which a man taketh and soweth in his fielde:
[GNV | EN | NT | Matthew | Chapter 13 | Verse 32] Which in deede is the least of all seedes: but when it is growen, it is the greatest among herbes, and it is a tree, so that the birdes of heauen come and builde in the branches thereof.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 33] Another parable spake hee to them, The kingdome of heauen is like vnto leauen, which a woman taketh and hideth in three pecks of meale, till all be leauened.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 34] All these thinges spake Iesus vnto the multitude in parables, and without parables spake he not to them,
[GNV | EN | NT | Matthew | Chapter 13 | Verse 35] That it might be fulfilled, which was spoken by the Prophet, saying, I will open my mouth in parables, and will vtter the thinges which haue beene kept secrete from the foundation of the worlde.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 36] Then sent Iesus the multitude away, and went into the house. And his disciples came vnto him, saying, Declare vnto vs the parable of the tares of that fielde.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 37] Then answered he, and saide to them, He that soweth the good seede, is the Sonne of man.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 38] And the field is the worlde, and the good seede are the children of the kingdome, and the tares are the children of that wicked one.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 39] And the enemie that soweth them, is the deuill, and the haruest is the end of the worlde, and the reapers be the Angels.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 40] As then the tares are gathered and burned in ye fire, so shall it be in the end of this world.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 41] The Sonne of man shall send forth his Angels, and they shall gather out of his kingdom all things that offend, and them which doe iniquitie,
[GNV | EN | NT | Matthew | Chapter 13 | Verse 42] And shall cast them into a fornace of fire. There shalbe wailing and gnashing of teeth.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 43] Then shall the iust men shine as ye sunne in the kingdome of their Father. Hee that hath eares to heare, let him heare.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 44] Againe, the kingdom of heauen is like vnto a treasure hid in ye field, which when a man hath found, he hideth it, and for ioy thereof departeth and selleth all that he hath, and buieth that field.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 45] Againe, the kingdome of heauen is like to a marchant man, that seeketh good pearles,
[GNV | EN | NT | Matthew | Chapter 13 | Verse 46] Who hauing found a pearle of great price, went and solde all that he had, and bought it.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 47] Againe, the kingdom of heauen is like vnto a drawe net cast into the sea, that gathereth of all kindes of things.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 48] Which, when it is full, men draw to lande, and sit and gather the good into vessels, and cast the bad away.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 49] So shall it be at the end of the world. The Angels shall goe foorth, and seuer the bad from among the iust,
[GNV | EN | NT | Matthew | Chapter 13 | Verse 50] And shall cast them into a fornace of fire: there shalbe wailing, and gnashing of teeth.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 51] Iesus saide vnto them, Vnderstand yee all these things? They saide vnto him, Yea, Lord.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 52] Then sayd hee vnto them, Therefore euery Scribe which is taught vnto the kingdome of heauen, is like vnto an householder, which bringeth foorth out of his treasure things both newe and olde.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 53] And it came to passe, that when Iesus had ended these parables, he departed thence,
[GNV | EN | NT | Matthew | Chapter 13 | Verse 54] And came into his owne countrey, and taught them in their Synagogue, so that they were astonied, and saide, Whence commeth this wisdome and great woorkes vnto this man?
[GNV | EN | NT | Matthew | Chapter 13 | Verse 55] Is not this the carpenters sonne? Is not his mother called Marie, and his brethren Iames and Ioses, and Simon and Iudas?
[GNV | EN | NT | Matthew | Chapter 13 | Verse 56] And are not his sisters all with vs? Whence then hath he all these things?
[GNV | EN | NT | Matthew | Chapter 13 | Verse 57] And they were offended with him. Then Iesus said to them, A Prophet is not without honour, saue in his owne countrey, and in his owne house.
[GNV | EN | NT | Matthew | Chapter 13 | Verse 58] And he did not many great woorkes there, for their vnbeliefes sake.
