[GNV | EN | NT | Matthew | Chapter 3 | Verse 1] And in those dayes, Iohn the Baptist came and preached in the wildernes of Iudea,
[GNV | EN | NT | Matthew | Chapter 3 | Verse 2] And said, Repent: for the kingdome of heauen is at hand.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 3] For this is he of whome it is spoken by the Prophet Esaias, saying, The voyce of him that crieth in the wildernes, Prepare ye the way of the Lord: make his pathes straight.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 4] And this Iohn had his garment of camels heare, and a girdle of a skinne about his loynes: his meate was also locusts and wilde hony.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 5] Then went out to him Ierusalem and all Iudea, and all the region rounde about Iordan.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 6] And they were baptized of him in Iordan, confessing their sinnes.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 7] Now when he sawe many of the Pharises, and of the Sadduces come to his baptisme, he said vnto them, O generations of vipers, who hath forewarned you to flee from the anger to come?
[GNV | EN | NT | Matthew | Chapter 3 | Verse 8] Bring foorth therefore fruite worthy amendment of life.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 9] And thinke not to say with your selues, We haue Abraham to our father: for I say vnto you, that God is able euen of these stones to raise vp children vnto Abraham.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 10] And now also is the axe put to the roote of the trees: therfore euery tree which bringeth not forth good fruit, is hewen downe, and cast into ye fire.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 11] In deede I baptize you with water to amendment of life, but he that commeth after me, is mightier then I, whose shoes I am not worthie to beare: hee will baptize you with the holy Ghost, and with fire.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 12] Which hath his fanne in his hand, and wil make cleane his floore, and gather his wheate into his garner, but will burne vp the chaffe with vnquenchable fire.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 13] Then came Iesus from Galile to Iordan vnto Iohn, to be baptized of him.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 14] But Iohn earnestly put him backe, saying, I haue neede to be baptized of thee, and commest thou to me?
[GNV | EN | NT | Matthew | Chapter 3 | Verse 15] Then Iesus answering, saide to him, Let be nowe: for thus it becommeth vs to fulfill all righteousnes. So he suffered him.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 16] And Iesus when hee was baptized, came straight out of the water. And lo, the heaues were opened vnto him, and Iohn saw the Spirit of God descending like a doue, and lighting vpon him.
[GNV | EN | NT | Matthew | Chapter 3 | Verse 17] And loe, a voyce came from heauen, saying, This is my beloued Sonne, in whome I am well pleased.
