[GNV | EN | NT | Matthew | Chapter 22 | Verse 1] Then Iesus answered, and spake vnto them againe in parables, saying,
[GNV | EN | NT | Matthew | Chapter 22 | Verse 2] The kingdome of heauen is like vnto a certaine King which maried his sonne,
[GNV | EN | NT | Matthew | Chapter 22 | Verse 3] And sent foorth his seruants, to call them that were bidde to the wedding, but they woulde not come.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 4] Againe hee sent foorth other seruants, saying. Tell them which are bidden, Beholde, I haue prepared my dinner: mine oxen and my fatlings are killed, and all thinges are readie: come vnto the mariage.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 5] But they made light of it, and went their wayes, one to his farme, and another about his marchandise.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 6] And the remnant tooke his seruants, and intreated them sharpely, and slewe them.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 7] But when the King heard it, he was wroth, and sent foorth his warriers, and destroyed those murtherers, and burnt vp their citie.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 8] Then saide hee to his seruants, Truely the wedding is prepared: but they which were bidden, were not worthy.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 9] Go ye therefore out into the high wayes, and as many as ye finde, bid them to the mariage.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 10] So those seruantes went out into the hie wayes, and gathered together all that euer they found, both good and bad: so the wedding was furnished with ghestes.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 11] Then the King came in, to see the ghestes, and sawe there a man which had not on a wedding garment.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 12] And he sayd vnto him, Friend, how camest thou in hither, and hast not on a wedding garment? And he was speachlesse.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 13] Then sayd the King to the seruants, Binde him hand and foote: take him away, and cast him into vtter darkenes: there shalbe weeping and gnashing of teeth.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 14] For many are called, but fewe chosen.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 15] Then went the Pharises and tooke counsell how they might tangle him in talke.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 16] And they sent vnto him their disciples with the Herodians, saying, Master, we knowe that thou art true, and teachest the way of God truely, neither carest for any man: for thou considerest not the person of men.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 17] Tell vs therefore, how thinkest thou? Is it lawfull to giue tribute vnto Cesar, or not?
[GNV | EN | NT | Matthew | Chapter 22 | Verse 18] But Iesus perceiued their wickednes, and sayd, Why tempt ye me, ye hypocrites?
[GNV | EN | NT | Matthew | Chapter 22 | Verse 19] Shewe me the tribute money. And they brought him a peny.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 20] And he sayde vnto them, Whose is this image and superscription?
[GNV | EN | NT | Matthew | Chapter 22 | Verse 21] They sayd vnto him, Cesars. Then sayd he vnto them, Giue therefore to Cesar, the things which are Cesars, and giue vnto God, those things which are Gods.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 22] And when they heard it, they marueiled, and left him, and went their way.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 23] The same day the Sadduces came to him (which say that there is no resurrection) and asked him,
[GNV | EN | NT | Matthew | Chapter 22 | Verse 24] Saying, Master, Moses sayd, If a man die, hauing no children, his brother shall marie his wife by the right of alliance, and raise vp seede vnto his brother.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 25] Nowe there were with vs seuen brethren, and the first maried a wife, and deceased: and hauing none yssue, left his wife vnto his brother.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 26] Likewise also the second, and the third, vnto the seuenth.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 27] And last of all the woman died also.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 28] Therefore in the resurrection, whose wife shall she be of the seuen? for all had her.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 29] Then Iesus answered, and sayd vnto them, Ye are deceiued, not knowing the Scriptures, nor the power of God.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 30] For in the resurrection they neither marie wiues, nor wiues are bestowed in mariage, but are as the Angels of God in heauen.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 31] And concerning the resurrection of the dead, haue ye not read what is spoken vuto you of God, saying,
[GNV | EN | NT | Matthew | Chapter 22 | Verse 32] I am the God of Abraham, and the God of Isaac, and the God of Iacob? God is not the God of the dead, but of the liuing.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 33] And when the multitude heard it, they were astonied at his doctrine.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 34] But when the Pharises had heard, that he had put the Sadduces to silence, they assembled together.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 35] And one of them, which was an expounder of the Lawe, asked him a question, tempting him, and saying,
[GNV | EN | NT | Matthew | Chapter 22 | Verse 36] Master, which is ye great commandement in the Lawe?
[GNV | EN | NT | Matthew | Chapter 22 | Verse 37] Iesus sayd to him, Thou shalt loue the Lord thy God with all thine heart, with all thy soule, and with all thy minde.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 38] This is the first and the great commandement.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 39] And the second is like vnto this, Thou shalt loue thy neighbour as thy selfe.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 40] On these two commandements hangeth the whole Lawe, and the Prophets.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 41] While the Pharises were gathered together, Iesus asked them,
[GNV | EN | NT | Matthew | Chapter 22 | Verse 42] Saying, What thinke ye of Christ? whose sonne is he? They sayd vnto him, Dauids.
[GNV | EN | NT | Matthew | Chapter 22 | Verse 43] He sayd vnto them, How then doeth Dauid in spirit call him Lord, saying,
[GNV | EN | NT | Matthew | Chapter 22 | Verse 44] The Lord sayd to my Lord, Sit at my right hand, till I make thine enemies thy footestoole?
[GNV | EN | NT | Matthew | Chapter 22 | Verse 45] If then Dauid call him Lord, howe is he his sonne?
[GNV | EN | NT | Matthew | Chapter 22 | Verse 46] And none could answere him a worde, neither durst any from that day foorth aske him any moe questions.
