[GNV | EN | NT | Matthew | Chapter 27 | Verse 1] When the morning was come, all the chiefe Priests, and the elders of the people tooke counsell against Iesus, to put him to death,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 2] And led him away bounde, and deliuered him vnto Pontius Pilate the gouernour.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 3] Then when Iudas which betraied him, sawe that hee was condemned, hee repented himselfe, and brought againe the thirtie pieces of siluer to the chiefe Priestes, and Elders,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 4] Saying, I haue sinned, betraying the innocent bloud. But they sayde, What is that to vs? see thou to it.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 5] And when hee had cast downe the siluer pieces in the Temple, hee departed, and went, and hanged himselfe.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 6] And the chiefe Priestes tooke the siluer pieces, and sayde, It is not lawfull for vs to put them into the treasure, because it is the price of bloud.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 7] And they tooke counsell, and bought with them a potters fielde, for the buriall of strangers.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 8] Wherefore that field is called, The field of bloud, vntill this day.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 9] (Then was fulfilled that which was spoken by Ieremias the Prophet, saying, And they tooke thirtie siluer pieces, ye price of him that was valued, whom they of ye children of Israel valued.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 10] And they gaue them for the potters fielde, as the Lord appointed me.)
[GNV | EN | NT | Matthew | Chapter 27 | Verse 11] And Iesus stood before ye gouernour, and the gouernour asked him, saying, Art thou that King of the Iewes? Iesus said vnto him, Thou sayest it.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 12] And when he was accused of the chiefe Priestes, and Elders, he answered nothing.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 13] Then saide Pilate vnto him, Hearest thou not howe many things they lay against thee?
[GNV | EN | NT | Matthew | Chapter 27 | Verse 14] But he answered him not to one worde, in so much that the gouernour marueiled greatly.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 15] Nowe at the feast, the gouernour was wont to deliuer vnto the people a prisoner whom they would.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 16] And they had then a notable prisoner, called Barabbas.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 17] When they were then gathered together, Pilate said vnto the, Whether will ye that I let loose vnto you Barabbas, or Iesus which is called Christ?
[GNV | EN | NT | Matthew | Chapter 27 | Verse 18] (For he knewe well, that for enuie they had deliuered him.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 19] Also when he was set downe vpon the iudgement seate, his wife sent to him, saying, Haue thou nothing to do with that iust man: for I haue suffered many things this day in a dreame by reason of him.)
[GNV | EN | NT | Matthew | Chapter 27 | Verse 20] But the chiefe Priestes and the Elders had persuaded the people that they shoulde aske Barabbas, and should destroy Iesus.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 21] Then the gouernour answered, and said vnto them, Whether of the twaine will ye that I let loose vnto you? And they said, Barabbas.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 22] Pilate said vnto them, What shall I do then with Iesus, which is called Christ? They all said to him, Let him be crucified.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 23] Then saide the gouernour, But what euill hath he done? Then they cryed the more, saying, Let him be crucified.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 24] When Pilate saw that he auailed nothing, but that more tumult was made, he tooke water and washed his hands before the multitude, saying, I am innocent of the blood of this iust man: looke you to it.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 25] Then answered all the people, and saide, His bloud be on vs, and on our children.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 26] Thus let he Barabbas loose vnto them, and scourged Iesus, and deliuered him to be crucified.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 27] Then the souldiers of the gouernour tooke Iesus into the common hall, and gathered about him the whole band,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 28] And they stripped him, and put about him a skarlet robe,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 29] And platted a crowne of thornes, and put it vpon his head, and a reede in his right hand, and bowed their knees before him, and mocked him, saying, God saue thee King of the Iewes,
[GNV | EN | NT | Matthew | Chapter 27 | Verse 30] And spitted vpon him, and tooke a reede, and smote him on the head.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 31] Thus when they had mocked him, they tooke the robe from him, and put his owne rayment on him, and led him away to crucifie him.
[GNV | EN | NT | Matthew | Chapter 27 | Verse 32] And as they came out, they found a man of Cyrene, named Simon: him they compelled to beare his crosse.
