[GNV | EN | NT | Matthew | Chapter 2 | Verse 1] When Jesus then was borne at Bethleem in Iudea, in the dayes of Herod the King, beholde, there came Wisemen from the East to Hierusalem,
[GNV | EN | NT | Matthew | Chapter 2 | Verse 2] Saying, Where is that King of the Iewes that is borne? for wee haue seene his starre in the East, and are come to worship him.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 3] When King Herod heard this, he was troubled, and all Hierusalem with him.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 4] And gathering together all the chiefe Priestes and Scribes of the people, hee asked of them, where Christ should be borne.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 5] And they saide vnto him, At Beth-leem in Iudea: for so it is written by the Prophet,
[GNV | EN | NT | Matthew | Chapter 2 | Verse 6] And thou Beth-leem in the lande of Iuda, art not the least among the Princes of Iuda: For out of thee shall come the gouernour that shall feede that my people Israel.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 7] Then Herod priuily called the Wisemen, and diligently inquired of them the time of the starre that appeared,
[GNV | EN | NT | Matthew | Chapter 2 | Verse 8] And sent them to Beth-leem, saying, Goe, and searche diligently for the babe: and when ye haue founde him, bring mee worde againe, that I may come also, and worship him.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 9] So when they had heard the King, they departed: and loe, the starre which they had seene in the East, went before them, till it came and stoode ouer the place where the babe was.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 10] And when they sawe the starre, they reioyced with an exceeding great ioy,
[GNV | EN | NT | Matthew | Chapter 2 | Verse 11] And went into the house, and founde the babe with Mary his mother, and fell downe, and worshipped him, and opened their treasures, and presented vnto him giftes, euen golde, and frankincense, and myrrhe.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 12] And after they were warned of God in a dreame, that they should not go againe to Herod, they returned into their countrey another way.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 13] After their departure, behold, the Angel of the Lord appeareth to Ioseph in a dreame, saying, Arise, and take the babe and his mother, and flee into Egypt, and be there til I bring thee word: for Herod will seeke the babe, to destroy him.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 14] So he arose and tooke the babe and his mother by night, and departed into Egypt,
[GNV | EN | NT | Matthew | Chapter 2 | Verse 15] And was there vnto the death of Herod, that that might be fulfilled, which is spoken of the Lord by the Prophet, saying, Out of Egypt haue I called my sonne.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 16] Then Herod, seeing that he was mocked of the Wisemen, was exceeding wroth, and sent foorth, and slew all the male children that were in Beth-leem, and in all the coasts thereof, from two yeere old and vnder, according to the time which he had diligently searched out of the Wisemen.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 17] Then was that fulfilled which is spoken by the Prophet Ieremias, saying,
[GNV | EN | NT | Matthew | Chapter 2 | Verse 18] In Rhama was a voyce heard, mourning, and weeping, and great howling: Rachel weeping for her children, and would not be comforted, because they were not.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 19] And whe Herod was dead, behold, an Angel of the Lord appeareth in a dreame to Ioseph in Egypt,
[GNV | EN | NT | Matthew | Chapter 2 | Verse 20] Saying, Arise, and take the babe and his mother, and goe into the land of Israel: for they are dead which sought the babes life.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 21] Then he arose vp and tooke the babe and his mother, and came into the land of Israel.
[GNV | EN | NT | Matthew | Chapter 2 | Verse 22] But whe he heard that Archelaus did reigne in Iudea in stead of his father Herod, he was afraide to go thither: yet after he was warned of God in a dreame, he turned aside into the parts of Galile,
[GNV | EN | NT | Matthew | Chapter 2 | Verse 23] And went and dwelt in a citie called Nazareth, that it might be fulfilled which was spoken by the Prophets, which was, That hee should be called a Nazarite.
