[GNV | EN | NT | Matthew | Chapter 1 | Verse 1] The booke of the generation of Jesus Christ the sonne of Dauid, the sonne of Abraham.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 2] Abraham begate Isaac. And Isaac begate Iacob. And Iacob begat Iudas and his brethren.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 3] And Iudas begate Phares, and Zara of Thamar. And Phares begate Esrom. And Esrom begate Aram.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 4] And Aram begate Aminadab. And Aminadab begate Naasson. And Naasson begat Salmon.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 5] And Salmon begate Booz of Rachab. And Booz begat Obed of Ruth. and Obed begat Iesse.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 6] And Iesse begate Dauid the King. And Dauid the King begate Salomon of her that was the wife of Vrias.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 7] And Salomon begate Roboam. And Roboam begate Abia. And Abia begate Asa.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 8] And Asa begate Iosaphat. And Iosaphat begate Ioram. And Ioram begate Hozias.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 9] And Hozias begat Ioatham. And Ioatham begate Achaz. And Achaz begate Ezekias.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 10] And Ezekias begate Manasses. And Manasses begate Amon. And Amon begate Iosias.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 11] And Iosias begate Iakim. And Iakim begate Iechonias and his brethren about the time they were caried away to Babylon.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 12] And after they were caried away into Babylon, Iechonias begate Salathiel. And Salathiel begate Zorobabel.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 13] And Zorobabel begate Abiud. And Abiud begate Eliacim. And Eliacim begate Azor.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 14] And Azor begate Sadoc. And Sadoc begate Achim. And Achim begate Eliud.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 15] And Eliud begate Eleazar. And Eleazar begate Matthan. And Matthan begate Iacob.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 16] And Iacob begat Ioseph ye husband of Mary, of whom was borne Jesus, that is called Christ.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 17] So all the generations from Abraham to Dauid, are fourtene generations. And from Dauid vntil they were caried away into Babylon, fourtene generations: and after they were caried away into Babylon vntill Christ, fourteene generations.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 18] Nowe the birth of Jesus Christ was thus, When as his mother Mary was betrothed to Ioseph, before they came together, shee was found with childe of the holy Ghost.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 19] Then Ioseph her husband being a iust man, and not willing to make her a publike example, was minded to put her away secretly.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 20] But whiles he thought these things, behold, the Angel of the Lord appeared vnto him in a dreame, saying, Ioseph, the sonne of Dauid, feare not to take Mary thy wife: for that which is conceiued in her, is of the holy Ghost.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 21] And she shall bring foorth a sonne, and thou shalt call his name JESUS: for hee shall saue his people from their sinnes.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 22] And al this was done that it might be fulfilled, which is spoken of the Lord by ye Prophet, saying,
[GNV | EN | NT | Matthew | Chapter 1 | Verse 23] Behold, a virgine shalbe with childe, and shall beare a sonne, and they shall call his name Emmanuel, which is by interpretation, God with vs.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 24] Then Ioseph, being raised from sleepe, did as the Angel of the Lord had inioyned him, and tooke his wife.
[GNV | EN | NT | Matthew | Chapter 1 | Verse 25] But he knew her not, til she had broght forth her first borne sonne, and he called his name JESUS.
