[GNV | EN | NT | Matthew | Chapter 7 | Verse 1] Judge not, that ye be not iudged.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 2] Eor with what iudgement ye iudge, ye shall be iudged, and with what measure ye mete, it shall be measured to you againe.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 3] And why seest thou the mote, that is in thy brothers eye, and perceiuest not the beame that is in thine owne eye?
[GNV | EN | NT | Matthew | Chapter 7 | Verse 4] Or howe sayest thou to thy brother, Suffer me to cast out the mote out of thine eye, and beholde, a beame is in thine owne eye?
[GNV | EN | NT | Matthew | Chapter 7 | Verse 5] Hypocrite, first cast out that beame out of thine owne eye, and then shalt thou see clearely to cast out the mote out of thy brothers eye.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 6] Giue ye not that which is holy, to dogges, neither cast ye your pearles before swine, lest they treade them vnder their feete, and turning againe, all to rent you.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 7] Aske, and it shall be giuen you: seeke, and ye shall finde: knocke, and it shall be opened vnto you.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 8] For whosoeuer asketh, receiueth: and he, that seeketh, findeth: and to him that knocketh, it shall be opened.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 9] For what man is there among you, which if his sonne aske him bread, woulde giue him a stone?
[GNV | EN | NT | Matthew | Chapter 7 | Verse 10] Or if he aske fish, wil he giue him a serpent?
[GNV | EN | NT | Matthew | Chapter 7 | Verse 11] If ye then, which are euill, can giue to your children good giftes, howe much more shall your Father which is in heauen, giue good thinges to them that aske him?
[GNV | EN | NT | Matthew | Chapter 7 | Verse 12] Therefore whatsoeuer ye woulde that men should doe to you, euen so doe ye to them: for this is the Lawe and the Prophets.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 13] Enter in at the streight gate: for it is the wide gate, and broade way that leadeth to destruction: and many there be which goe in thereat,
[GNV | EN | NT | Matthew | Chapter 7 | Verse 14] Because the gate is streight, and the way narowe that leadeth vnto life, and fewe there be that finde it.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 15] Beware of false prophets, which come to you, in sheepes clothing, but inwardly they are rauening wolues.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 16] Ye shall know them by their fruites. Doe men gather grapes of thornes? or figges of thistles?
[GNV | EN | NT | Matthew | Chapter 7 | Verse 17] So euery good tree bringeth foorth good fruite, and a corrupt tree bringeth forth euill fruite.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 18] A good tree can not bring forth euil fruite: neither can a corrupt tree bring forth good fruite.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 19] Euery tree that bringeth not forth good fruite, is hewen downe, and cast into the fire.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 20] Therefore by their fruites ye shall knowe them.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 21] Not euery one that sayeth vnto me, Lord, Lord, shall enter into the kingdome of heauen, but he that doeth my Fathers will which is in heauen.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 22] Many will say to me in that day, Lord, Lord, haue we not by thy Name prophecied? and by thy name cast out deuils? and by thy name done many great workes?
[GNV | EN | NT | Matthew | Chapter 7 | Verse 23] And then will I professe to them, I neuer knewe you: depart from me, ye that worke iniquitie.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 24] Whosoeuer then heareth of mee these words, and doeth the same, I will liken him to a wise man, which hath builded his house on a rock:
[GNV | EN | NT | Matthew | Chapter 7 | Verse 25] And the raine fell, and the floods came, and the windes blewe, and beat vpon that house, and it fell not: for it was grounded on a rocke.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 26] But whosoeuer heareth these my wordes, and doeth them not, shall be likened vnto a foolish man, which hath builded his house vpon the sand:
[GNV | EN | NT | Matthew | Chapter 7 | Verse 27] And the raine fell, and the floods came, and the windes blewe, and beat vpon that house, and it fell, and the fall thereof was great.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 28] And it came to passe, when Iesus had ended these wordes, the people were astonied at his doctrine.
[GNV | EN | NT | Matthew | Chapter 7 | Verse 29] For he taught them as one hauing authoritie, and not as the Scribes.
