[IRV | MR | NT | Luke | Chapter 19 | Verse 1] येशूने यरीहोत प्रवेश केला आणि त्यामधून जात होता.
[IRV | MR | NT | Luke | Chapter 19 | Verse 2] तेव्हा पाहा, जक्कय नावाचा कोणीएक मनुष्य होता, तो मुख्य जकातदार असून खूप श्रीमंत होता.
[IRV | MR | NT | Luke | Chapter 19 | Verse 3] येशू कोण आहे हे पाहण्याचा तो प्रयत्न करीत होता पण गर्दीमुळे त्याचे काही चालेना, कारण तो ठेंगणा होता.
[IRV | MR | NT | Luke | Chapter 19 | Verse 4] तेव्हा तो सर्वांच्या पुढे पळत गेला आणि येशूला पाहण्यासाठी एका उंबराच्या झाडावर चढला कारण तो त्याच रस्त्याने पुढे जाणार होता.
[IRV | MR | NT | Luke | Chapter 19 | Verse 5] मग येशू त्याठिकाणी येताच दृष्टी वर करून त्यास म्हणाला, “जक्कया, त्वरा करून खाली ये, कारण आज मला तुझ्या घरी उतरायचे आहे.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 6] तेव्हा त्याने त्वरेने खाली उतरून आनंदाने त्याचे आगत-स्वागत केले.
[IRV | MR | NT | Luke | Chapter 19 | Verse 7] हे पाहून सर्व लोक कुरकुर करू लागले की, “पापी मनुष्याच्या घरी हा उतरायला गेला आहे.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 8] तेव्हा जक्कय उभा राहून प्रभूला म्हणाला, “प्रभूजी, पाहा, मी आपले अर्धे धन गरिबांस देतो आणि मी अन्यायाने कोणाचे काही घेतले असले तर ते चौपट परत करतो.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 9] येशू त्यास म्हणाला, “आज या घराचे तारण झाले आहे कारण हा मनुष्यसुद्धा अब्राहामाचा मुलगा आहे.
[IRV | MR | NT | Luke | Chapter 19 | Verse 10] कारण मनुष्याचा पुत्र जे हरवलेले ते शोधण्यास आणि तारण्यास आला आहे.”
[IRV | MR | NT | Luke | Chapter 19 | Verse 11] ते या गोष्टी ऐकत असता त्याने त्यास एक दाखलाही सांगितला कारण तो यरूशलेम शहराजवळ होता आणि देवाचे राज्य आताच प्रकट होणार आहे असे त्यांना वाटत होते.
[IRV | MR | NT | Luke | Chapter 19 | Verse 12] तो म्हणाला, “कोणीएक उमराव, आपण राज्य मिळवून परत यावे या उद्देशाने दूरदेशी गेला.
[IRV | MR | NT | Luke | Chapter 19 | Verse 13] त्याने आपल्या दहा दासांना बोलावले व त्यांना दहा नाणी देऊन सांगितले, ‘मी येईपर्यंत त्यावर व्यापार करा.’
[IRV | MR | NT | Luke | Chapter 19 | Verse 14] त्याच्या नगरचे लोक त्याचा द्वेष करत म्हणून त्यांनी त्याच्या मागोमाग वकील पाठवून सांगितले, ‘ह्याने आमच्यावर राज्य करावे अशी आमची इच्छा नाही.’
[IRV | MR | NT | Luke | Chapter 19 | Verse 15] मग असे झाले कि, तो राज्य मिळवून पुन्हा परत आल्यावर ज्यांना त्याने व्यापाराकरिता पैसा दिला होता, त्यावर किती नफा झाला हे समजावे म्हणून दासांना आज्ञा देऊन त्यांना बोलावीले.
[IRV | MR | NT | Luke | Chapter 19 | Verse 16] पहिला पुढे आला आणि म्हणाला, ‘धनी तुम्ही दिलेल्या नाण्यावर मी आणखी दहा नाणी मिळवली आहेत.’
[IRV | MR | NT | Luke | Chapter 19 | Verse 17] तेव्हा तो त्यास म्हणाला, ‘चांगल्या दासा, छान केलेस, तू थोडक्यांविषयी विश्वासू झालास, म्हणून तू दहा नगरांवर अधिकारी होशील.’
[IRV | MR | NT | Luke | Chapter 19 | Verse 18] मग दुसरा आला व म्हणाला, ‘धनी, तुमच्या पाच नाण्यांवर मी पाच नाणी आणखी मिळवली.’
[IRV | MR | NT | Luke | Chapter 19 | Verse 19] आणि तो त्यास म्हणाला, ‘तू पाच नगरांवर अधिकारी असशील.’
[IRV | MR | NT | Luke | Chapter 19 | Verse 20] मग आणखी एक दास आला आणि म्हणाला, ‘धनी, आपण दिलेले नाणे मी हातरुमालात बांधून ठेवले होते.
[IRV | MR | NT | Luke | Chapter 19 | Verse 21] आपण कठोर आहात, जे आपण ठेवले नाही, ते आपण काढता आणि जे पेरले नाही, ते कापता. म्हणून मला तुमची भीती वाटत होती,’
[IRV | MR | NT | Luke | Chapter 19 | Verse 22] धनी त्यास म्हणाला, ‘दुष्ट दासा, तुझ्याच शब्दांनी मी तुझा न्याय करतो. तुला ठाऊक होते की मी कडक शिस्तीचा मनुष्य आहे. मी जे दिले नाही ते घेतो आणि जे पेरले नाही त्याची कापणी करतो,
[IRV | MR | NT | Luke | Chapter 19 | Verse 23] तर तू माझा पैसा पेढीवर का ठेवला नाहीस? मग जेव्हा मी परत आलो असतो तेव्हा ते मला व्याजासह मिळाले असते.’
[IRV | MR | NT | Luke | Chapter 19 | Verse 24] त्याच्याजवळ उभे राहणाऱ्यांना तो म्हणाला, ‘त्याच्यापासून ते नाणे घ्या आणि ज्याच्याजवळ दहा नाणी आहेत, त्यास द्या.’
[IRV | MR | NT | Luke | Chapter 19 | Verse 25] ते त्यास म्हणाले, ‘धनी, त्याच्याजवळ दहा नाणी आहेत.’
[IRV | MR | NT | Luke | Chapter 19 | Verse 26] धन्याने उत्तर दिले, ‘मी तुम्हास सांगतो, ज्याच्याजवळ आहे, त्यास अधिक दिले जाईल आणि ज्याच्याजवळ नाही, त्याच्याकडे जे काही असेल तेसुध्दा काढून घेतले जाईल.
[IRV | MR | NT | Luke | Chapter 19 | Verse 27] परंतु मी राज्य करू नये अशी इच्छा करणाऱ्यांचा माझ्या शत्रूंना येथे आणा आणि माझ्यासमोर ठार मारा.’”
[IRV | MR | NT | Luke | Chapter 19 | Verse 28] येशूने या गोष्टी सांगितल्यावर तो वर यरूशलेम शहरापर्यंत गेला.
