[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 1] આપણા ઈશ્વર તથા ઉદ્ધારક ઈસુ ખ્રિસ્તનાં ન્યાયીપણાથી અમારા વિશ્વાસ જેવો મૂલ્યવાન વિશ્વાસ જેઓ પામ્યા છે, તેઓને ઈસુ ખ્રિસ્તનો દાસ તથા પ્રેરિત સિમોન પિતર લખે છે
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 2] ઈશ્વરને તથા આપણા પ્રભુ ઈસુને ઓળખવાથી તમારા પર કૃપા તથા શાંતિ પુષ્કળ હો.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 3] તેમણે પોતાના મહિમા વડે તથા સાત્વિક્તાથી આપણને બોલાવ્યા, એમને ઓળખવાથી તેમના ઈશ્વરીય સામર્થે આપણને જીવન તથા ભક્તિભાવને લગતાં સઘળાં વાનાં આપ્યા છે.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 4] આના દ્વારા, તેમણે આપણને મૂલ્યવાન તથા અતિશય મોટાં આશાવચનો આપ્યાં છે, જેથી તેઓ ધ્વારા દુનિયામાંની જે દુર્વાસનાથી દુષ્ટતા થાય છે તેથી છૂટીને ઈશ્વરીય સ્વભાવના ભાગીદાર તમે થાઓ.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 5] એ જ કારણ માટે સંપૂર્ણ પરિશ્રમ કરીને તમે પોતાના વિશ્વાસની સાથે ચરિત્ર, ચરિત્રની સાથે જ્ઞાન,
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 6] જ્ઞાનની સાથે સંયમ, સંયમની સાથે ધીરજ, ધીરજની સાથે ભક્તિભાવ,
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 7] ભક્તિભાવની સાથે ભાતૃભાવ અને ભાતૃભાવ સાથે પ્રેમ જોડી દો.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 8] કેમ કે જો એ સઘળાં તમારામાં હોય તથા વૃદ્ધિ પામે તો આપણા પ્રભુ ઈસુ ખ્રિસ્તનાં જ્ઞાન વિષે તેઓ તમને આળસુ તથા નિષ્ફળ થવા દેશે નહિ.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 9] પણ જેની પાસે એ વાનાં નથી તે અંધ છે, તેની દૃષ્ટિ ટૂંકી છે અને તે પોતાનાં અગાઉનાં પાપોથી શુદ્ધ થયો હતો એ બાબત તે ભૂલી ગયો છે.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 10] તેથી ભાઈઓ, તમારું તેડું તથા પસંદગી ચોક્કસ કરવા માટે વિશેષ યત્ન કરો, કેમ કે જો તમે એવું કરશો તો કદી ગફલતમાં પડશો નહિ.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 11] કારણ કે એમ કરવાથી આપણા પ્રભુ તથા ઉદ્ધારક ઈસુ ખ્રિસ્તનાં અનંતકાળના રાજ્યમાં તમે પૂરી રીતે પ્રવેશ પામશો.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 12] એ માટે જોકે તમે એ વાતો જાણો છો અને અત્યારે સત્યમાં દૃઢ થયા છો, તોપણ તમને તે નિત્ય યાદ કરાવવાનું હું ભૂલીશ નહિ.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 13] અને જ્યાં સુધી હું આ માંડવારૂપી શરીરમાં છું, ત્યાં સુધી તમને યાદ કરાવીને સાવચેત કરવા એ મને યોગ્ય લાગે છે.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 14] કેમ કે મને ખબર છે કે આપણા પ્રભુ ઈસુ ખ્રિસ્તનાં બતાવ્યા પ્રમાણે મારું આયુષ્ય જલદી પૂરું થવાનું છે.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 15] હું યત્ન કરીશ કે, મારા મરણ પછી તમને આ વાતો સતત યાદ રહે.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 16] કેમ કે જયારે અમે આપણા પ્રભુ ઈસુ ખ્રિસ્તનું સામર્થ્ય તથા તેના આગમનની વાત તમને જણાવી, ત્યારે અમે ચતુરાઈથી કલ્પેલી વાર્તાઓ અનુસર્યા નહોતા; પણ તેમની મહાન પ્રભુતાને પ્રત્યક્ષ જોનારા હતા.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 17] કેમ કે જયારે ગૌરવી મહિમા તરફથી તેઓને એવી વાણી થઈ કે, ‘એ મારો વહાલો પુત્ર છે, તેના પર હું પ્રસન્ન છું,’ ત્યારે ઈશ્વરપિતાથી તેઓ માન તથા મહિમા પામ્યા.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 18] અમે તેમની સાથે પવિત્ર પહાડ પર હતા ત્યારે અમે પોતે તે સ્વર્ગવાણી સાંભળી.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 19] અમારી પાસે એથી વધારે ખાતરીપૂર્વક વાત, એટલે પ્રબોધવાણી છે, તેને અંધારી જગ્યામાં પ્રકાશ કરનાર દીવાના જેવી જાણીને તેના પર જ્યાં સુધી પરોઢ થાય અને સવારનો તારો તમારાં અંતઃકરણોમાં ઊગે, ત્યાં સુધી ચિત્ત લગાડવાથી તમે સારું કરશો.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 20] પ્રથમ તમારે એ જાણવું કે, પવિત્રશાસ્ત્રમાંની કોઈ પણ ભવિષ્યવાણી મનુષ્યપ્રેરિત નથી.
[IRV | GU | NT | 2 Peter | Chapter 1 | Verse 21] કેમ કે ભવિષ્યવાણી કદી માણસની ઇચ્છા પ્રમાણે આવી નથી, પણ પ્રબોધકો પવિત્ર આત્માની પ્રેરણાથી ઈશ્વરનાં વચનો બોલ્યા.
