[IRV | GU | NT | Galatians | Chapter 3 | Verse 1] ઓ અણસમજુ ગલાતીઓ, તમારી આંખો આગળ વધસ્તંભે જડાયેલા ઈસુ ખ્રિસ્તને સાક્ષાત પ્રગટ કરવામાં આવ્યા હોવા છતાં તમને કોણે ભરમાવ્યા?
[IRV | GU | NT | Galatians | Chapter 3 | Verse 2] તમારી પાસેથી હું એટલું જ જાણવા ઇચ્છું છું કે, તમે નિયમશાસ્ત્રનાં કાર્યોથી પવિત્ર આત્મા પામ્યા, કે વિશ્વાસથી સુવાર્તા સાંભળવાથી પામ્યા?
[IRV | GU | NT | Galatians | Chapter 3 | Verse 3] શું તમે એટલા બધા અણસમજુ છો?, કે આત્મા વડે આરંભ કરીને હવે દેહ વડે સંપૂર્ણ થાઓ છો?
[IRV | GU | NT | Galatians | Chapter 3 | Verse 4] શું તમે એટલા બધાં સંકટ નકામાં સહ્યાં? જો કદાપિ નકામાં હોય તો.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 5] એ માટે જે તમને પવિત્ર આત્મા આપે છે અને તમારામાં પરાક્રમી કામો કરે છે, તે શું નિયમશાસ્ત્રનાં કાર્યોને લીધે કે સુવાર્તા સાંભળીને વિશ્વાસ કરવાને લીધે કરે છે?
[IRV | GU | NT | Galatians | Chapter 3 | Verse 6] એ પ્રમાણે ઇબ્રાહિમે ઈશ્વર પર વિશ્વાસ કર્યો અને તે ન્યાયીપણા અર્થે ગણાયો.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 7] માટે જાણો કે જેઓ વિશ્વાસ કરે છે, તેઓ ઇબ્રાહિમનાં દીકરા છે.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 8] ઈશ્વર વિશ્વાસથી બિનયહૂદીઓને ન્યાયી ઠરાવશે, તે અગાઉથી જાણીને શાસ્ત્રવચને ઇબ્રાહિમને સુવાર્તા પ્રગટ કરી કે, તારા ધ્વારા સર્વ પ્રજાઓ આશીર્વાદિત થશે.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 9] એ માટે કે જેઓ વિશ્વાસ કરનારા છે, તેઓ વિશ્વાસુ ઇબ્રાહિમની સાથે આશીર્વાદ પામે છે.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 10] કેમ કે જેટલાં નિયમશાસ્ત્રનાં કાર્યો કરનારા છે તેટલાં શાપ નીચે છે, કેમ કે એમ લખ્યું છે કે, ‘નિયમશાસ્ત્રના પુસ્તકમાં જે આજ્ઞાઓ લખેલી છે તે બધી જે પાલન કરતો નથી, તે શાપિત છે.’”
[IRV | GU | NT | Galatians | Chapter 3 | Verse 11] તો હવે એ સ્પષ્ટ છે કે નિયમશાસ્ત્રથી ઈશ્વરની આગળ કોઈ પણ ન્યાયી ઠરતું નથી, કેમ કે ‘ન્યાયી વિશ્વાસથી જીવશે.’”
[IRV | GU | NT | Galatians | Chapter 3 | Verse 12] નિયમશાસ્ત્ર વિશ્વાસદ્વારા નથી પણ તેને બદલે, “જે કોઈ તેમાંની આજ્ઞાઓ પાળશે તે તેનાથી જીવશે.”
[IRV | GU | NT | Galatians | Chapter 3 | Verse 13] ખ્રિસ્તે આપણા વતી શાપિત થઈને, નિયમશાસ્ત્રના શાપથી આપણને છોડાવી લીધા, કેમ કે લખેલું છે કે, ‘જે કોઈ ઝાડ પર ટંગાયેલો છે, તે શાપિત છે;’
[IRV | GU | NT | Galatians | Chapter 3 | Verse 14] એ માટે કે ઇબ્રાહિમનો આશીર્વાદ ખ્રિસ્ત ઈસુમાં બિનયહૂદીઓને મળે અને આપણે પવિત્ર આત્મા વિષેનું વચન વિશ્વાસથી પામીએ.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 15] ભાઈઓ, હું મનુષ્યની રીત પ્રમાણે કહું છું કે, મનુષ્યના સ્થાપિત થયેલા કરારને કોઈ રદ કરતો અથવા વધારતો નથી.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 16] હવે ઇબ્રાહિમને તથા તેનાં સંતાનને વચનો કહેવામાં આવ્યા હતાં અને તેનાં સંતાનોને જાણે ઘણાં વિષે ઈશ્વર કહેતાં નથી; પણ ‘તારા સંતાનને’, એમ એક વિષે કહે છે તે તો ખ્રિસ્ત છે.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 17] હવે હું આ કહું છું કે, જે કરાર ઈશ્વરે ખ્રિસ્તમાં અગાઉથી નક્કી કર્યો હતો તેના વચનને ચારસો ત્રીસ વરસ પછી આવેલ નિયમશાસ્ત્ર રદ કરી શકતું નથી.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 18] કેમ કે જો વારસો નિયમશાસ્ત્રથી છે, તો તે વચનથી નથી; પણ ઈશ્વરે વચનથી જ ઇબ્રાહિમને તે વારસો આપ્યો.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 19] તો નિયમશાસ્ત્ર શા માટે હતું? જેઓને ઇબ્રાહિમનું સંતાન આપવાનું વચન આપવામાં આવ્યું હતું તેઓની પાસે તે સંતાન આવે ત્યાં સુધી નિયમશાસ્ત્ર અપરાધોને લીધે આપવામાં આવેલું હતું; અને તે મધ્યસ્થની મારફતે, સ્વર્ગદૂતો દ્વારા ફરમાવેલું હતું.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 20] હવે મધ્યસ્થ તો માત્ર એકનો મધ્યસ્થ નથી, પણ ઈશ્વર એક છે.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 21] ત્યારે શું નિયમશાસ્ત્ર ઈશ્વરનાં આશાવચનોથી વિરુદ્ધ છે? કદી નહિ, કેમ કે જીવન આપી શકે એવો કોઈ નિયમ જો આપવામાં આવ્યો હોત, તો નિશ્ચે નિયમશાસ્ત્રથી ન્યાયીપણું મળત.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 22] પણ શાસ્ત્રવચને બધાને પાપનાં બંધનમાં જકડ્યાં, કે આપણો બચાવ ઈસુ ખ્રિસ્ત પર વિશ્વાસ કરવાથી છે તે વચન વિશ્વાસ કરનારાઓને આપવામાં આવે.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 23] પણ આ વિશ્વાસ આવ્યા અગાઉ, તે વિશ્વાસ પ્રગટ થાય ત્યાં સુધી આપણે નિયમશાસ્ત્ર દ્વારા કૈદ કરાયેલા અને બંધનમાં હતા.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 24] એમ આપણને ખ્રિસ્તની પાસે પહોંચાડવા સારુ નિયમશાસ્ત્ર આપણો બાળશિક્ષક હતું કે જેથી આપણે વિશ્વાસથી ન્યાયી ઠરીએ.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 25] પણ હવે વિશ્વાસ આવ્યા પછી આપણે બાળશિક્ષકના હાથ નીચે નથી.
[IRV | GU | NT | Galatians | Chapter 3 | Verse 26] કેમ કે તમે બધા ખ્રિસ્ત ઈસુ પરના વિશ્વાસથી ઈશ્વરના દીકરા છો.
