[KJV | EN | NT | 1 John | Chapter 2 | Verse 1] My little children, these things write I unto you, that ye sin not. And if any man sin, we have an advocate with the Father, Jesus Christ the righteous:
[KJV | EN | NT | 1 John | Chapter 2 | Verse 2] and he is the propitiation for our sins: and not for ours only, but also for the sins of the whole world.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 3] And hereby we do know that we know him, if we keep his commandments.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 4] He that saith, I know him, and keepeth not his commandments, is a liar, and the truth is not in him.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 5] But whoso keepeth his word, in him verily is the love of God perfected: hereby know we that we are in him.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 6] He that saith he abideth in him ought himself also so to walk, even as he walked.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 7] Brethren, I write no new commandment unto you, but an old commandment which ye had from the beginning. The old commandment is the word which ye have heard from the beginning.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 8] Again, a new commandment I write unto you, which thing is true in him and in you: because the darkness is past, and the true light now shineth.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 9] He that saith he is in the light, and hateth his brother, is in darkness even until now.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 10] He that loveth his brother abideth in the light, and there is none occasion of stumbling in him.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 11] But he that hateth his brother is in darkness, and walketh in darkness, and knoweth not whither he goeth, because that darkness hath blinded his eyes.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 12] I write unto you, little children, because your sins are forgiven you for his name’s sake.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 13] I write unto you, fathers, because ye have known him that is from the beginning. I write unto you, young men, because you have overcome the wicked one. I write unto you, little children, because ye have known the Father.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 14] I have written unto you, fathers, because ye have known him that is from the beginning. I have written unto you, young men, because ye are strong, and the word of God abideth in you, and ye have overcome the wicked one.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 15] Love not the world, neither the things that are in the world. If any man love the world, the love of the Father is not in him.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 16] For all that is in the world, the lust of the flesh, and the lust of the eyes, and the pride of life, is not of the Father, but is of the world.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 17] And the world passeth away, and the lust thereof: but he that doeth the will of God abideth for ever.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 18] Little children, it is the last time: and as ye have heard that antichrist shall come, even now are there many antichrists; whereby we know that it is the last time.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 19] They went out from us, but they were not of us; for if they had been of us, they would no doubt have continued with us: but they went out, that they might be made manifest that they were not all of us.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 20] But ye have an unction from the Holy One, and ye know all things.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 21] I have not written unto you because ye know not the truth, but because ye know it, and that no lie is of the truth.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 22] Who is a liar but he that denieth that Jesus is the Christ? He is antichrist, that denieth the Father and the Son.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 23] Whosoever denieth the Son, the same hath not the Father: [but] he that acknowledgeth the Son hath the Father also.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 24] Let that therefore abide in you, which ye have heard from the beginning. If that which ye have heard from the beginning shall remain in you, ye also shall continue in the Son, and in the Father.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 25] And this is the promise that he hath promised us, even eternal life.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 26] These things have I written unto you concerning them that seduce you.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 27] But the anointing which ye have received of him abideth in you, and ye need not that any man teach you: but as the same anointing teacheth you of all things, and is truth, and is no lie, and even as it hath taught you, ye shall abide in him.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 28] And now, little children, abide in him; that, when he shall appear, we may have confidence, and not be ashamed before him at his coming.
[KJV | EN | NT | 1 John | Chapter 2 | Verse 29] If ye know that he is righteous, ye know that every one which doeth righteousness is born of him.
