[KJV | EN | NT | 1 John | Chapter 4 | Verse 1] Beloved, believe not every spirit, but try the spirits whether they are of God: because many false prophets are gone out into the world.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 2] Hereby know ye the Spirit of God: Every spirit that confesseth that Jesus Christ is come in the flesh is of God:
[KJV | EN | NT | 1 John | Chapter 4 | Verse 3] and every spirit that confesseth not that Jesus Christ is come in the flesh is not of God: and this is that spirit of antichrist, whereof you have heard that it should come; and even now already is it in the world.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 4] Ye are of God, little children, and have overcome them: because greater is he that is in you, than he that is in the world.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 5] They are of the world, therefore speak they of the world, and the world heareth them.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 6] We are of God: he that knoweth God heareth us; he that is not of God heareth not us. Hereby know we the spirit of truth, and the spirit of error.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 7] Beloved, let us love one another: for love is of God; and every one that loveth is born of God, and knoweth God.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 8] He that loveth not, knoweth not God; for God is love.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 9] In this was manifested the love of God towards us, because that God sent his only begotten Son into the world, that we might live through him.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 10] Herein is love, not that we loved God, but that he loved us, and sent his Son to be the propitiation for our sins.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 11] Beloved, if God so loved us, we ought also to love one another.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 12] No man hath seen God at any time. If we love one another, God dwelleth in us, and his love is perfected in us.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 13] Hereby know we that we dwell in him, and he in us, because he hath given us of his Spirit.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 14] And we have seen and do testify that the Father sent the Son to be the Saviour of the world.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 15] Whosoever shall confess that Jesus is the Son of God, God dwelleth in him, and he in God.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 16] And we have known and believed the love that God hath to us. God is love; and he that dwelleth in love dwelleth in God, and God in him.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 17] Herein is our love made perfect, that we may have boldness in the day of judgment: because as he is, so are we in this world.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 18] There is no fear in love; but perfect love casteth out fear: because fear hath torment. He that feareth is not made perfect in love.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 19] We love him, because he first loved us.
[KJV | EN | NT | 1 John | Chapter 4 | Verse 20] If a man say, I love God, and hateth his brother, he is a liar: for he that loveth not his brother whom he hath seen, how can he love God whom he hath not seen?
[KJV | EN | NT | 1 John | Chapter 4 | Verse 21] And this commandment have we from him, That he who loveth God love his brother also.
