[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 1] ਸੋ ਮੈਂ ਸਭ ਤੋਂ ਪਹਿਲਾਂ ਇਹ ਸਮਝਾਉਂਦਾ ਹਾਂ ਜੋ ਬੇਨਤੀਆਂ, ਪ੍ਰਾਰਥਨਾਂ, ਅਰਦਾਸਾਂ ਅਤੇ ਧੰਨਵਾਦ ਸਭਨਾਂ ਮਨੁੱਖਾਂ ਲਈ ਕੀਤੇ ਜਾਣ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 2] ਪਾਤਸ਼ਾਹਾਂ ਅਤੇ ਸਭਨਾਂ ਅਧਿਕਾਰੀਆਂ ਦੇ ਲਈ ਕਿ ਅਸੀਂ ਪੂਰੀ ਭਗਤੀ ਅਤੇ ਗੰਭੀਰਤਾਈ ਵਿੱਚ ਚੈਨ ਅਤੇ ਸੁੱਖ ਨਾਲ ਜੀਵਨ ਬਤੀਤ ਕਰੀਏ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 3] ਸਾਡੇ ਮੁਕਤੀਦਾਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਹਜ਼ੂਰ ਇਹੋ ਭਲਾ ਅਤੇ ਪਰਵਾਨ ਹੈ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 4] ਜੋ ਚਾਹੁੰਦਾ ਹੈ ਕਿ ਸਾਰੇ ਮਨੁੱਖ ਬਚਾਏ ਜਾਣ ਅਤੇ ਉਹ ਸੱਚ ਦੇ ਗਿਆਨ ਤੱਕ ਪਹੁੰਚਣ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 5] ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਇੱਕੋ ਹੈ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਮਨੁੱਖਾਂ ਵਿੱਚ ਇੱਕੋ ਵਿਚੋਲਾ ਹੈ ਜਿਹੜਾ ਆਪ ਮਨੁੱਖ ਹੈ ਅਰਥਾਤ ਮਸੀਹ ਯਿਸੂ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 6] ਜਿਸ ਨੇ ਆਪਣੇ ਆਪ ਨੂੰ ਸਭਨਾਂ ਲਈ ਪ੍ਰਾਸਚਿੱਤ ਦੇ ਮੁੱਲ ਵਜੋਂ ਦੇ ਦਿੱਤਾ ਅਤੇ ਉਹ ਦੀ ਗਵਾਹੀ ਆਪਣੇ ਸਮੇਂ ਸਿਰ ਹੋਈ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 7] ਇਸ ਦੇ ਲਈ ਮੈਂ ਪਰਚਾਰਕ, ਰਸੂਲ ਅਤੇ ਵਿਸ਼ਵਾਸ, ਸਚਿਆਈ ਵਿੱਚ ਪਰਾਈਆਂ ਕੌਮਾਂ ਨੂੰ ਉਪਦੇਸ਼ ਕਰਨ ਵਾਲਾ ਠਹਿਰਾਇਆ ਗਿਆ ਸੀ। ਮੈਂ ਸੱਚ ਬੋਲਦਾ ਹਾਂ, ਝੂਠ ਨਹੀਂ ਬੋਲਦਾ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 8] ਉਪਰੰਤ ਮੈਂ ਇਹ ਚਾਹੁੰਦਾ ਹਾਂ ਕਿ ਹਰ ਜਗਾ ਪੁਰਖ, ਕ੍ਰੋਧ ਅਤੇ ਵਿਵਾਦ ਤੋਂ ਬਿਨ੍ਹਾਂ ਪਵਿੱਤਰ ਹੱਥ ਉੱਠਾ ਕੇ ਪ੍ਰਾਰਥਨਾ ਕਰਨ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 9] ਇਸੇ ਤਰ੍ਹਾਂ ਚਾਹੁੰਦਾ ਹਾਂ ਕਿ ਇਸਤ੍ਰੀਆਂ ਲਾਜ ਅਤੇ ਸੰਜਮ ਸਹਿਤ ਆਪਣੇ ਆਪ ਨੂੰ ਸੁਹਾਉਣੀ ਪੁਸ਼ਾਕ ਨਾਲ ਸੁਆਰਨ, ਨਾ ਗੁੰਦਿਆਂ ਹੋਇਆਂ ਵਾਲਾਂ ਅਤੇ ਸੋਨੇ ਜਾਂ ਮੋਤੀਆਂ ਜਾਂ ਮਹਿੰਗੇ ਮੁੱਲ ਦੇ ਬਸਤ੍ਰਾਂ ਨਾਲ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 10] ਸਗੋਂ ਭਲੇ ਕੰਮਾਂ ਦੇ ਵਸੀਲੇ ਨਾਲ ਸੁਆਰਨ, ਕਿਉਂ ਜੋ ਇਹ ਉਨ੍ਹਾਂ ਇਸਤ੍ਰੀਆਂ ਨੂੰ ਫੱਬਦਾ ਹੈ ਜਿਹੜੀਆਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਭਗਤੀ ਨੂੰ ਮੰਨਦੀਆਂ ਹਨ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 11] ਇਸਤ੍ਰੀ ਨੂੰ ਚਾਹੀਦਾ ਹੈ ਕਿ ਚੁੱਪ-ਚਾਪ ਹੋ ਕੇ ਪੂਰੀ ਅਧੀਨਗੀ ਨਾਲ ਸਿੱਖਿਆ ਲਵੇ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 12] ਮੈਂ ਇਸਤ੍ਰੀ ਨੂੰ ਸਿੱਖਿਆ ਦੇਣ ਅਥਵਾ ਪੁਰਖ ਉੱਤੇ ਹੁਕਮ ਚਲਾਉਣ ਦੀ ਪਰਵਾਨਗੀ ਨਹੀਂ ਦਿੰਦਾ ਸਗੋਂ ਉਹ ਚੁੱਪ-ਚਾਪ ਰਹੇ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 13] ਕਿਉਂ ਜੋ ਆਦਮ ਪਹਿਲਾਂ ਰਚਿਆ ਗਿਆ ਸੀ ਫਿਰ ਹੱਵਾਹ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 14] ਆਦਮ ਨੇ ਧੋਖਾ ਨਹੀਂ ਖਾਧਾ ਪਰ ਇਸਤ੍ਰੀ ਧੋਖਾ ਖਾ ਕੇ ਅਪਰਾਧ ਵਿੱਚ ਪੈ ਗਈ।
[IRV | PA | NT | 1 Timothy | Chapter 2 | Verse 15] ਤਾਂ ਵੀ ਬੱਚਾ ਜੰਮਣ ਦੇ ਵਸੀਲੇ ਨਾਲ ਉਹ ਬਚਾਈ ਜਾਵੇਗੀ ਜੇ ਉਹ ਵਿਸ਼ਵਾਸ, ਪਿਆਰ, ਪਵਿੱਤਰਤਾਈ ਅਤੇ ਸੰਜਮ ਵਿੱਚ ਬਣੀਆਂ ਰਹਿਣ।
