[IRV | BN | NT | Luke | Chapter 23 | Verse 1] পরে তারা সবাই উঠে যীশুকে পীলাতের কাছে নিয়ে গেল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 2] আর তারা তাঁর উপরে দোষ দিয়ে বলতে লাগল, আমরা দেখতে পেলাম যে, এই ব্যক্তি আমাদের জাতিকে বিপথে নিয়ে যাচ্ছে, কৈসরকে কর দিতে বারণ করে, আর বলে যে, আমি সেই খ্রীষ্ট রাজা।
[IRV | BN | NT | Luke | Chapter 23 | Verse 3] তখন পীলাত তাঁকে জিজ্ঞাসা করলেন, তুমিই কি ইহূদিদের রাজা? যীশু তাঁকে বললেন, তুমিই বললে।
[IRV | BN | NT | Luke | Chapter 23 | Verse 4] তখন পীলাত প্রধান যাজকদের ও লোকদের উদ্দেশ্যে বললেন, আমি এই ব্যক্তির কোনো দোষ পাচ্ছি না।
[IRV | BN | NT | Luke | Chapter 23 | Verse 5] কিন্তু তারা আরও জোর করে বলতে লাগল, এ ব্যক্তি সমস্ত যিহূদিয়ায় এবং গালীল থেকে এই জায়গা পর্যন্ত শিক্ষা দিয়ে লোকদের ক্ষেপিয়ে তুলছে।
[IRV | BN | NT | Luke | Chapter 23 | Verse 6] এই শুনে পীলাত জিজ্ঞাসা করলেন, এ ব্যক্তি কি গালীলীয়?
[IRV | BN | NT | Luke | Chapter 23 | Verse 7] পরে যখন তিনি জানতে পারলেন, ইনি হেরোদের রাজ্যের লোক, তখন তাঁকে হেরোদের কাছে পাঠিয়ে দিলেন, কারণ সেই দিন তিনি যিরুশালেমে ছিলেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 8] যীশুকে দেখে হেরোদ খুব আনন্দিত হলেন, কারণ তিনি তাঁর বিষয়ে শুনেছিলেন, এই অনেকদিন থেকে তাঁকে দেখতে ইচ্ছা করেছিলেন এবং তাঁর অলৌকিক কোনো চিহ্ন দেখবার আশা করতে লাগলেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 9] তিনি তাঁকে অনেক কথা জিজ্ঞাসা করলেন, কিন্তু যীশু তাকে কোনো উত্তর দিলেন না।
[IRV | BN | NT | Luke | Chapter 23 | Verse 10] আর প্রধান যাজকরা ও ধর্মশিক্ষকেরা দাঁড়িয়ে প্রবলভাবে তাঁর উপরে দোষারোপ করছিল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 11] আর হেরোদ ও তাঁর সেনারা তাঁকে তুচ্ছ করলেন ও ঠাট্টা করলেন এবং দামী পোষাক পরিয়ে তাঁকে পীলাতের কাছে পাঠিয়ে দিলেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 12] সেই দিন থেকে হেরোদ ও পীলাত দুজনে বন্ধু হয়ে উঠলেন, কারণ আগে তাদের মধ্যে শত্রুতা ছিল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 13] পরে পীলাত প্রধান যাজকরা, তত্ত্বাবধায়ক ও লোকদের একসঙ্গে ডেকে তাদের বললেন,
[IRV | BN | NT | Luke | Chapter 23 | Verse 14] তোমরা এ ব্যক্তিকে আমার কাছে এই বলে এনেছ যে, এ লোককে বিপথে নিয়ে যায়; আর দেখ, আমি তোমাদের সামনে বিচার করলেও, তোমরা এর উপরে যেসব দোষ দিচ্ছ, তার মধ্যে এই ব্যক্তির কোনো দোষ দেখতে পেলাম না।
[IRV | BN | NT | Luke | Chapter 23 | Verse 15] আর হেরোদও পাননি, কারণ তিনি একে আমাদের কাছে পাঠিয়ে দিয়েছেন; আর দেখ, এ ব্যক্তি প্রাণদণ্ডের যোগ্য কিছুই করে নি।
[IRV | BN | NT | Luke | Chapter 23 | Verse 16] অতএব আমি একে শাস্তি দিয়ে ছেড়ে দেব।
[IRV | BN | NT | Luke | Chapter 23 | Verse 17] (ঐ পর্বের দিন তাদের জন্য এক জনকে ছেড়ে দিতেই হত।)
[IRV | BN | NT | Luke | Chapter 23 | Verse 18] কিন্তু তারা দলবদ্ধ হয়ে সবাই চিৎকার করে বলল, একে দূর কর, আমাদের জন্য বারাব্বাকে ছেড়ে দাও।
[IRV | BN | NT | Luke | Chapter 23 | Verse 19] শহরের মধ্যে দাঙ্গা ও মানুষ হত্যার দায়ে সেই ব্যক্তি কারাবদ্ধ হয়েছিল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 20] পরে পীলাত যীশুকে মুক্ত করবার ইচ্ছায় আবার তাদের কাছে কথা বললেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 21] কিন্তু তারা চেঁচিয়ে বলতে লাগল, ক্রুশে দাও, ওকে ক্রুশে দাও।
[IRV | BN | NT | Luke | Chapter 23 | Verse 22] পরে তিনি তৃতীয় বার তাদের বললেন, কেন? এ কি অপরাধ করেছে? আমি মৃত্যু দণ্ডের যোগ্য কোনো দোষই পাইনি। অতএব একে শাস্তি দিয়ে ছেড়ে দেব।
[IRV | BN | NT | Luke | Chapter 23 | Verse 23] কিন্তু তারা খুব জোরে বলতে লাগল, যেন তাকে ক্রুশে দেওয়া হয়; আর তারা আরো জোরে চিৎকার করল।
[IRV | BN | NT | Luke | Chapter 23 | Verse 24] তখন পীলাত তাদের বিচার অনুসারে করতে আদেশ দিলেন;
[IRV | BN | NT | Luke | Chapter 23 | Verse 25] দাঙ্গা ও মানুষ হত্যার দায়ে কারাবদ্ধ যে ব্যক্তিকে তারা চাইল, তিনি তাকে ছেড়ে দিলেন, কিন্তু যীশুকে তাদের ইচ্ছায় সমপর্ন করলেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 26] পরে তারা তাঁকে নিয়ে যাচ্ছে, এর মধ্যে শিমোন নামে একজন কুরীনীয় লোক গ্রাম থেকে আসছিল, তারা তাকে ধরে তার কাঁধে ক্রুশ রাখল, যেন সে যীশুর পিছন পিছন তা নিয়ে যায়।
[IRV | BN | NT | Luke | Chapter 23 | Verse 27] আর অনেক লোক তাঁর পিছন পিছন চলল; এবং অনেকগুলি স্ত্রীলোক ছিল, তারা তাঁর জন্য হাহাকার ও কান্নাকাটি করছিলেন।
[IRV | BN | NT | Luke | Chapter 23 | Verse 28] কিন্তু যীশু তাদের দিকে ফিরে বললেন, “ওগো যিরুশালেমের মেয়েরা, আমার জন্য কেঁদো না, বরং নিজেদের এবং নিজের নিজের সন্তানদের জন্য কাঁদ।”
[IRV | BN | NT | Luke | Chapter 23 | Verse 29] কারণ দেখ, এমন দিন আসছে যেদিন লোকে বলবে, ধন্য সেই স্ত্রীলোকেরা, যারা বন্ধ্যা, যাদের গর্ভ কখনো সন্তান প্রসব করে নি, যাদের স্তন কখনো শিশুদের পান করায়নি।
[IRV | BN | NT | Luke | Chapter 23 | Verse 30] সেই দিন লোকেরা পর্বতগণকে বলতে শুরু করবে, আমাদের উপরে পড়; এবং পাহাড়গুলোকে বলবে, আমাদের ঢেকে রাখো।
[IRV | BN | NT | Luke | Chapter 23 | Verse 31] কারণ লোকেরা সরস গাছের প্রতি যদি এমন করে, তবে শুকনো গাছে কি না ঘটবে?
