[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 1] And he went out from thence, and came into his own country, and his disciples follow him.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 2] And when the sabbath was come, he began to teach in the synagogue: and many hearing him were astonished, saying, From whence hath this man these things? and what wisdom is this which is given to him, that even such mighty works are wrought by his hands?
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 3] Is not this the carpenter, the son of Mary, the brother of James, and Joses, and of Judas, and Simon? and are not his sisters here with us? And they were offended at him.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 4] But Jesus said to them, A prophet is not without honor, but in his own country, and among his own kindred, and in his own house.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 5] And he could there do no mighty work, save that he laid his hands upon a few sick persons, and healed them .
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 6] And he marveled because of their unbelief. And he went around the villages teaching.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 7] And he calleth to him the twelve, and began to send them forth by two and two; and gave them power over unclean spirits;
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 8] And commanded them that they should take nothing for their journey, save a staff only; no bag, no bread, no money in their purse:
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 9] But be shod with sandals; and not put on two coats.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 10] And he said to them, In whatever place ye enter into a house, there abide till ye depart from that place.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 11] And whoever shall not receive you, nor hear you, when ye depart thence shake off the dust under your feet, for a testimony against them. Verily I say to you, It shall be more tolerable for Sodom and Gomorrah in the day of judgment, than for that city.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 12] And they went out and preached that men should repent.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 13] And they cast out many demons, and anointed with oil many that were sick, and healed them .
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 14] And king Herod heard of him (for his name was spread abroad:) and he said, That John the Baptist had risen from the dead, and therefore mighty works do show forth themselves in him.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 15] Others said, That it is Elijah. And others said, That it is a prophet, or as one of the prophets.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 16] But when Herod heard of him , he said, It is John, whom I beheaded: he hath risen from the dead.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 17] For Herod himself had sent forth and laid hold upon John, and bound him in prison for the sake of Herodias, his brother Philip's wife: for he had married her.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 18] For John had said to Herod, It is not lawful for thee to have thy brother's wife.
[WEBSTER | EN | NT | Mark | Chapter 6 | Verse 19] Therefore Herodias had a quarrel against him, and would have killed him; but she could not:
