[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 1] And he arose from thence, and cometh into the borders of Judea, by the further side of Jordan: and the people resort to him again; and, as he was accustomed, he taught them again.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 2] And the Pharisees came to him, and asked him, Is it lawful for a man to put away his wife? tempting him.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 3] And he answered and said to them, What did Moses command you?
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 4] And they said, Moses suffered to write a bill of divorcement, and to put her away.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 5] And Jesus answered and said to them, For the hardness of your heart, he wrote you this precept.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 6] But from the beginning of the creation, God made them male and female.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 7] For this cause shall a man leave his father and mother, and cleave to his wife;
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 8] And they two shall be one flesh: so then they are no more two, but one flesh.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 9] What therefore God hath joined together, let not man separate.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 10] And in the house his disciples asked him again of the same matter .
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 11] And he saith to them, Whoever shall put away his wife, and marry another, committeth adultery against her.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 12] And if a woman shall put away her husband, and be married to another, she committeth adultery.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 13] And they brought young children to him, that he should touch them; and his disciples rebuked those that brought them .
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 14] But when Jesus saw it , he was much displeased, and said to them, Suffer the little children to come to me, and forbid them not: for of such is the kingdom of God.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 15] Verily I say to you, Whoever shall not receive the kingdom of God, as a little child, he shall not enter it.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 16] And he took them up in his arms, put his hands upon them, and blessed them.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 17] And when he had gone forth into the way, there came one running, and kneeled to him, and asked him, Good Master, what shall I do that I may inherit eternal life?
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 18] And Jesus said to him, Why callest thou me good? there is none good, but one, that is God.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 19] Thou knowest the commandments, Do not commit adultery, Do not kill, Do not steal, Do not bear false witness, Defraud not, Honor thy father and mother.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 20] And he answered and said to him, Master, all these have I observed from my youth.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 21] Then Jesus beholding him loved him, and said to him, One thing thou lackest: go, sell whatever thou hast, and give to the poor, and thou shalt have treasure in heaven; and come, take up the cross, and follow me.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 22] And he was sad at that saying, and went away grieved: for he had great possessions.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 23] And Jesus looked around, and saith to his disciples, How hardly shall they that have riches enter into the kingdom of God!
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 24] And the disciples were astonished at his words. But Jesus answereth again, and saith to them, Children, how hard is it for them that trust in riches to enter into the kingdom of God!
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 25] It is easier for a camel to go through the eye of a needle, than for a rich man to enter into the kingdom of God.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 26] And they were astonished beyond measure, saying among themselves, Who then can be saved?
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 27] And Jesus looking upon them, saith, With men it is impossible, but not with God: for with God all things are possible.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 28] Then Peter began to say to him, Lo, we have left all, and have followed thee.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 29] Jesus answered and said, Verily I say to you, There is no man that hath left house, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for my sake, and the gospel's,
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 30] But he shall receive a hundred-fold now in this time, houses, and brethren, and sisters, and mothers, and children, and lands, with persecutions; and in the world to come, eternal life.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 31] But many that are first shall be last; and the last first.
[WEBSTER | EN | NT | Mark | Chapter 10 | Verse 32] And they were in the way, going up to Jerusalem; and Jesus went before them: and they were amazed; and as they followed, they were afraid. And he took again the twelve, and began to tell them what things should happen to him,
