[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 1] And when they came nigh to Jerusalem, to Bethphage, and Bethany, at the mount of Olives, he sendeth forth two of his disciples,
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 2] And saith to them, Go into the village over against you: and as soon as ye have entered into it, ye shall find a colt tied, on which never man sat; loose him, and bring him .
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 3] And if any man shall say to you, Why do ye this? say ye that the Lord hath need of him; and immediately he will send him hither.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 4] And they went, and found the colt tied by the door without, in a place where two ways met; and they loose him.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 5] And certain of them that stood there, said to them, What do ye, loosing the colt?
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 6] And they said to them even as Jesus had commanded; and they let them go.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 7] And they brought the colt to Jesus, and cast their garments on him; and he sat upon him.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 8] And many spread their garments in the way: and others cut down branches off trees, and strewed them in the way.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 9] And they that went before, and they that followed, cried, saying, Hosanna: Blessed is he that cometh in the name of the Lord.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 10] Blessed be the kingdom of our Father David, that cometh in the name of the Lord: Hosanna in the highest.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 11] And Jesus entered into Jerusalem, and into the temple: and when he had looked round upon all things, it being now evening, he went out to Bethany, with the twelve.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 12] And on the morrow, when they had come from Bethany, he was hungry,
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 13] And seeing a fig-tree afar off, having leaves, he came, if haply he might find any thing on it: and when he came to it, he found nothing but leaves: for the time of figs had not yet come.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 14] And Jesus answered and said to it, Let no man eat fruit of thee hereafter for ever. And his disciples heard it .
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 15] And they come to Jerusalem: and Jesus went into the temple, and began to cast out them that sold and bought in the temple, and overthrew the tables of the money-changers, and the seats of them that sold doves;
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 16] And would not suffer that any man should carry any vessel through the temple.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 17] And he taught, saying to them, Is it not written, My house shall be called by all nations the house of prayer? but ye have made it a den of thieves.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 18] And the scribes and chief priests heard it , and sought how they might destroy him: for they feared him, because all the people were astonished at his doctrine.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 19] And when evening had come, he went out of the city.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 20] And in the morning, as they passed by, they saw the fig-tree dried up from the roots.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 21] And Peter calling to remembrance, saith to him, Master, behold, the fig-tree which thou cursedst is withered.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 22] And Jesus answering, saith to them, Have faith in God.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 23] For verily I say to you, that whoever shall say to this mountain, Be thou removed, and be thou cast into the sea; and shall not doubt in his heart, but shall believe that the things which he saith shall come to pass; he shall have whatever he saith.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 24] Therefore I say to you, Whatever things ye desire when ye pray, believe that ye receive them , and ye shall have them .
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 25] And when ye stand praying, forgive, if ye have aught against any: that your Father also who is in heaven may forgive you your trespasses.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 26] But if ye do not forgive, neither will your Father who is in heaven forgive your trespasses.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 27] And they come again to Jerusalem: and as he was walking in the temple, there come to him the chief priests, and the scribes, and the elders,
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 28] And say to him, By what authority doest thou these things? and who gave thee this authority to do these things?
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 29] And Jesus answered and said to them, I will also ask of you one question, and answer me, and I will tell you by what authority I do these things.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 30] The baptism of John, was it from heaven, or from men? answer me.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 31] And they reasoned with themselves, saying, If we shall say, From heaven; he will say, Why then did ye not believe him?
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 32] But if we shall say, from men; they feared the people: for all men counted John that he was a prophet indeed.
[WEBSTER | EN | NT | Mark | Chapter 11 | Verse 33] And they answered and said to Jesus, We cannot tell. And Jesus answering saith to them, Neither do I tell you by what authority I do these things.
