[DARBY | EN | NT | Luke | Chapter 10 | Verse 1] Now after these things the Lord appointed seventy others also, and sent them two and two before his face into every city and place where he himself was about to come.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 2] And he said to them, The harvest indeed [is] great, but the workmen few; supplicate therefore the Lord of the harvest that he may send out workmen into his harvest.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 3] Go: behold I send you forth as lambs in the midst of wolves.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 4] Carry neither purse nor scrip nor sandals, and salute no one on the way.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 5] And into whatsoever house ye enter, first say, Peace to this house.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 6] And if a son of peace be there, your peace shall rest upon it; but if not it shall turn to you again.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 7] And in the same house abide, eating and drinking such things as they have; for the workman is worthy of his hire. Remove not from house to house.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 8] And into whatsoever city ye may enter and they receive you, eat what is set before you,
[DARBY | EN | NT | Luke | Chapter 10 | Verse 9] and heal the sick in it, and say to them, The kingdom of God is come nigh to you.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 10] But into whatsoever city ye may have entered and they do not receive you, go out into its streets and say,
[DARBY | EN | NT | Luke | Chapter 10 | Verse 11] Even the dust of your city, which cleaves to us on the feet, do we shake off against you; but know this, that the kingdom of God is come nigh.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 12] I say to you that it shall be more tolerable for Sodom in that day than for that city.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 13] Woe to thee, Chorazin! woe to thee, Bethsaida! for if the works of power which have taken place in you had taken place in Tyre and Sidon, they had long ago repented, sitting in sackcloth and ashes.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 14] But it shall be more tolerable for Tyre and Sidon in the judgment than for you.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 15] And thou, Capernaum, who hast been raised up to heaven, shalt be brought down even to hades.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 16] He that hears you hears me; and he that rejects you rejects me; and he that rejects me rejects him that sent me.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 17] And the seventy returned with joy, saying, Lord, even the demons are subject to us through thy name.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 18] And he said to them, I beheld Satan as lightning falling out of heaven.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 19] Behold, I give you the power of treading upon serpents and scorpions and over all the power of the enemy, and nothing shall in anywise injure you.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 20] Yet in this rejoice not, that the spirits are subjected to you, but rejoice that your names are written in the heavens.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 21] In the same hour Jesus rejoiced in spirit and said, I praise thee, Father, Lord of the heaven and of the earth, that thou hast hid these things from wise and prudent, and hast revealed them to babes: yea, Father, for thus has it been well-pleasing in thy sight.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 22] All things have been delivered to me by my Father, and no one knows who the Son is but the Father, and who the Father is but the Son, and he to whomsoever the Son is pleased to reveal [him].
[DARBY | EN | NT | Luke | Chapter 10 | Verse 23] And having turned to the disciples privately he said, Blessed are the eyes which see the things that ye see.
[DARBY | EN | NT | Luke | Chapter 10 | Verse 24] For I say to you that many prophets and kings have desired to see the things which ye behold, and did not see [them]; and to hear the things which ye hear, and did not hear [them].
[DARBY | EN | NT | Luke | Chapter 10 | Verse 25] And behold, a certain lawyer stood up tempting him, and saying, Teacher, having done what, shall I inherit life eternal?
