[DARBY | EN | NT | Luke | Chapter 6 | Verse 1] And it came to pass on [the] second-first sabbath, that he went through cornfields, and his disciples were plucking the ears and eating [them], rubbing [them] in their hands.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 2] But some of the Pharisees said to them, Why do ye what is not lawful to do on the sabbath?
[DARBY | EN | NT | Luke | Chapter 6 | Verse 3] And Jesus answering said to them, Have ye not read so much as this, what David did when he hungered, he and those who were with him,
[DARBY | EN | NT | Luke | Chapter 6 | Verse 4] how he entered into the house of God and took the shewbread and ate, and gave to those also who were with him, which it is not lawful that [any] eat, unless the priests alone?
[DARBY | EN | NT | Luke | Chapter 6 | Verse 5] And he said to them, The Son of man is Lord of the sabbath also.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 6] And it came to pass on another sabbath also that he entered into the synagogue and taught; and there was a man there, and his right hand was withered.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 7] And the scribes and the Pharisees were watching if he would heal on the sabbath, that they might find something of which to accuse him.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 8] But he knew their thoughts, and said to the man who had the withered hand, Get up, and stand in the midst. And having risen up he stood [there].
[DARBY | EN | NT | Luke | Chapter 6 | Verse 9] Jesus therefore said to them, I will ask you if it is lawful on the sabbath to do good, or to do evil? to save life, or to destroy [it]?
[DARBY | EN | NT | Luke | Chapter 6 | Verse 10] And having looked around on them all, he said to him, Stretch out thy hand. And he did [so] and his hand was restored as the other.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 11] But they were filled with madness, and they spoke together among themselves what they should do to Jesus.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 12] And it came to pass in those days that he went out into the mountain to pray, and he spent the night in prayer to God.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 13] And when it was day he called his disciples, and having chosen out twelve from them, whom also he named apostles:
[DARBY | EN | NT | Luke | Chapter 6 | Verse 14] Simon, to whom also he gave the name of Peter, and Andrew his brother, [and] James and John, [and] Philip and Bartholomew,
[DARBY | EN | NT | Luke | Chapter 6 | Verse 15] [and] Matthew and Thomas, James the [son] of Alphaeus and Simon who was called Zealot,
[DARBY | EN | NT | Luke | Chapter 6 | Verse 16] [and] Judas [brother] of James, and Judas Iscariote, who was also [his] betrayer;
[DARBY | EN | NT | Luke | Chapter 6 | Verse 17] and having descended with them, he stood on a level place, and a crowd of his disciples, and a great multitude of the people from all Judaea and Jerusalem, and the sea coast of Tyre and Sidon, who came to hear him, and to be healed of their diseases;
[DARBY | EN | NT | Luke | Chapter 6 | Verse 18] and those that were beset by unclean spirits were healed.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 19] And all the crowd sought to touch him, for power went out from him and healed all.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 20] And he, lifting up his eyes upon his disciples, said, Blessed [are] ye poor, for yours is the kingdom of God.
[DARBY | EN | NT | Luke | Chapter 6 | Verse 21] Blessed ye that hunger now, for ye shall be filled. Blessed ye that weep now, for ye shall laugh.
