[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 1] ನೀವು ನಿಮ್ಮ ದೇವರಾಗಿರುವ ಯೆಹೋವನ ಮಕ್ಕಳಾಗಿರುವುದರಿಂದ ಸತ್ತವರಿಗೋಸ್ಕರ ದೇಹವನ್ನು ಗಾಯಮಾಡಿಕೊಳ್ಳಬಾರದು ಮತ್ತು ತಲೆಯ ಮುಂದಿನಭಾಗವನ್ನು ಬೋಳಿಸಿಕೊಳ್ಳಲೂ ಬಾರದು.
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 2] ಯಾಕೆಂದರೆ ನೀವು ಕೇವಲ ನಿಮ್ಮ ದೇವರಾದ ಯೆಹೋವನ ಪರಿಶುದ್ಧ ಜನರೇ. ಆತನು ಭೂಲೋಕದಲ್ಲಿರುವ ಸಮಸ್ತ ಜನಾಂಗಗಳಲ್ಲಿ ನಿಮ್ಮನ್ನೇ ಸ್ವಕೀಯ ಜನರಾಗುವುದಕ್ಕೆ ಆರಿಸಿಕೊಂಡಿದ್ದಾನೆ ಎಂಬುದು ನಿಮಗೆ ತಿಳಿದಿರಬೇಕು.
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 3] ನಿಷಿದ್ಧವಾಗಿರುವ ಯಾವುದನ್ನೂ ನೀವು ತಿನ್ನಬಾರದು.
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 4] ನೀವು ತಿನ್ನಬಹುದಾದ ಪಶುಜಾತಿಗಳು ಯಾವುವೆಂದರೆ ದನ, ಕುರಿ, ಆಡು,
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 5] ದುಪ್ಪಿ, ಜಿಂಕೆ, ಸಾರಂಗ, ಕಾಡುಮೇಕೆ, ಚಿಗರಿ, ಕಡವೆ, ಕೊಂಡಗುರಿ (ಕಾಡುಟಗರು) ಎಂಬಿವುಗಳೇ.
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 6] ಯಾವ ಪ್ರಾಣಿಯ ಕಾಲ್ಗೊರಸು ಸೀಳಿದೆಯೋ ಅದು ಮೆಲಕುಹಾಕುವಂಥದಾದರೆ ಅದರ ಮಾಂಸವನ್ನು ತಿನ್ನಬಹುದು.
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 7] ಆದರೆ ಯಾವ ಪ್ರಾಣಿಯು ಮೆಲಕುಹಾಕಿದರೂ ಗೊರಸು ಸೀಳಿರುವುದಿಲ್ಲವೋ ಮತ್ತು ಯಾವ ಪ್ರಾಣಿಯ ಗೊರಸು ಸೀಳಿದ್ದರೂ ಮೆಲಕು ಹಾಕುವುದಿಲ್ಲವೋ, ಅವುಗಳ ಮಾಂಸವನ್ನು ನೀವು ತಿನ್ನಬಾರದು. ಉದಾಹರಣೆ: ಒಂಟೆ, ಮೊಲ, ಬೆಟ್ಟದಮೊಲ ಇವುಗಳು ಮೆಲಕುಹಾಕುವಂಥವುಗಳಾದರೂ ಸೀಳುಗೊರಸು ಇಲ್ಲವಾದ ಕಾರಣ ಅವು ನಿಮಗೆ ಅಶುದ್ಧ.
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 8] ಹಂದಿಯ ಗೊರಸು ಸೀಳಿದ್ದರೂ ಅದು ಮೆಲಕುಹಾಕುವುದಿಲ್ಲವಾದುದರಿಂದ ಅದು ನಿಮಗೆ ಅಶುದ್ಧ. ಇವುಗಳ ಮಾಂಸವನ್ನು ನೀವು ತಿನ್ನಬಾರದು; ಇವುಗಳ ಹೆಣವನ್ನು ಮುಟ್ಟಬಾರದು.
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 9] ಜಲಜಂತುಗಳಲ್ಲಿ ನೀವು ತಿನ್ನಬಹುದಾದವುಗಳು ಯಾವುವೆಂದರೆ: ಯಾವ ಜಾತಿಯ ಜಲಜಂತುಗಳಿಗೆ ರೆಕ್ಕೆ ಇದ್ದು ದೇಹವೆಲ್ಲಾ ಪರೆಪರೆಯಾಗಿರುವುದೋ ಅದರ ಮಾಂಸವನ್ನು ತಿನ್ನಬಹುದು.
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 10] ಯಾವ ಜಾತಿಯ ಜಲಜಂತುಗಳಿಗೆ ರೆಕ್ಕೆಯೂ ಮತ್ತು ಪರೆಪರೆಯಾದ ದೇಹವು ಇರುವುದಿಲ್ಲವೋ ಅವುಗಳ ಮಾಂಸವನ್ನು ನೀವು ತಿನ್ನಬಾರದು; ಅದು ನಿಮಗೆ ಅಶುದ್ಧ.
[IRV | KN | OT | Deuteronomy | Chapter 14 | Verse 11] ಎಲ್ಲಾ ಶುದ್ಧ ಪಕ್ಷಿಗಳ ಮಾಂಸವನ್ನು ನೀವು ತಿನ್ನಬಹುದು.
