[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 1] To the Thessalonian church in union with God our Father and the Lord Jesus Christ, From Paul, Silas, and Timothy.
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 2] May God, the Father, and the Lord Jesus Christ bless you and give you peace.
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 3] Friends, it is our duty always to thank God about you, as is but right, considering the wonderful growth of your faith, and because, without exception, your love for one another is continually increasing.
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 4] So much is this the case that we ourselves speak with pride, before the churches of God, of the patience and faith which you have shown, in spite of all the persecutions and troubles that you are enduring.
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 5] These persecutions will vindicate the justice of God’s judgment, and will result in your being reckoned worthy of God’s kingdom, for the sake of which you are now suffering;
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 6] since God deems it just to inflict suffering on those who are now inflicting suffering on you,
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 7] and to give relief to you who are suffering, as well as to us, at the appearing of the Lord Jesus from heaven with his mighty angels, in flaming fire.
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 8] Then he will inflict punishment on those who refuse to know God, and on those who turn a deaf ear to the good news of Jesus, our Lord.
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 9] They will pay the penalty of unutterable ruin – banished from the presence of the Lord and from the glorious manifestation of his might,
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 10] when he comes to be honoured in his people, and to be revered in all who have learned to believe in him (for you also believed our testimony) – as he will be on that day.
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 11] With this in view, our constant prayer for you is that our God may count you worthy of the call that you have received, and by his power make perfect your delight in all goodness and the efforts that have resulted from your faith.
[OEB | EN | NT | 2 Thessalonians | Chapter 1 | Verse 12] Then, in the loving kindness of our God and the Lord Jesus Christ, will the name of Jesus, our Lord, be honoured in you, and you in him.
