[DRA | EN | NT | 1 John | Chapter 5 | Verse 1] Whosoever believeth that Jesus is the Christ, is born of God. And every one that loveth him who begot, loveth him also who is born of him.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 2] In this we know that we love the children of God: when we love God, and keep his commandments.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 3] For this is the charity of God, that we keep his commandments: and his commandments are not heavy.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 4] For whatsoever is born of God, overcometh the world: and this is the victory which overcometh the world, our faith.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 5] Who is he that overcometh the world, but he that believeth that Jesus is the Son of God?
[DRA | EN | NT | 1 John | Chapter 5 | Verse 6] This is he that came by water and blood, Jesus Christ: not by water only, but by water and blood. And it is the Spirit which testifieth, that Christ is the truth.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 7] And there are three who give testimony in heaven, the Father, the Word, and the Holy Ghost. And these three are one.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 8] And there are three that give testimony on earth: the spirit, and the water, and the blood: and these three are one.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 9] If we receive the testimony of men, the testimony of God is greater. For this is the testimony of God, which is greater, because he hath testified of his Son.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 10] He that believeth in the Son of God, hath the testimony of God in himself. He that believeth not the Son, maketh him a liar: because he believeth not in the testimony which God hath testified of his Son.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 11] And this is the testimony, that God hath given to us eternal life. And this life is in his Son.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 12] He that hath the Son, hath life. He that hath not the Son, hath not life.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 13] These things I write to you, that you may know that you have eternal life, you who believe in the name of the Son of God.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 14] And this is the confidence which we have towards him: That, whatsoever we shall ask according to his will, he heareth us.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 15] And we know that he heareth us whatsoever we ask: we know that we have the petitions which we request of him.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 16] He that knoweth his brother to sin a sin which is not to death, let him ask, and life shall be given to him, who sinneth not to death. There is a sin unto death: for that I say not that any man ask.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 17] All iniquity is sin. And there is a sin unto death.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 18] We know that whosoever is born of God, sinneth not: but the generation of God preserveth him, and the wicked one toucheth him not.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 19] We know that we are of God, and the whole world is seated in wickedness.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 20] And we know that the Son of God is come: and he hath given us understanding that we may know the true God, and may be in his true Son. This is the true God and life eternal.
[DRA | EN | NT | 1 John | Chapter 5 | Verse 21] Little children, keep yourselves from idols. Amen.
