[DARBY | EN | OT | Job | Chapter 19 | Verse 1] And Job answered and said,
[DARBY | EN | OT | Job | Chapter 19 | Verse 2] How long will ye vex my soul, and crush me with words?
[DARBY | EN | OT | Job | Chapter 19 | Verse 3] These ten times have ye reproached me; ye are not ashamed to stupefy me.
[DARBY | EN | OT | Job | Chapter 19 | Verse 4] And be it [that] I have erred, mine error remaineth with myself.
[DARBY | EN | OT | Job | Chapter 19 | Verse 5] If indeed ye will magnify yourselves against me, and prove against me my reproach,
[DARBY | EN | OT | Job | Chapter 19 | Verse 6] Know now that God hath overthrown me, and hath surrounded me with his net.
[DARBY | EN | OT | Job | Chapter 19 | Verse 7] Behold, I cry out of wrong, and I am not heard; I cry aloud, but there is no judgment.
[DARBY | EN | OT | Job | Chapter 19 | Verse 8] He hath hedged up my way that I cannot pass, and he hath set darkness in my paths.
[DARBY | EN | OT | Job | Chapter 19 | Verse 9] He hath stripped me of my glory, and taken the crown from my head.
[DARBY | EN | OT | Job | Chapter 19 | Verse 10] He breaketh me down on every side, and I am gone; and my hope hath he torn up as a tree.
[DARBY | EN | OT | Job | Chapter 19 | Verse 11] And he hath kindled his anger against me, and hath counted me unto him as one of his enemies.
[DARBY | EN | OT | Job | Chapter 19 | Verse 12] His troops have come together and cast up their way against me, and have encamped round about my tent.
[DARBY | EN | OT | Job | Chapter 19 | Verse 13] He hath put my brethren far from me, and mine acquaintance are quite estranged from me.
[DARBY | EN | OT | Job | Chapter 19 | Verse 14] My kinsfolk have failed, and my known friends have forgotten me.
[DARBY | EN | OT | Job | Chapter 19 | Verse 15] The sojourners in my house and my maids count me as a stranger; I am an alien in their sight.
[DARBY | EN | OT | Job | Chapter 19 | Verse 16] I called my servant, and he answered not; I entreated him with my mouth.
[DARBY | EN | OT | Job | Chapter 19 | Verse 17] My breath is strange to my wife, and my entreaties to the children of my [mother's] womb.
[DARBY | EN | OT | Job | Chapter 19 | Verse 18] Even young children despise me; I rise up, and they speak against me.
[DARBY | EN | OT | Job | Chapter 19 | Verse 19] All my intimate friends abhor me, and they whom I loved are turned against me.
[DARBY | EN | OT | Job | Chapter 19 | Verse 20] My bones cleave to my skin and to my flesh, and I am escaped with the skin of my teeth.
[DARBY | EN | OT | Job | Chapter 19 | Verse 21] Have pity upon me, have pity upon me, ye my friends; for the hand of God hath touched me.
[DARBY | EN | OT | Job | Chapter 19 | Verse 22] Why do ye persecute me as God, and are not satisfied with my flesh?
[DARBY | EN | OT | Job | Chapter 19 | Verse 23] Oh would that my words were written! oh that they were inscribed in a book!
[DARBY | EN | OT | Job | Chapter 19 | Verse 24] That with an iron style and lead they were graven in the rock for ever!
[DARBY | EN | OT | Job | Chapter 19 | Verse 25] And [as for] me, I know that my Redeemer liveth, and the Last, he shall stand upon the earth;
[DARBY | EN | OT | Job | Chapter 19 | Verse 26] And [if] after my skin this shall be destroyed, yet from out of my flesh shall I see God;
[DARBY | EN | OT | Job | Chapter 19 | Verse 27] Whom I shall see for myself, and mine eyes shall behold, and not another: — my reins are consumed within me.
[DARBY | EN | OT | Job | Chapter 19 | Verse 28] If ye say, How shall we persecute him? when the root of the matter is found in me,
[DARBY | EN | OT | Job | Chapter 19 | Verse 29] Be ye yourselves afraid of the sword! for the sword is fury against misdeeds, that ye may know there is a judgment.
