[DARBY | EN | OT | Job | Chapter 37 | Verse 1] Aye, my heart trembleth at this also, and leapeth up out of its place:
[DARBY | EN | OT | Job | Chapter 37 | Verse 2] Hear attentively the roar of his voice, and the murmur going forth from his mouth.
[DARBY | EN | OT | Job | Chapter 37 | Verse 3] He sendeth it forth under the whole heaven, and his lightning unto the ends of the earth.
[DARBY | EN | OT | Job | Chapter 37 | Verse 4] After it a voice roareth: he thundereth with the voice of his excellency, and holdeth not back the flashes when his voice is heard.
[DARBY | EN | OT | Job | Chapter 37 | Verse 5] God thundereth marvellously with his voice, doing great things which we do not comprehend.
[DARBY | EN | OT | Job | Chapter 37 | Verse 6] For he saith to the snow, Fall on the earth! and to the pouring rain, even the pouring rains of his might.
[DARBY | EN | OT | Job | Chapter 37 | Verse 7] He sealeth up the hand of every man; that all men may know his work.
[DARBY | EN | OT | Job | Chapter 37 | Verse 8] And the wild beast goeth into its lair, and they remain in their dens.
[DARBY | EN | OT | Job | Chapter 37 | Verse 9] From the chamber [of the south] cometh the whirlwind; and cold from the winds of the north.
[DARBY | EN | OT | Job | Chapter 37 | Verse 10] By the breath of God ice is given; and the breadth of the waters is straitened.
[DARBY | EN | OT | Job | Chapter 37 | Verse 11] Also with plentiful moisture he loadeth the thick clouds, his light dispels the cloud;
[DARBY | EN | OT | Job | Chapter 37 | Verse 12] And they are turned every way by his guidance, that they may do whatsoever he commandeth them upon the face of the circuit of the earth,
[DARBY | EN | OT | Job | Chapter 37 | Verse 13] Whether he cause it to come as a rod, or for his land, or in mercy.
[DARBY | EN | OT | Job | Chapter 37 | Verse 14] Hearken unto this, Job; stand still and discern the wondrous works of God.
[DARBY | EN | OT | Job | Chapter 37 | Verse 15] Dost thou know how God hath disposed them, and how he causeth the lightning of his cloud to flash?
[DARBY | EN | OT | Job | Chapter 37 | Verse 16] Dost thou know about the balancings of the clouds, the wondrous works of him that is perfect in knowledge?
[DARBY | EN | OT | Job | Chapter 37 | Verse 17] How thy garments become warm when he quieteth the earth by the south wind?
[DARBY | EN | OT | Job | Chapter 37 | Verse 18] Hast thou with him spread out the sky, firm, like a molten mirror?
[DARBY | EN | OT | Job | Chapter 37 | Verse 19] Teach us what we shall say unto him! We cannot order [our words] by reason of darkness.
[DARBY | EN | OT | Job | Chapter 37 | Verse 20] Shall it be told him if I would speak? if a man [so] say, surely he shall be swallowed up.
[DARBY | EN | OT | Job | Chapter 37 | Verse 21] And now [men] see not the light as it gleameth, it is [hidden] in the skies. But the wind passeth by and cleareth them.
[DARBY | EN | OT | Job | Chapter 37 | Verse 22] From the north cometh gold; with God is terrible majesty.
[DARBY | EN | OT | Job | Chapter 37 | Verse 23] The Almighty, we cannot find him out: excellent in power, and in judgment, and in abundance of justice, he doth not afflict.
[DARBY | EN | OT | Job | Chapter 37 | Verse 24] Men do therefore fear him: he respecteth not any that are wise of heart.
