[DARBY | EN | OT | Job | Chapter 4 | Verse 1] And Eliphaz the Temanite answered and said,
[DARBY | EN | OT | Job | Chapter 4 | Verse 2] If a word were essayed to thee, wouldest thou be grieved? But who can refrain from speaking?
[DARBY | EN | OT | Job | Chapter 4 | Verse 3] Behold, thou hast instructed many, and thou hast strengthened the weak hands;
[DARBY | EN | OT | Job | Chapter 4 | Verse 4] Thy words have upholden him that was stumbling, and thou hast braced up the bending knees:
[DARBY | EN | OT | Job | Chapter 4 | Verse 5] But now it is come upon thee, and thou grievest; it toucheth thee, and thou art troubled.
[DARBY | EN | OT | Job | Chapter 4 | Verse 6] Hath not thy piety been thy confidence, and the perfection of thy ways thy hope?
[DARBY | EN | OT | Job | Chapter 4 | Verse 7] Remember, I pray thee, who that was innocent has perished? and where were the upright cut off?
[DARBY | EN | OT | Job | Chapter 4 | Verse 8] Even as I have seen, they that plough iniquity and sow mischief, reap the same.
[DARBY | EN | OT | Job | Chapter 4 | Verse 9] By the breath of God they perish, and by the blast of his nostrils are they consumed.
[DARBY | EN | OT | Job | Chapter 4 | Verse 10] The roar of the lion, and the voice of the fierce lion, and the teeth of the young lions, are broken;
[DARBY | EN | OT | Job | Chapter 4 | Verse 11] The old lion perisheth for lack of prey, and the whelps of the lioness are scattered.
[DARBY | EN | OT | Job | Chapter 4 | Verse 12] Now to me a word was secretly brought, and mine ear received a whisper thereof.
[DARBY | EN | OT | Job | Chapter 4 | Verse 13] In thoughts from visions of the night, when deep sleep falleth on men: —
[DARBY | EN | OT | Job | Chapter 4 | Verse 14] Fear came on me, and trembling, and made all my bones to shake;
[DARBY | EN | OT | Job | Chapter 4 | Verse 15] And a spirit passed before my face — the hair of my flesh stood up —
[DARBY | EN | OT | Job | Chapter 4 | Verse 16] It stood still; I could not discern the appearance thereof: a form was before mine eyes; I heard a slight murmur and a voice:
[DARBY | EN | OT | Job | Chapter 4 | Verse 17] Shall [mortal] man be more just than God? Shall a man be purer than his Maker?
[DARBY | EN | OT | Job | Chapter 4 | Verse 18] Lo, he trusteth not his servants, and his angels he chargeth with folly:
[DARBY | EN | OT | Job | Chapter 4 | Verse 19] How much more them that dwell in houses of clay, whose foundation is in the dust, who are crushed as the moth!
[DARBY | EN | OT | Job | Chapter 4 | Verse 20] From morning to evening are they smitten: without any heeding it, they perish for ever.
[DARBY | EN | OT | Job | Chapter 4 | Verse 21] Is not their tent-cord torn away in them? they die, and without wisdom.
