[DARBY | EN | OT | Job | Chapter 40 | Verse 1] And Jehovah answered Job and said,
[DARBY | EN | OT | Job | Chapter 40 | Verse 2] Shall he that will contend with the Almighty instruct [him]? he that reproveth God, let him answer it.
[DARBY | EN | OT | Job | Chapter 40 | Verse 3] And Job answered Jehovah and said,
[DARBY | EN | OT | Job | Chapter 40 | Verse 4] Behold, I am nought: what shall I answer thee? I will lay my hand upon my mouth.
[DARBY | EN | OT | Job | Chapter 40 | Verse 5] Once have I spoken, and I will not answer; yea twice, but I will proceed no further.
[DARBY | EN | OT | Job | Chapter 40 | Verse 6] And Jehovah answered Job out of the whirlwind and said,
[DARBY | EN | OT | Job | Chapter 40 | Verse 7] Gird up now thy loins like a man: I will demand of thee, and inform thou me.
[DARBY | EN | OT | Job | Chapter 40 | Verse 8] Wilt thou also annul my judgment? wilt thou condemn me that thou mayest be righteous?
[DARBY | EN | OT | Job | Chapter 40 | Verse 9] Hast thou an arm like God? or canst thou thunder with a voice like him?
[DARBY | EN | OT | Job | Chapter 40 | Verse 10] Deck thyself now with glory and excellency, and clothe thyself with majesty and splendour.
[DARBY | EN | OT | Job | Chapter 40 | Verse 11] Cast abroad the ragings of thine anger, and look on every one that is proud, and abase him:
[DARBY | EN | OT | Job | Chapter 40 | Verse 12] Look on every one that is proud, bring him low, and tread down the wicked in their place:
[DARBY | EN | OT | Job | Chapter 40 | Verse 13] Hide them in the dust together; bind their faces in secret.
[DARBY | EN | OT | Job | Chapter 40 | Verse 14] Then will I also praise thee, because thy right hand saveth thee.
[DARBY | EN | OT | Job | Chapter 40 | Verse 15] See now the behemoth, which I made with thee: he eateth grass as an ox.
[DARBY | EN | OT | Job | Chapter 40 | Verse 16] Behold now, his strength is in his loins, and his force is in the muscles of his belly.
[DARBY | EN | OT | Job | Chapter 40 | Verse 17] He bendeth his tail like a cedar; the sinews of his thighs are woven together.
[DARBY | EN | OT | Job | Chapter 40 | Verse 18] His bones are tubes of bronze, his members are like bars of iron.
[DARBY | EN | OT | Job | Chapter 40 | Verse 19] He is the chief of God's ways: he that made him gave him his sword.
[DARBY | EN | OT | Job | Chapter 40 | Verse 20] For the mountains bring him forth food, where all the beasts of the field play.
[DARBY | EN | OT | Job | Chapter 40 | Verse 21] He lieth under lotus-bushes, in the covert of the reed and fen:
[DARBY | EN | OT | Job | Chapter 40 | Verse 22] Lotus-bushes cover him with their shade; the willows of the brook surround him.
[DARBY | EN | OT | Job | Chapter 40 | Verse 23] Lo, the river overfloweth — he startleth not: he is confident though a Jordan break forth against his mouth.
[DARBY | EN | OT | Job | Chapter 40 | Verse 24] Shall he be taken in front? will they pierce through [his] nose in the trap?
