[DARBY | EN | OT | Job | Chapter 6 | Verse 1] And Job answered and said,
[DARBY | EN | OT | Job | Chapter 6 | Verse 2] Oh that my grief were thoroughly weighed, and all my calamity laid in the balances!
[DARBY | EN | OT | Job | Chapter 6 | Verse 3] For now it would be heavier than the sand of the seas; therefore my words are vehement.
[DARBY | EN | OT | Job | Chapter 6 | Verse 4] For the arrows of the Almighty are within me, their poison drinketh up my spirit: the terrors of God are arrayed against me.
[DARBY | EN | OT | Job | Chapter 6 | Verse 5] Doth the wild ass bray by the grass? loweth an ox over his fodder?
[DARBY | EN | OT | Job | Chapter 6 | Verse 6] Shall that which is insipid be eaten without salt? Is there any taste in the white of an egg?
[DARBY | EN | OT | Job | Chapter 6 | Verse 7] What my soul refuseth to touch, that is as my loathsome food.
[DARBY | EN | OT | Job | Chapter 6 | Verse 8] Oh that I might have my request, and that God would grant my desire!
[DARBY | EN | OT | Job | Chapter 6 | Verse 9] And that it would please God to crush me, that he would let loose his hand and cut me off!
[DARBY | EN | OT | Job | Chapter 6 | Verse 10] Then should I yet have comfort; and in the pain which spareth not I would rejoice that I have not denied the words of the Holy One.
[DARBY | EN | OT | Job | Chapter 6 | Verse 11] What is my strength, that I should hope? and what is mine end, that I should have patience?
[DARBY | EN | OT | Job | Chapter 6 | Verse 12] Is my strength the strength of stones? is my flesh of brass?
[DARBY | EN | OT | Job | Chapter 6 | Verse 13] Is it not that there is no help in me, and soundness is driven away from me?
[DARBY | EN | OT | Job | Chapter 6 | Verse 14] For him that is fainting kindness [is meet] from his friend; or he forsaketh the fear of the Almighty.
[DARBY | EN | OT | Job | Chapter 6 | Verse 15] My brethren have dealt deceitfully as a stream, as the channel of streams which pass away,
[DARBY | EN | OT | Job | Chapter 6 | Verse 16] Which are turbid by reason of the ice, in which the snow hideth itself:
[DARBY | EN | OT | Job | Chapter 6 | Verse 17] At the time they diminish, they are dried up; when heat affecteth them, they vanish from their place:
[DARBY | EN | OT | Job | Chapter 6 | Verse 18] They wind about in the paths of their course, they go off into the waste and perish.
[DARBY | EN | OT | Job | Chapter 6 | Verse 19] The caravans of Tema looked, the companies of Sheba counted on them:
[DARBY | EN | OT | Job | Chapter 6 | Verse 20] They are ashamed at their hope; they come thither, and are confounded.
[DARBY | EN | OT | Job | Chapter 6 | Verse 21] So now ye are nothing; ye see a terrible object and are afraid.
[DARBY | EN | OT | Job | Chapter 6 | Verse 22] Did I say, Bring unto me, and make me a present from your substance?
[DARBY | EN | OT | Job | Chapter 6 | Verse 23] Or, rescue me from the hand of the oppressor, and redeem me from the hand of the violent?
[DARBY | EN | OT | Job | Chapter 6 | Verse 24] Teach me, and I will hold my tongue; and cause me to understand wherein I have erred.
[DARBY | EN | OT | Job | Chapter 6 | Verse 25] How forcible are right words! but what doth your upbraiding reprove?
[DARBY | EN | OT | Job | Chapter 6 | Verse 26] Do ye imagine to reprove words? The speeches of one that is desperate are indeed for the wind.
[DARBY | EN | OT | Job | Chapter 6 | Verse 27] Yea, ye overwhelm the fatherless, and dig [a pit] for your friend.
[DARBY | EN | OT | Job | Chapter 6 | Verse 28] Now therefore if ye will, look upon me; and it shall be to your face if I lie.
[DARBY | EN | OT | Job | Chapter 6 | Verse 29] Return, I pray you, let there be no wrong; yea, return again, my righteousness shall be in it.
[DARBY | EN | OT | Job | Chapter 6 | Verse 30] Is there wrong in my tongue? cannot my taste discern mischievous things?
