[DARBY | EN | OT | Job | Chapter 16 | Verse 1] And Job answered and said,
[DARBY | EN | OT | Job | Chapter 16 | Verse 2] I have heard many such things: grievous comforters are ye all.
[DARBY | EN | OT | Job | Chapter 16 | Verse 3] Shall words of wind have an end? or what provoketh thee that thou answerest?
[DARBY | EN | OT | Job | Chapter 16 | Verse 4] I also could speak as ye: if your soul were in my soul's stead, I could join together words against you, and shake my head at you;
[DARBY | EN | OT | Job | Chapter 16 | Verse 5] [But] I would encourage you with my mouth, and the solace of my lips should assuage [your pain].
[DARBY | EN | OT | Job | Chapter 16 | Verse 6] If I speak, my pain is not assuaged; and if I forbear, what am I eased?
[DARBY | EN | OT | Job | Chapter 16 | Verse 7] But now he hath made me weary; ...thou hast made desolate all my family;
[DARBY | EN | OT | Job | Chapter 16 | Verse 8] Thou hast shrivelled me up! it is become a witness; and my leanness riseth up against me, it beareth witness to my face.
[DARBY | EN | OT | Job | Chapter 16 | Verse 9] His anger teareth and pursueth me; he gnasheth with his teeth against me; [as] mine adversary he sharpeneth his eyes at me.
[DARBY | EN | OT | Job | Chapter 16 | Verse 10] They gape upon me with their mouth; they smite my cheeks reproachfully; they range themselves together against me.
[DARBY | EN | OT | Job | Chapter 16 | Verse 11] God hath delivered me over to the iniquitous man, and hurled me into the hands of the wicked.
[DARBY | EN | OT | Job | Chapter 16 | Verse 12] I was at rest, but he hath shattered me; he hath taken me by the neck and shaken me to pieces, and set me up for his mark.
[DARBY | EN | OT | Job | Chapter 16 | Verse 13] His arrows encompass me round about, he cleaveth my reins asunder and doth not spare; he poureth out my gall upon the ground.
[DARBY | EN | OT | Job | Chapter 16 | Verse 14] He breaketh me with breach upon breach; he runneth upon me like a mighty man.
[DARBY | EN | OT | Job | Chapter 16 | Verse 15] I have sewed sackcloth upon my skin, and rolled my horn in the dust.
[DARBY | EN | OT | Job | Chapter 16 | Verse 16] My face is red with weeping, and on my eyelids is the shadow of death;
[DARBY | EN | OT | Job | Chapter 16 | Verse 17] Although there is no violence in my hands, and my prayer is pure.
[DARBY | EN | OT | Job | Chapter 16 | Verse 18] O earth, cover not my blood, and let there be no place for my cry!
[DARBY | EN | OT | Job | Chapter 16 | Verse 19] Even now, behold, my Witness is in the heavens, and he that voucheth for me is in the heights.
[DARBY | EN | OT | Job | Chapter 16 | Verse 20] My friends are my mockers; mine eye poureth out tears unto God.
[DARBY | EN | OT | Job | Chapter 16 | Verse 21] Oh that there were arbitration for a man with God, as a son of man for his friend!
[DARBY | EN | OT | Job | Chapter 16 | Verse 22] For years [few] in number shall pass, — and I shall go the way [whence] I shall not return.
