[DARBY | EN | OT | Job | Chapter 42 | Verse 1] And Job answered Jehovah and said,
[DARBY | EN | OT | Job | Chapter 42 | Verse 2] I know that thou canst do everything, and that thou canst be hindered in no thought of thine.
[DARBY | EN | OT | Job | Chapter 42 | Verse 3] Who is he that obscureth counsel without knowledge? therefore have I uttered what I did not understand; things too wonderful for me, which I knew not.
[DARBY | EN | OT | Job | Chapter 42 | Verse 4] Hear, I beseech thee, and I will speak: I will demand of thee, and inform me.
[DARBY | EN | OT | Job | Chapter 42 | Verse 5] I had heard of thee by the hearing of the ear, but now mine eye seeth thee:
[DARBY | EN | OT | Job | Chapter 42 | Verse 6] Wherefore I abhor [myself], and repent in dust and ashes.
[DARBY | EN | OT | Job | Chapter 42 | Verse 7] And it came to pass after Jehovah had spoken these words to Job, that Jehovah said to Eliphaz the Temanite, Mine anger is kindled against thee, and against thy two friends; for ye have not spoken rightly of me, like my servant Job.
[DARBY | EN | OT | Job | Chapter 42 | Verse 8] And now, take for yourselves seven bullocks and seven rams, and go to my servant Job, and offer up for yourselves a burnt-offering; and my servant Job shall pray for you, for him will I accept: lest I deal with you [after your] folly, for ye have not spoken of me rightly, like my servant Job.
[DARBY | EN | OT | Job | Chapter 42 | Verse 9] Then Eliphaz the Temanite, and Bildad the Shuhite, and Zophar the Naamathite, went and did according as Jehovah had said unto them; and Jehovah accepted Job.
[DARBY | EN | OT | Job | Chapter 42 | Verse 10] And Jehovah turned the captivity of Job, when he had prayed for his friends; and Jehovah gave Job twice as much as he had before.
[DARBY | EN | OT | Job | Chapter 42 | Verse 11] And all his brethren, and all his sisters, and all they that had been of his acquaintance before, came to him, and they ate bread with him in his house, and they condoled with him, and comforted him concerning all the evil that Jehovah had brought upon him; and every one gave him a piece of money, and every one a golden ring.
[DARBY | EN | OT | Job | Chapter 42 | Verse 12] And Jehovah blessed the latter end of Job more than his beginning; and he had fourteen thousand sheep, and six thousand camels, and a thousand yoke of oxen, and a thousand she-asses.
[DARBY | EN | OT | Job | Chapter 42 | Verse 13] And he had seven sons and three daughters.
[DARBY | EN | OT | Job | Chapter 42 | Verse 14] And he called the name of the first, Jemimah; and the name of the second, Keziah; and the name of the third, Keren-happuch.
[DARBY | EN | OT | Job | Chapter 42 | Verse 15] And in all the land were no women found [so] fair as the daughters of Job; and their father gave them inheritance among their brethren.
[DARBY | EN | OT | Job | Chapter 42 | Verse 16] And Job lived after this a hundred and forty years, and saw his sons, and his sons' sons, four generations.
[DARBY | EN | OT | Job | Chapter 42 | Verse 17] And Job died, old and full of days.
