[DARBY | EN | OT | Job | Chapter 18 | Verse 1] And Bildad the Shuhite answered and said,
[DARBY | EN | OT | Job | Chapter 18 | Verse 2] How long will ye hunt for words? Be intelligent, and then we will speak.
[DARBY | EN | OT | Job | Chapter 18 | Verse 3] Wherefore are we counted as beasts, and reputed stupid in your sight?
[DARBY | EN | OT | Job | Chapter 18 | Verse 4] Thou that tearest thyself in thine anger, shall the earth be forsaken for thee? and shall the rock be removed out of its place?
[DARBY | EN | OT | Job | Chapter 18 | Verse 5] Yea, the light of the wicked shall be put out, and the flame of his fire shall not shine.
[DARBY | EN | OT | Job | Chapter 18 | Verse 6] The light shall become dark in his tent, and his lamp over him shall be put out.
[DARBY | EN | OT | Job | Chapter 18 | Verse 7] The steps of his strength shall be straitened, and his own counsel shall cast him down.
[DARBY | EN | OT | Job | Chapter 18 | Verse 8] For he is sent into the net by his own feet, and he walketh on the meshes;
[DARBY | EN | OT | Job | Chapter 18 | Verse 9] The gin taketh [him] by the heel, the snare layeth hold on him;
[DARBY | EN | OT | Job | Chapter 18 | Verse 10] A cord is hidden for him in the ground, and his trap in the way.
[DARBY | EN | OT | Job | Chapter 18 | Verse 11] Terrors make him afraid on every side, and chase him at his footsteps.
[DARBY | EN | OT | Job | Chapter 18 | Verse 12] His strength is hunger-bitten, and calamity is ready at his side.
[DARBY | EN | OT | Job | Chapter 18 | Verse 13] The firstborn of death devoureth the members of his body; it will devour his members.
[DARBY | EN | OT | Job | Chapter 18 | Verse 14] His confidence shall be rooted out of his tent, and it shall lead him away to the king of terrors:
[DARBY | EN | OT | Job | Chapter 18 | Verse 15] They who are none of his shall dwell in his tent; brimstone shall be showered upon his habitation:
[DARBY | EN | OT | Job | Chapter 18 | Verse 16] His roots shall be dried up beneath, and above shall his branch be cut off;
[DARBY | EN | OT | Job | Chapter 18 | Verse 17] His remembrance shall perish from the earth, and he shall have no name on the pasture-grounds.
[DARBY | EN | OT | Job | Chapter 18 | Verse 18] He is driven from light into darkness, and chased out of the world.
[DARBY | EN | OT | Job | Chapter 18 | Verse 19] He hath neither son nor grandson among his people, nor any remaining in the places of his sojourn.
[DARBY | EN | OT | Job | Chapter 18 | Verse 20] They that come after shall be astonished at his day, as they that went before [them] were affrighted.
[DARBY | EN | OT | Job | Chapter 18 | Verse 21] Surely, such are the dwellings of the unrighteous man, and such the place of him that knoweth not God.
