[DARBY | EN | OT | Job | Chapter 26 | Verse 1] And Job answered and said,
[DARBY | EN | OT | Job | Chapter 26 | Verse 2] How hast thou helped the powerless; how saved the arm that is without strength!
[DARBY | EN | OT | Job | Chapter 26 | Verse 3] How hast thou counselled him that hath no wisdom, and abundantly declared the thing as it is!
[DARBY | EN | OT | Job | Chapter 26 | Verse 4] For whom hast thou uttered words? and whose spirit came from thee?
[DARBY | EN | OT | Job | Chapter 26 | Verse 5] The shades tremble beneath the waters and the inhabitants thereof;
[DARBY | EN | OT | Job | Chapter 26 | Verse 6] Sheol is naked before him, and destruction hath no covering.
[DARBY | EN | OT | Job | Chapter 26 | Verse 7] He stretcheth out the north over empty space, he hangeth the earth upon nothing;
[DARBY | EN | OT | Job | Chapter 26 | Verse 8] He bindeth up the waters in his thick clouds, and the cloud is not rent under them.
[DARBY | EN | OT | Job | Chapter 26 | Verse 9] He covereth the face of his throne, he spreadeth his cloud upon it.
[DARBY | EN | OT | Job | Chapter 26 | Verse 10] He hath traced a fixed circle over the waters, unto the confines of light and darkness.
[DARBY | EN | OT | Job | Chapter 26 | Verse 11] The pillars of the heavens tremble and are astonished at his rebuke.
[DARBY | EN | OT | Job | Chapter 26 | Verse 12] He stirreth up the sea by his power, and by his understanding he smiteth through Rahab.
[DARBY | EN | OT | Job | Chapter 26 | Verse 13] By his Spirit the heavens are adorned; his hand hath formed the fleeing serpent.
[DARBY | EN | OT | Job | Chapter 26 | Verse 14] Lo, these are the borders of his ways; but what a whisper of a word do we hear of him! And the thunder of his power, who can understand?
