[DARBY | EN | OT | Job | Chapter 41 | Verse 1] Wilt thou draw out the leviathan with the hook, and press down his tongue with a cord?
[DARBY | EN | OT | Job | Chapter 41 | Verse 2] Wilt thou put a rush-rope into his nose, and pierce his jaw with a spike?
[DARBY | EN | OT | Job | Chapter 41 | Verse 3] Will he make many supplications unto thee? or will he speak softly unto thee?
[DARBY | EN | OT | Job | Chapter 41 | Verse 4] Will he make a covenant with thee? wilt thou take him as a bondman for ever?
[DARBY | EN | OT | Job | Chapter 41 | Verse 5] Wilt thou play with him as with a bird, and wilt thou bind him for thy maidens?
[DARBY | EN | OT | Job | Chapter 41 | Verse 6] Shall partners make traffic of him, will they divide him among merchants?
[DARBY | EN | OT | Job | Chapter 41 | Verse 7] Wilt thou fill his skin with darts, and his head with fish-spears?
[DARBY | EN | OT | Job | Chapter 41 | Verse 8] Lay thy hand upon him; remember the battle, — do no more!
[DARBY | EN | OT | Job | Chapter 41 | Verse 9] Lo, hope as to him is belied: is not one cast down even at the sight of him?
[DARBY | EN | OT | Job | Chapter 41 | Verse 10] None is so bold as to stir him up; and who is he that will stand before me?
[DARBY | EN | OT | Job | Chapter 41 | Verse 11] Who hath first given to me, that I should repay [him]? [Whatsoever is] under the whole heaven is mine.
[DARBY | EN | OT | Job | Chapter 41 | Verse 12] I will not be silent as to his parts, the story of his power, and the beauty of his structure.
[DARBY | EN | OT | Job | Chapter 41 | Verse 13] Who can uncover the surface of his garment? who can come within his double jaws?
[DARBY | EN | OT | Job | Chapter 41 | Verse 14] Who can open the doors of his face? Round about his teeth is terror.
[DARBY | EN | OT | Job | Chapter 41 | Verse 15] The rows of his shields are a pride, shut up together [as with] a close seal.
[DARBY | EN | OT | Job | Chapter 41 | Verse 16] One is so near to another that no air can come between them;
[DARBY | EN | OT | Job | Chapter 41 | Verse 17] They are joined each to its fellow; they stick together, and cannot be sundered.
[DARBY | EN | OT | Job | Chapter 41 | Verse 18] His sneezings flash light, and his eyes are like the eyelids of the morning.
[DARBY | EN | OT | Job | Chapter 41 | Verse 19] Out of his mouth go forth flames; sparks of fire leap out:
[DARBY | EN | OT | Job | Chapter 41 | Verse 20] Out of his nostrils goeth smoke, as out of a boiling pot and cauldron.
[DARBY | EN | OT | Job | Chapter 41 | Verse 21] His breath kindleth coals, and a flame goeth out of his mouth.
[DARBY | EN | OT | Job | Chapter 41 | Verse 22] In his neck lodgeth strength, and terror danceth before him.
[DARBY | EN | OT | Job | Chapter 41 | Verse 23] The flakes of his flesh are joined together: they are fused upon him, they cannot be moved.
[DARBY | EN | OT | Job | Chapter 41 | Verse 24] His heart is firm as a stone, yea, firm as the nether [millstone].
[DARBY | EN | OT | Job | Chapter 41 | Verse 25] When he raiseth himself up, the mighty are afraid: they are beside themselves with consternation.
[DARBY | EN | OT | Job | Chapter 41 | Verse 26] If any reach him with a sword, it cannot hold; neither spear, nor dart, nor harpoon.
