[DARBY | EN | OT | Job | Chapter 13 | Verse 1] Lo, mine eye hath seen all [this], mine ear hath heard and understood it.
[DARBY | EN | OT | Job | Chapter 13 | Verse 2] What ye know, I know also: I am not inferior to you.
[DARBY | EN | OT | Job | Chapter 13 | Verse 3] But I will speak to the Almighty, and will find pleasure in reasoning with God;
[DARBY | EN | OT | Job | Chapter 13 | Verse 4] For ye indeed are forgers of lies, ye are all physicians of no value.
[DARBY | EN | OT | Job | Chapter 13 | Verse 5] Oh that ye would be altogether silent! and it would be your wisdom.
[DARBY | EN | OT | Job | Chapter 13 | Verse 6] Hear now my defence, and hearken to the pleadings of my lips.
[DARBY | EN | OT | Job | Chapter 13 | Verse 7] Will ye speak unrighteously for God? and for him speak deceit?
[DARBY | EN | OT | Job | Chapter 13 | Verse 8] Will ye accept his person? will ye contend for God?
[DARBY | EN | OT | Job | Chapter 13 | Verse 9] Will it be well if he should search you out? or as one mocketh at a man, will ye mock at him?
[DARBY | EN | OT | Job | Chapter 13 | Verse 10] He will certainly reprove you, if ye do secretly accept persons.
[DARBY | EN | OT | Job | Chapter 13 | Verse 11] Shall not his excellency terrify you? and his dread fall upon you?
[DARBY | EN | OT | Job | Chapter 13 | Verse 12] Your memorable sayings are proverbs of ashes, your bulwarks are bulwarks of mire.
[DARBY | EN | OT | Job | Chapter 13 | Verse 13] Hold your peace from me, and I will speak, and let come on me what [will]!
[DARBY | EN | OT | Job | Chapter 13 | Verse 14] Wherefore should I take my flesh in my teeth, and put my life in my hand?
[DARBY | EN | OT | Job | Chapter 13 | Verse 15] Behold, if he slay me, yet would I trust in him; but I will defend mine own ways before him.
[DARBY | EN | OT | Job | Chapter 13 | Verse 16] This also shall be my salvation, that a profane man shall not come before his face.
[DARBY | EN | OT | Job | Chapter 13 | Verse 17] Hear attentively my speech and my declaration with your ears.
[DARBY | EN | OT | Job | Chapter 13 | Verse 18] Behold now, I have ordered the cause; I know that I shall be justified.
[DARBY | EN | OT | Job | Chapter 13 | Verse 19] Who is he that contendeth with me? For if I were silent now, I should expire.
[DARBY | EN | OT | Job | Chapter 13 | Verse 20] Only do not two things unto me; then will I not hide myself from thee.
[DARBY | EN | OT | Job | Chapter 13 | Verse 21] Withdraw thy hand far from me; and let not thy terror make me afraid:
[DARBY | EN | OT | Job | Chapter 13 | Verse 22] Then call, and I will answer; or I will speak, and answer thou me.
[DARBY | EN | OT | Job | Chapter 13 | Verse 23] How many are mine iniquities and sins? Make me to know my transgression and my sin.
[DARBY | EN | OT | Job | Chapter 13 | Verse 24] Wherefore dost thou hide thy face, and countest me for thine enemy?
[DARBY | EN | OT | Job | Chapter 13 | Verse 25] Wilt thou terrify a driven leaf? and wilt thou pursue dry stubble?
[DARBY | EN | OT | Job | Chapter 13 | Verse 26] For thou writest bitter things against me, and makest me to possess the iniquities of my youth;
[DARBY | EN | OT | Job | Chapter 13 | Verse 27] And thou puttest my feet in the stocks, and markest all my paths; thou settest a bound about the soles of my feet; —
[DARBY | EN | OT | Job | Chapter 13 | Verse 28] One who, as a rotten thing consumeth, as a garment that the moth eateth.
