[DARBY | EN | OT | Job | Chapter 10 | Verse 1] My soul is weary of my life: I will give free course to my complaint; I will speak in the bitterness of my soul.
[DARBY | EN | OT | Job | Chapter 10 | Verse 2] I will say unto God, Do not condemn me; shew me wherefore thou strivest with me.
[DARBY | EN | OT | Job | Chapter 10 | Verse 3] Doth it please thee to oppress, that thou shouldest despise the work of thy hands, and shine upon the counsel of the wicked?
[DARBY | EN | OT | Job | Chapter 10 | Verse 4] Hast thou eyes of flesh? or seest thou as man seeth?
[DARBY | EN | OT | Job | Chapter 10 | Verse 5] Are thy days as the days of a mortal? are thy years as a man's days,
[DARBY | EN | OT | Job | Chapter 10 | Verse 6] That thou searchest after mine iniquity, and inquirest into my sin;
[DARBY | EN | OT | Job | Chapter 10 | Verse 7] Since thou knowest that I am not wicked, and that there is none that delivereth out of thy hand?
[DARBY | EN | OT | Job | Chapter 10 | Verse 8] Thy hands have bound me together and made me as one, round about; yet dost thou swallow me up!
[DARBY | EN | OT | Job | Chapter 10 | Verse 9] Remember, I beseech thee, that thou hast made me as clay, and wilt bring me into dust again.
[DARBY | EN | OT | Job | Chapter 10 | Verse 10] Hast thou not poured me out as milk, and curdled me like cheese?
[DARBY | EN | OT | Job | Chapter 10 | Verse 11] Thou hast clothed me with skin and flesh, and knit me together with bones and sinews;
[DARBY | EN | OT | Job | Chapter 10 | Verse 12] Thou hast granted me life and favour, and thy care hath preserved my spirit;
[DARBY | EN | OT | Job | Chapter 10 | Verse 13] And these things didst thou hide in thy heart; I know that this was with thee.
[DARBY | EN | OT | Job | Chapter 10 | Verse 14] If I sinned, thou wouldest mark me, and thou wouldest not acquit me of mine iniquity.
[DARBY | EN | OT | Job | Chapter 10 | Verse 15] If I were wicked, woe unto me! and righteous, I will not lift up my head, being [so] full of shame, and beholding mine affliction; —
[DARBY | EN | OT | Job | Chapter 10 | Verse 16] And it increaseth: thou huntest me as a fierce lion; and ever again thou shewest thy marvellous power upon me.
[DARBY | EN | OT | Job | Chapter 10 | Verse 17] Thou renewest thy witnesses before me and increasest thy displeasure against me; successions [of evil] and a time of toil are with me.
[DARBY | EN | OT | Job | Chapter 10 | Verse 18] And wherefore didst thou bring me forth out of the womb? I had expired, and no eye had seen me.
[DARBY | EN | OT | Job | Chapter 10 | Verse 19] I should be as though I had not been; I should have been carried from the womb to the grave.
[DARBY | EN | OT | Job | Chapter 10 | Verse 20] Are not my days few? cease then and let me alone, that I may revive a little,
[DARBY | EN | OT | Job | Chapter 10 | Verse 21] Before I go, and never to return, — to the land of darkness and the shadow of death;
[DARBY | EN | OT | Job | Chapter 10 | Verse 22] A land of gloom, as darkness itself; of the shadow of death, without any order, where the light is as thick darkness.
