[DARBY | EN | OT | Job | Chapter 38 | Verse 1] And Jehovah answered Job out of the whirlwind and said,
[DARBY | EN | OT | Job | Chapter 38 | Verse 2] Who is this that darkeneth counsel by words without knowledge?
[DARBY | EN | OT | Job | Chapter 38 | Verse 3] Gird up now thy loins like a man; and I will demand of thee, and inform thou me.
[DARBY | EN | OT | Job | Chapter 38 | Verse 4] Where wast thou when I founded the earth? Declare, if thou hast understanding.
[DARBY | EN | OT | Job | Chapter 38 | Verse 5] Who set the measures thereof — if thou knowest? or who stretched a line upon it?
[DARBY | EN | OT | Job | Chapter 38 | Verse 6] Whereupon were the foundations thereof sunken? or who laid its corner-stone,
[DARBY | EN | OT | Job | Chapter 38 | Verse 7] When the morning stars sang together, and all the sons of God shouted for joy?
[DARBY | EN | OT | Job | Chapter 38 | Verse 8] And who shut up the sea with doors, when it burst forth, issuing out of the womb?
[DARBY | EN | OT | Job | Chapter 38 | Verse 9] When I made the cloud its garment, and thick darkness a swaddling band for it;
[DARBY | EN | OT | Job | Chapter 38 | Verse 10] When I cut out for it my boundary, and set bars and doors,
[DARBY | EN | OT | Job | Chapter 38 | Verse 11] And said, Hitherto shalt thou come and no further, and here shall thy proud waves be stayed?
[DARBY | EN | OT | Job | Chapter 38 | Verse 12] Hast thou since thy days commanded the morning? hast thou caused the dawn to know its place,
[DARBY | EN | OT | Job | Chapter 38 | Verse 13] That it might take hold of the ends of the earth, and the wicked might be shaken out of it?
[DARBY | EN | OT | Job | Chapter 38 | Verse 14] It is changed like the signet-clay; and [all things] stand forth as in a garment:
[DARBY | EN | OT | Job | Chapter 38 | Verse 15] And from the wicked their light is withholden, and the uplifted arm is broken.
[DARBY | EN | OT | Job | Chapter 38 | Verse 16] Hast thou entered as far as the springs of the sea? and hast thou walked in the recesses of the deep?
[DARBY | EN | OT | Job | Chapter 38 | Verse 17] Have the gates of death been revealed unto thee? and hast thou seen the gates of the shadow of death?
[DARBY | EN | OT | Job | Chapter 38 | Verse 18] Hath thine understanding compassed the breadths of the earth? Declare if thou knowest it all.
[DARBY | EN | OT | Job | Chapter 38 | Verse 19] Where is the way to where light dwelleth? and the darkness, where is its place,
[DARBY | EN | OT | Job | Chapter 38 | Verse 20] That thou shouldest take it to its bound, and that thou shouldest know the paths to its house?
[DARBY | EN | OT | Job | Chapter 38 | Verse 21] Thou knowest, for thou wast then born, and the number of thy days is great!
[DARBY | EN | OT | Job | Chapter 38 | Verse 22] Hast thou entered into the storehouses of the snow, and hast thou seen the treasuries of the hail,
[DARBY | EN | OT | Job | Chapter 38 | Verse 23] Which I have reserved for the time of distress, for the day of battle and war?
[DARBY | EN | OT | Job | Chapter 38 | Verse 24] By what way is the light parted, [and] the east wind scattered upon the earth?
[DARBY | EN | OT | Job | Chapter 38 | Verse 25] Who hath divided a channel for the rain-flood, and a way for the thunder's flash;
[DARBY | EN | OT | Job | Chapter 38 | Verse 26] To cause it to rain on the earth, where no one is; on the wilderness wherein there is not a man;
[DARBY | EN | OT | Job | Chapter 38 | Verse 27] To satisfy the desolate and waste [ground], and to cause the sprout of the grass to spring forth?
[DARBY | EN | OT | Job | Chapter 38 | Verse 28] Hath the rain a father? or who begetteth the drops of dew?
[DARBY | EN | OT | Job | Chapter 38 | Verse 29] Out of whose womb cometh the ice? and the hoary frost of heaven, who bringeth it forth?
[DARBY | EN | OT | Job | Chapter 38 | Verse 30] When the waters lie hidden as in stone, and the face of the deep holdeth fast together.
[DARBY | EN | OT | Job | Chapter 38 | Verse 31] Canst thou fasten the bands of the Pleiades, or loosen the cords of Orion?
[DARBY | EN | OT | Job | Chapter 38 | Verse 32] Dost thou bring forth the constellations each in its season? or dost thou guide the Bear with her sons?
[DARBY | EN | OT | Job | Chapter 38 | Verse 33] Knowest thou the ordinances of the heavens? dost thou determine their rule over the earth?
[DARBY | EN | OT | Job | Chapter 38 | Verse 34] Dost thou lift up thy voice to the clouds, that floods of waters may cover thee?
[DARBY | EN | OT | Job | Chapter 38 | Verse 35] Dost thou send forth lightnings that they may go, and say unto thee, Here we are?
[DARBY | EN | OT | Job | Chapter 38 | Verse 36] Who hath put wisdom in the inward parts? or who hath given understanding to the mind?
[DARBY | EN | OT | Job | Chapter 38 | Verse 37] Who numbereth the clouds with wisdom? or who poureth out the bottles of the heavens,
[DARBY | EN | OT | Job | Chapter 38 | Verse 38] When the dust runneth as into a molten mass, and the clods cleave fast together?
[DARBY | EN | OT | Job | Chapter 38 | Verse 39] Dost thou hunt the prey for the lioness, and dost thou satisfy the appetite of the young lions,
[DARBY | EN | OT | Job | Chapter 38 | Verse 40] When they crouch in [their] dens, [and] abide in the thicket to lie in wait?
[DARBY | EN | OT | Job | Chapter 38 | Verse 41] Who provideth for the raven his food, when his young ones cry unto God, [and] they wander for lack of meat?
