[DARBY | EN | OT | Job | Chapter 39 | Verse 1] Knowest thou the time when the wild goats of the rock bring forth? dost thou mark the calving of the hinds?
[DARBY | EN | OT | Job | Chapter 39 | Verse 2] Dost thou number the months that they fulfil? and knowest thou the time when they bring forth?
[DARBY | EN | OT | Job | Chapter 39 | Verse 3] They bow themselves, they give birth to their young ones, they cast out their pains;
[DARBY | EN | OT | Job | Chapter 39 | Verse 4] Their young ones become strong, they grow up in the open field, they go forth, and return not unto them.
[DARBY | EN | OT | Job | Chapter 39 | Verse 5] Who hath sent out the wild ass free? and who hath loosed the bands of the onager,
[DARBY | EN | OT | Job | Chapter 39 | Verse 6] Whose house I made the wilderness, and the salt plain his dwellings?
[DARBY | EN | OT | Job | Chapter 39 | Verse 7] He laugheth at the tumult of the city, and heareth not the shouts of the driver;
[DARBY | EN | OT | Job | Chapter 39 | Verse 8] The range of the mountains is his pasture, and he searcheth after every green thing.
[DARBY | EN | OT | Job | Chapter 39 | Verse 9] Will the buffalo be willing to serve thee, or will he lodge by thy crib?
[DARBY | EN | OT | Job | Chapter 39 | Verse 10] Canst thou bind the buffalo with his cord in the furrow? or will he harrow the valleys after thee?
[DARBY | EN | OT | Job | Chapter 39 | Verse 11] Wilt thou put confidence in him, because his strength is great? and wilt thou leave thy labour to him?
[DARBY | EN | OT | Job | Chapter 39 | Verse 12] Wilt thou trust him to bring home thy seed, and gather it into thy threshing-floor?
[DARBY | EN | OT | Job | Chapter 39 | Verse 13] The wing of the ostrich beats joyously — But is it the stork's pinion and plumage?
[DARBY | EN | OT | Job | Chapter 39 | Verse 14] For she leaveth her eggs to the earth, and warmeth them in the dust,
[DARBY | EN | OT | Job | Chapter 39 | Verse 15] And forgetteth that the foot may crush them, or that the beast of the field may trample them.
[DARBY | EN | OT | Job | Chapter 39 | Verse 16] She is hardened against her young ones, as though they were not hers; her labour is in vain, without her concern.
[DARBY | EN | OT | Job | Chapter 39 | Verse 17] For God hath deprived her of wisdom, and hath not furnished her with understanding.
[DARBY | EN | OT | Job | Chapter 39 | Verse 18] What time she lasheth herself on high, she scorneth the horse and his rider.
[DARBY | EN | OT | Job | Chapter 39 | Verse 19] Hast thou given strength to the horse? hast thou clothed his neck with the quivering mane?
[DARBY | EN | OT | Job | Chapter 39 | Verse 20] Dost thou make him to leap as a locust? His majestic snorting is terrible.
[DARBY | EN | OT | Job | Chapter 39 | Verse 21] He paweth in the valley, and rejoiceth in [his] strength; he goeth forth to meet the armed host.
[DARBY | EN | OT | Job | Chapter 39 | Verse 22] He laugheth at fear, and is not affrighted; neither turneth he back from before the sword.
[DARBY | EN | OT | Job | Chapter 39 | Verse 23] The quiver rattleth upon him, the glittering spear and the javelin.
[DARBY | EN | OT | Job | Chapter 39 | Verse 24] He swalloweth the ground with fierceness and rage, and cannot contain himself at the sound of the trumpet:
[DARBY | EN | OT | Job | Chapter 39 | Verse 25] At the noise of the trumpets he saith, Aha! and he smelleth the battle afar off, the thunder of the captains, and the shouting.
[DARBY | EN | OT | Job | Chapter 39 | Verse 26] Doth the hawk fly by thine intelligence, [and] stretch his wings toward the south?
[DARBY | EN | OT | Job | Chapter 39 | Verse 27] Doth the eagle mount up at thy command, and make his nest on high?
[DARBY | EN | OT | Job | Chapter 39 | Verse 28] He inhabiteth the rock and maketh his dwelling on the point of the cliff, and the fastness:
[DARBY | EN | OT | Job | Chapter 39 | Verse 29] From thence he spieth out the prey, his eyes look into the distance;
[DARBY | EN | OT | Job | Chapter 39 | Verse 30] And his young ones suck up blood; and where the slain are, there is he.
