[DARBY | EN | OT | Job | Chapter 27 | Verse 1] And Job continued his parable and said,
[DARBY | EN | OT | Job | Chapter 27 | Verse 2] [As] God liveth, who hath taken away my right, and the Almighty, who hath embittered my soul,
[DARBY | EN | OT | Job | Chapter 27 | Verse 3] All the while my breath is in me, and the spirit of God is in my nostrils,
[DARBY | EN | OT | Job | Chapter 27 | Verse 4] My lips shall not speak unrighteousness, nor my tongue utter deceit!
[DARBY | EN | OT | Job | Chapter 27 | Verse 5] Be it far from me that I should justify you; till I die I will not remove my blamelessness from me.
[DARBY | EN | OT | Job | Chapter 27 | Verse 6] My righteousness I hold fast, and will not let it go: my heart reproacheth [me] not one of my days.
[DARBY | EN | OT | Job | Chapter 27 | Verse 7] Let mine enemy be as the wicked, and he that riseth up against me as the unrighteous.
[DARBY | EN | OT | Job | Chapter 27 | Verse 8] For what is the hope of the ungodly, when [God] cutteth him off, when God taketh away his soul?
[DARBY | EN | OT | Job | Chapter 27 | Verse 9] Will God hear his cry when distress cometh upon him?
[DARBY | EN | OT | Job | Chapter 27 | Verse 10] Doth he delight himself in the Almighty? will he at all times call upon God?
[DARBY | EN | OT | Job | Chapter 27 | Verse 11] I will teach you concerning the hand of God; what is with the Almighty will I not conceal.
[DARBY | EN | OT | Job | Chapter 27 | Verse 12] Behold, ye yourselves have all seen [it]; and why are ye thus altogether vain?
[DARBY | EN | OT | Job | Chapter 27 | Verse 13] This is the portion of the wicked man with God, and the heritage of the violent, which they receive from the Almighty: —
[DARBY | EN | OT | Job | Chapter 27 | Verse 14] If his children be multiplied, it is for the sword, and his offspring shall not be satisfied with bread;
[DARBY | EN | OT | Job | Chapter 27 | Verse 15] Those that remain of him shall be buried by death, and his widows shall not weep.
[DARBY | EN | OT | Job | Chapter 27 | Verse 16] Though he heap up silver as the dust, and prepare clothing as the clay;
[DARBY | EN | OT | Job | Chapter 27 | Verse 17] He may prepare it, but the just shall put it on; and the innocent shall divide the silver.
[DARBY | EN | OT | Job | Chapter 27 | Verse 18] He buildeth his house as the moth, and as a booth that a keeper maketh.
[DARBY | EN | OT | Job | Chapter 27 | Verse 19] He lieth down rich, but will do so no more; he openeth his eyes, and he is not.
[DARBY | EN | OT | Job | Chapter 27 | Verse 20] Terrors overtake him like waters; a whirlwind stealeth him away in the night.
[DARBY | EN | OT | Job | Chapter 27 | Verse 21] The east wind carrieth him away and he is gone; and as a storm it hurleth him out of his place.
[DARBY | EN | OT | Job | Chapter 27 | Verse 22] And [God] shall cast upon him and not spare: he would fain flee out of his hand.
[DARBY | EN | OT | Job | Chapter 27 | Verse 23] [Men] shall clap their hands at him, and shall hiss him out of his place.
