[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 1] Moreover, brothers, we make known to you the grace of God which has been given in the assemblies of Macedonia,
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 2] how in a severe ordeal of affliction, the abundance of their joy and their deep poverty abounded to the riches of their generosity.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 3] For according to their power, I testify, yes and beyond their power, they gave of their own accord,
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 4] begging us with much entreaty to receive this grace and the fellowship in the service to the saints.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 5] This was not as we had expected, but first they gave their own selves to the Lord, and to us through the will of God.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 6] So we urged Titus, that as he had made a beginning before, so he would also complete in you this grace.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 7] But as you abound in everything—in faith, utterance, knowledge, all earnestness, and in your love to us—see that you also abound in this grace.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 8] I speak not by way of commandment, but as proving through the earnestness of others the sincerity also of your love.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 9] For you know the grace of our Lord Jesus Christ, that though he was rich, yet for your sakes he became poor, that you through his poverty might become rich.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 10] I give advice in this: it is expedient for you who were the first to start a year ago, not only to do, but also to be willing.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 11] But now complete the doing also, that as there was the readiness to be willing, so there may be the completion also out of your ability.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 12] For if the readiness is there, it is acceptable according to what you have, not according to what you don’t have.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 13] For this is not that others may be eased and you distressed,
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 14] but for equality. Your abundance at this present time supplies their lack, that their abundance also may become a supply for your lack, that there may be equality.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 15] As it is written, “He who gathered much had nothing left over, and he who gathered little had no lack.”
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 16] But thanks be to God, who puts the same earnest care for you into the heart of Titus.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 17] For he indeed accepted our exhortation, but being himself very earnest, he went out to you of his own accord.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 18] We have sent together with him the brother whose praise in the Good News is known throughout all the assemblies.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 19] Not only so, but he was also appointed by the assemblies to travel with us in this grace, which is served by us to the glory of the Lord himself, and to show our readiness.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 20] We are avoiding this, that any man should blame us concerning this abundance which is administered by us.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 21] Having regard for honorable things, not only in the sight of the Lord, but also in the sight of men.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 22] We have sent with them our brother whom we have many times proved earnest in many things, but now much more earnest, by reason of the great confidence which he has in you.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 23] As for Titus, he is my partner and fellow worker for you. As for our brothers, they are the apostles of the assemblies, the glory of Christ.
[WEB | EN | NT | 2 Corinthians | Chapter 8 | Verse 24] Therefore show the proof of your love to them before the assemblies, and of our boasting on your behalf.
