[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 1] I wish that you would bear with me in a little foolishness, but indeed you do bear with me.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 2] For I am jealous over you with a godly jealousy. For I promised you in marriage to one husband, that I might present you as a pure virgin to Christ.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 3] But I am afraid that somehow, as the serpent deceived Eve in his craftiness, so your minds might be corrupted from the simplicity that is in Christ.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 4] For if he who comes preaches another Jesus whom we didn’t preach, or if you receive a different spirit which you didn’t receive, or a different “good news” which you didn’t accept, you put up with that well enough.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 5] For I reckon that I am not at all behind the very best apostles.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 6] But though I am unskilled in speech, yet I am not unskilled in knowledge. No, in every way we have been revealed to you in all things.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 7] Or did I commit a sin in humbling myself that you might be exalted, because I preached to you God’s Good News free of charge?
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 8] I robbed other assemblies, taking wages from them that I might serve you.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 9] When I was present with you and was in need, I wasn’t a burden on anyone, for the brothers, when they came from Macedonia, supplied the measure of my need. In everything I kept myself from being burdensome to you, and I will continue to do so.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 10] As the truth of Christ is in me, no one will stop me from this boasting in the regions of Achaia.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 11] Why? Because I don’t love you? God knows.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 12] But what I do, that I will continue to do, that I may cut off opportunity from those who desire an opportunity, that in which they boast, they may be recognized just like us.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 13] For such men are false apostles, deceitful workers, masquerading as Christ’s apostles.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 14] And no wonder, for even Satan masquerades as an angel of light.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 15] It is no great thing therefore if his servants also masquerade as servants of righteousness, whose end will be according to their works.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 16] I say again, let no one think me foolish. But if so, yet receive me as foolish, that I also may boast a little.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 17] That which I speak, I don’t speak according to the Lord, but as in foolishness, in this confidence of boasting.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 18] Seeing that many boast after the flesh, I will also boast.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 19] For you bear with the foolish gladly, being wise.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 20] For you bear with a man if he brings you into bondage, if he devours you, if he takes you captive, if he exalts himself, or if he strikes you on the face.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 21] To my shame, I speak as though we had been weak. Yet in whatever way anyone is bold (I speak in foolishness), I am bold also.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 22] Are they Hebrews? So am I. Are they Israelites? So am I. Are they the offspring of Abraham? So am I.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 23] Are they servants of Christ? (I speak as one beside himself.) I am more so: in labors more abundantly, in prisons more abundantly, in stripes above measure, and in deaths often.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 24] Five times I received forty stripes minus one from the Jews.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 25] Three times I was beaten with rods. Once I was stoned. Three times I suffered shipwreck. I have been a night and a day in the deep.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 26] I have been in travels often, perils of rivers, perils of robbers, perils from my countrymen, perils from the Gentiles, perils in the city, perils in the wilderness, perils in the sea, perils among false brothers;
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 27] in labor and travail, in watchings often, in hunger and thirst, in fastings often, and in cold and nakedness.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 28] Besides those things that are outside, there is that which presses on me daily: anxiety for all the assemblies.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 29] Who is weak, and I am not weak? Who is caused to stumble, and I don’t burn with indignation?
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 30] If I must boast, I will boast of the things that concern my weakness.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 31] The God and Father of the Lord Jesus Christ, he who is blessed forever more, knows that I don’t lie.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 32] In Damascus the governor under King Aretas guarded the Damascenes’ city, desiring to arrest me.
[WEB | EN | NT | 2 Corinthians | Chapter 11 | Verse 33] I was let down in a basket through a window by the wall, and escaped his hands.
