[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 1] It is indeed unnecessary for me to write to you concerning the service to the saints,
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 2] for I know your readiness, of which I boast on your behalf to those of Macedonia, that Achaia has been prepared for the past year. Your zeal has stirred up very many of them.
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 3] But I have sent the brothers so that our boasting on your behalf may not be in vain in this respect, that, just as I said, you may be prepared,
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 4] lest by any means, if anyone from Macedonia comes there with me and finds you unprepared, we (to say nothing of you) would be disappointed in this confident boasting.
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 5] I thought it necessary therefore to entreat the brothers that they would go before to you and arrange ahead of time the generous gift that you promised before, that the same might be ready as a matter of generosity, and not of greediness.
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 6] Remember this: he who sows sparingly will also reap sparingly. He who sows bountifully will also reap bountifully.
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 7] Let each man give according as he has determined in his heart, not grudgingly or under compulsion, for God loves a cheerful giver.
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 8] And God is able to make all grace abound to you, that you, always having all sufficiency in everything, may abound to every good work.
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 9] As it is written, “He has scattered abroad. He has given to the poor. His righteousness remains forever.”
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 10] Now may he who supplies seed to the sower and bread for food, supply and multiply your seed for sowing, and increase the fruits of your righteousness,
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 11] you being enriched in everything for all generosity, which produces thanksgiving to God through us.
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 12] For this service of giving that you perform not only makes up for lack among the saints, but abounds also through much giving of thanks to God,
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 13] seeing that through the proof given by this service, they glorify God for the obedience of your confession to the Good News of Christ and for the generosity of your contribution to them and to all,
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 14] while they themselves also, with supplication on your behalf, yearn for you by reason of the exceeding grace of God in you.
[WEB | EN | NT | 2 Corinthians | Chapter 9 | Verse 15] Now thanks be to God for his unspeakable gift!
