[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 1] (3-33) But it came to pass that, when Sanballat heard that we builded the wall, he was wroth, and took great indignation, and mocked the Jews.
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 2] (3-34) And he spoke before his brethren and the army of Samaria, and said: 'What do these feeble Jews? will they restore at will? will they sacrifice? will they make an end this day? will they revive the stones out of the heaps of rubbish, seeing they are burned?'
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 3] (3-35) Now Tobiah the Ammonite was by him, and he said: 'Even that which they build, if a fox go up, he shall break down their stone wall.'
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 4] (3-36) Hear, O our God; for we are despised; and turn back their reproach upon their own head, and give them up to spoiling in a land of captivity;
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 5] (3-37) and cover not their iniquity, and let not their sin be blotted out from before Thee; for they have vexed Thee before the builders.
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 6] (3-38) So we built the wall; and all the wall was joined together unto half the height thereof; for the people had a mind to work.
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 7] (4-1) But it came to pass that, when Sanballat, and Tobiah, and the Arabians, and the Ammonites, and the Ashdodites, heard that the repairing of the walls of Jerusalem went forward, and that the breaches began to be stopped, then they were very wroth;
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 8] (4-2) and they conspired all of them together to come and fight against Jerusalem, and to cause confusion therein.
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 9] (4-3) But we made our prayer unto our God, and set a watch against them day and night, because of them.
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 10] (4-4) And Judah said: 'The strength of the bearers of burdens is decayed, and there is much rubbish; so that we are not able to build the wall.'
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 11] (4-5) And our adversaries said: 'They shall not know, neither see, till we come into the midst of them, and slay them, and cause the work to cease.'
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 12] (4-6) And it came to pass that, when the Jews that dwelt by them came, they said unto us ten times: 'Ye must return unto us from all places.'
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 13] (4-7) Therefore set I in the lowest parts of the space behind the wall, in the open places, I even set the people after their families with their swords, their spears, and their bows.
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 14] (4-8) And I looked, and rose up, and said unto the nobles, and to the rulers, and to the rest of the people: 'Be not ye afraid of them; remember the Lord, who is great and awful, and fight for your brethren, your sons and your daughters, your wives and your houses.'
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 15] (4-9) And it came to pass, when our enemies heard that it was known unto us, and God had brought their counsel to nought, that we returned all of us to the wall, every one unto his work.
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 16] (4-10) And it came to pass from that time forth, that half of my servants wrought in the work, and half of them held the spears, the shields, and the bows, and the coats of mail; and the rulers were behind all the house of Judah.
[JPS | EN | OT | Nehemiah | Chapter 4 | Verse 17] (4-11) They that builded the wall and they that bore burdens laded themselves, every one with one of his hands wrought in the work, and with the other held his weapon;
