[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 1] Now these are the priests and the Levites that went up with Zerubbabel the son of Shealtiel, and Jeshua: Seraiah, Jeremiah, Ezra;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 2] Amariah, Malluch, Hattush;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 3] Shecaniah, Rehum, Meremoth;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 4] Iddo, Ginnethoi, Abijah;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 5] Mijamin, Maadiah, Bilgah;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 6] Shemaiah, and Joiarib, Jedaiah;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 7] Sallu, Amok, Hilkiah, Jedaiah. These were the chiefs of the priests and their brethren in the days of Jeshua.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 8] Moreover the Levites: Jeshua, Binnui, Kadmiel, Sherebiah, Judah, and Mattaniah, who was over the thanksgiving, he and his brethren.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 9] Also Bakbukiah and Unni, their brethren, were over against them in wards.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 10] And Jeshua begot Joiakim, and Joiakim begot Eliashib, and Eliashib begot Joiada,
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 11] and Joiada begot Jonathan and Jonathan begot Jaddua.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 12] And in the days of Joiakim were priests, heads of fathers' houses: of Seraiah, Meraiah; of Jeremiah, Hananiah;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 13] of Ezra, Meshullam; of Amariah, Jehohanan;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 14] of Melicu, Jonathan; of Shebaniah, Joseph;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 15] of Harim, Adna; of Meraioth, Helkai;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 16] of Iddo, Zechariah; of Ginnethon, Meshullam;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 17] of Abijah, Zichri; of Miniamin; of Moadiah, Piltai;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 18] of Bilgah, Shammua; of Shemaiah, Jehonathan;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 19] and of Joiarib, Mattenai; of Jedaiah, Uzzi;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 20] of Sallai, Kallai; of Amok, Eber;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 21] of Hilkiah, Hashabiah; of Jedaiah, Nethanel.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 22] The Levites in the days of Eliashib, Joiada, and Johanan, and Jaddua, were recorded heads of fathers' houses; also the priests, in the reign of Darius the Persian.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 23] The sons of Levi, heads of fathers' houses, were written in the book of the chronicles, even until the days of Johanan the son of Eliashib.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 24] And the chiefs of the Levites: Hashabiah, Sherebiah, and Jeshua the son of Kadmiel, with their brethren over against them, to praise and give thanks, according to the commandment of David the man of God, ward against ward.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 25] Mattaniah, and Bakbukiah, Obadiah, Meshullam, Talmon, Akkub, were porters keeping the ward at the store-houses of the gates.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 26] These were in the days of Joiakim the son of Jeshua, the son of Jozadak, and in the days of Nehemiah the governor, and of Ezra the priest the scribe.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 27] And at the dedication of the wall of Jerusalem they sought the Levites out of all their places, to bring them to Jerusalem, to keep the dedication with gladness, both with thanksgivings, and with singing, with cymbals, psalteries, and with harps.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 28] And the sons of the singers gathered themselves together, both out of the Plain round about Jerusalem, and from the villages of the Netophathites;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 29] also from Beth-gilgal, and out of the fields of Geba and Azmaveth; for the singers had builded them villages round about Jerusalem.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 30] And the priests and the Levites purified themselves; and they purified the people, and the gates, and the wall.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 31] Then I brought up the princes of Judah upon the wall, and appointed two great companies that gave thanks and went in procession: on the right hand upon the wall toward the dung gate;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 32] and after them went Hoshaiah, and half of the princes of Judah;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 33] and Azariah, Ezra, and Meshullam,
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 34] Judah, and Benjamin, and Shemaiah, and Jeremiah;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 35] and certain of the priests' sons with trumpets: Zechariah the son of Jonathan, the son of Shemaiah, the son of Mattaniah, the son of Micaiah, the son of Zaccur, the son of Asaph;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 36] and his brethren, Shemaiah, and Azarel, Milalai, Gilalai, Maai, Nethanel, and Judah, Hanani, with the musical instruments of David the man of God; and Ezra the scribe was before them;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 37] and by the fountain gate, and straight before them, they went up by the stairs of the city of David, at the going up of the wall, above the house of David, even unto the water gate eastward.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 38] And the other company of them that gave thanks went to meet them, and I after them, with the half of the people, upon the wall, above the tower of the furnaces, even unto the broad wall;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 39] and above the gate of Ephraim, and by the gate of the old city and by the fish gate, and the tower of Hananel, and the tower of Hammeah, even unto the sheep gate; and they stood still in the gate of the guard.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 40] So stood the two companies of them that gave thanks in the house of God, and I, and the half of the rulers with me;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 41] and the priests, Eliakim, Maaseiah, Miniamin, Micaiah, Elioenai, Zechariah, and Hananiah, with trumpets;
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 42] and Maaseiah, and Shemaiah, and Eleazar, and Uzzi, and Jehohanan, and Malchijah, and Elam, and Ezer. And the singers sang loud, with Jezrahiah their overseer.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 43] And they offered great sacrifices that day, and rejoiced; for God had made them rejoice with great joy; and the women also and the children rejoiced; so that the joy of Jerusalem was heard even afar off.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 44] And on that day were men appointed over the chambers for the treasures, for the heave-offerings, for the first-fruits, and for the tithes, to gather into them, according to the fields of the cities, the portions appointed by the law for the priests and Levites; for Judah rejoiced for the priests and for the Levites that took their stations.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 45] And they kept the ward of their God, and the ward of the purification, and so did the singers and the porters, according to the commandment of David, and of Solomon his son.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 46] For in the days of David and Asaph of old there were chief of the singers, and songs of praise and thanksgiving unto God.
[JPS | EN | OT | Nehemiah | Chapter 12 | Verse 47] And all Israel in the days of Zerubbabel, and in the days of Nehemiah, gave the portions of the singers and the porters, as every day required; and they hallowed for the Levites; and the Levites hallowed for the sons of Aaron.
