[SBLGNT | EL | NT | James | Chapter 5 | Verse 1] Ἄγε νῦν οἱ πλούσιοι, κλαύσατε ὀλολύζοντες ἐπὶ ταῖς ταλαιπωρίαις ὑμῶν ταῖς ἐπερχομέναις.
[SBLGNT | EL | NT | James | Chapter 5 | Verse 2] ὁ πλοῦτος ὑμῶν σέσηπεν, καὶ τὰ ἱμάτια ὑμῶν σητόβρωτα γέγονεν,
[SBLGNT | EL | NT | James | Chapter 5 | Verse 3] ὁ χρυσὸς ὑμῶν καὶ ὁ ἄργυρος κατίωται, καὶ ὁ ἰὸς αὐτῶν εἰς μαρτύριον ὑμῖν ἔσται καὶ φάγεται τὰς σάρκας ὑμῶν· ὡς πῦρ ἐθησαυρίσατε ἐν ἐσχάταις ἡμέραις.
[SBLGNT | EL | NT | James | Chapter 5 | Verse 4] ἰδοὺ ὁ μισθὸς τῶν ἐργατῶν τῶν ἀμησάντων τὰς χώρας ὑμῶν ὁ ⸀ἀφυστερημένος ἀφʼ ὑμῶν κράζει, καὶ αἱ βοαὶ τῶν θερισάντων εἰς τὰ ὦτα Κυρίου Σαβαὼθ ⸀εἰσεληλύθασιν·
[SBLGNT | EL | NT | James | Chapter 5 | Verse 5] ἐτρυφήσατε ἐπὶ τῆς γῆς καὶ ἐσπαταλήσατε, ἐθρέψατε τὰς καρδίας ⸀ὑμῶν ἐν ἡμέρᾳ σφαγῆς.
[SBLGNT | EL | NT | James | Chapter 5 | Verse 6] κατεδικάσατε, ἐφονεύσατε τὸν δίκαιον. οὐκ ἀντιτάσσεται ὑμῖν;
[SBLGNT | EL | NT | James | Chapter 5 | Verse 7] Μακροθυμήσατε οὖν, ἀδελφοί, ἕως τῆς παρουσίας τοῦ κυρίου. ἰδοὺ ὁ γεωργὸς ἐκδέχεται τὸν τίμιον καρπὸν τῆς γῆς, μακροθυμῶν ἐπʼ ⸀αὐτῷ ἕως ⸀λάβῃ πρόϊμον καὶ ὄψιμον.
[SBLGNT | EL | NT | James | Chapter 5 | Verse 8] μακροθυμήσατε καὶ ὑμεῖς, στηρίξατε τὰς καρδίας ὑμῶν, ὅτι ἡ παρουσία τοῦ κυρίου ἤγγικεν.
[SBLGNT | EL | NT | James | Chapter 5 | Verse 9] μὴ στενάζετε, ⸂ἀδελφοί, κατʼ ἀλλήλων⸃, ἵνα μὴ κριθῆτε· ἰδοὺ ὁ κριτὴς πρὸ τῶν θυρῶν ἕστηκεν.
[SBLGNT | EL | NT | James | Chapter 5 | Verse 10] ὑπόδειγμα λάβετε, ⸀ἀδελφοί, τῆς κακοπαθίας καὶ τῆς μακροθυμίας τοὺς προφήτας, οἳ ἐλάλησαν ⸀ἐν τῷ ὀνόματι κυρίου.
[SBLGNT | EL | NT | James | Chapter 5 | Verse 11] ἰδοὺ μακαρίζομεν τοὺς ⸀ὑπομείναντας· τὴν ὑπομονὴν Ἰὼβ ἠκούσατε, καὶ τὸ τέλος κυρίου ⸀εἴδετε, ὅτι πολύσπλαγχνός ἐστιν ⸂ὁ κύριος⸃ καὶ οἰκτίρμων.
