[SBLGNT | EL | NT | James | Chapter 4 | Verse 1] Πόθεν πόλεμοι καὶ ⸀πόθεν μάχαι ἐν ὑμῖν; οὐκ ἐντεῦθεν, ἐκ τῶν ἡδονῶν ὑμῶν τῶν στρατευομένων ἐν τοῖς μέλεσιν ὑμῶν;
[SBLGNT | EL | NT | James | Chapter 4 | Verse 2] ἐπιθυμεῖτε, καὶ οὐκ ἔχετε· φονεύετε καὶ ζηλοῦτε, καὶ οὐ δύνασθε ἐπιτυχεῖν· μάχεσθε καὶ πολεμεῖτε. οὐκ ἔχετε διὰ τὸ μὴ αἰτεῖσθαι ὑμᾶς·
[SBLGNT | EL | NT | James | Chapter 4 | Verse 3] αἰτεῖτε καὶ οὐ λαμβάνετε, διότι κακῶς αἰτεῖσθε, ἵνα ἐν ταῖς ἡδοναῖς ὑμῶν δαπανήσητε.
[SBLGNT | EL | NT | James | Chapter 4 | Verse 4] ⸀μοιχαλίδες, οὐκ οἴδατε ὅτι ἡ φιλία τοῦ κόσμου ἔχθρα τοῦ θεοῦ ἐστιν; ὃς ⸀ἐὰν οὖν βουληθῇ φίλος εἶναι τοῦ κόσμου, ἐχθρὸς τοῦ θεοῦ καθίσταται.
[SBLGNT | EL | NT | James | Chapter 4 | Verse 5] ἢ δοκεῖτε ὅτι κενῶς ἡ γραφὴ λέγει· Πρὸς φθόνον ἐπιποθεῖ τὸ πνεῦμα ὃ ⸀κατῴκισεν ἐν ἡμῖν;
[SBLGNT | EL | NT | James | Chapter 4 | Verse 6] μείζονα δὲ δίδωσιν χάριν· διὸ λέγει· Ὁ θεὸς ὑπερηφάνοις ἀντιτάσσεται ταπεινοῖς δὲ δίδωσιν χάριν.
[SBLGNT | EL | NT | James | Chapter 4 | Verse 7] ὑποτάγητε οὖν τῷ θεῷ· ἀντίστητε δὲ τῷ διαβόλῳ, καὶ φεύξεται ἀφʼ ὑμῶν·
[SBLGNT | EL | NT | James | Chapter 4 | Verse 8] ἐγγίσατε τῷ θεῷ, καὶ ⸀ἐγγιεῖ ὑμῖν. καθαρίσατε χεῖρας, ἁμαρτωλοί, καὶ ἁγνίσατε καρδίας, δίψυχοι.
[SBLGNT | EL | NT | James | Chapter 4 | Verse 9] ταλαιπωρήσατε καὶ πενθήσατε καὶ κλαύσατε· ὁ γέλως ὑμῶν εἰς πένθος ⸀μετατραπήτω καὶ ἡ χαρὰ εἰς κατήφειαν·
[SBLGNT | EL | NT | James | Chapter 4 | Verse 10] ταπεινώθητε ἐνώπιον ⸀κυρίου, καὶ ὑψώσει ὑμᾶς.
[SBLGNT | EL | NT | James | Chapter 4 | Verse 11] Μὴ καταλαλεῖτε ἀλλήλων, ἀδελφοί· ὁ καταλαλῶν ἀδελφοῦ ⸀ἢ κρίνων τὸν ἀδελφὸν αὐτοῦ καταλαλεῖ νόμου καὶ κρίνει νόμον· εἰ δὲ νόμον κρίνεις, οὐκ εἶ ποιητὴς νόμου ἀλλὰ κριτής.
[SBLGNT | EL | NT | James | Chapter 4 | Verse 12] εἷς ⸀ἐστιν νομοθέτης ⸂καὶ κριτής⸃, ὁ δυνάμενος σῶσαι καὶ ἀπολέσαι· σὺ δὲ τίς εἶ, ⸂ὁ κρίνων⸃ τὸν ⸀πλησίον;
[SBLGNT | EL | NT | James | Chapter 4 | Verse 13] Ἄγε νῦν οἱ λέγοντες· Σήμερον ⸀ἢ αὔριον ⸀πορευσόμεθα εἰς τήνδε τὴν πόλιν καὶ ⸀ποιήσομεν ἐκεῖ ⸀ἐνιαυτὸν καὶ ⸀ἐμπορευσόμεθα καὶ ⸀κερδήσομεν·
[SBLGNT | EL | NT | James | Chapter 4 | Verse 14] οἵτινες οὐκ ἐπίστασθε ⸀τὸ τῆς αὔριον ⸀ποία ἡ ζωὴ ὑμῶν· ἀτμὶς γάρ ⸀ἐστε ⸀ἡ πρὸς ὀλίγον φαινομένη, ⸀ἔπειτα καὶ ἀφανιζομένη·
[SBLGNT | EL | NT | James | Chapter 4 | Verse 15] ἀντὶ τοῦ λέγειν ὑμᾶς· Ἐὰν ὁ κύριος ⸀θελήσῃ, καὶ ⸀ζήσομεν καὶ ⸀ποιήσομεν τοῦτο ἢ ἐκεῖνο.
[SBLGNT | EL | NT | James | Chapter 4 | Verse 16] νῦν δὲ καυχᾶσθε ἐν ταῖς ἀλαζονείαις ὑμῶν· πᾶσα καύχησις τοιαύτη πονηρά ἐστιν.
[SBLGNT | EL | NT | James | Chapter 4 | Verse 17] εἰδότι οὖν καλὸν ποιεῖν καὶ μὴ ποιοῦντι, ἁμαρτία αὐτῷ ἐστιν.
