[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 1] The angel who was sent to me, whose name was Uriel, gave me an answer,
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 2] and said to me, “Your understanding has utterly failed you regarding this world. Do you think you can comprehend the way of the Most High?”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 3] Then I said, “Yes, my Lord.” He answered me, “I have been sent to show you three ways, and to set before you three problems.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 4] If you can solve one for me, I also will show you the way that you desire to see, and I will teach you why the heart is wicked.”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 5] I said, “Say on, my Lord.” Then said he to me, “Go, weigh for me the weight of fire, or measure for me blast of wind, or call back for me the day that is past.”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 6] Then answered I and said, “Who of the sons of men is able to do this, that you should ask me about such things?”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 7] He said to me, “If I had asked you, ‘How many dwellings are there in the heart of the sea? Or how many springs are there at the fountain head of the deep? Or how many streams are above the firmament? Or which are the exits of hell? Or which are the entrances of paradise?’
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 8] perhaps you would say to me, ‘I never went down into the deep, or as yet into hell, neither did I ever climb up into heaven.’
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 9] Nevertheless now I have only asked you about the fire, wind, and the day, things which you have experienced, and from which you can’t be separated, and yet have you given me no answer about them.”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 10] He said moreover to me, “You can’t understand your own things that you grew up with.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 11] How then can your mind comprehend the way of the Most High? How can he who is already worn out with the corrupted world understand incorruption?” When I heard these things, I fell on my face
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 12] and said to him, “It would have been better if we weren’t here at all, than that we should come here and live in the midst of ungodliness, and suffer, and not know why.”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 13] He answered me, and said, “A forest of the trees of the field went out, and took counsel together,
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 14] and said, ‘Come! Let’s go and make war against the sea, that it may depart away before us, and that we may make ourselves more forests.’
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 15] The waves of the sea also in like manner took counsel together, and said, ‘Come! Let’s go up and subdue the forest of the plain, that there also we may gain more territory.’
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 16] The counsel of the wood was in vain, for the fire came and consumed it.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 17] Likewise also the counsel of the waves of the sea, for the sand stood up and stopped them.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 18] If you were judge now between these two, which would you justify, or which would you condemn?”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 19] I answered and said, “It is a foolish counsel that they both have taken, for the ground is given to the wood, and the place of the sea is given to bear its waves.”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 20] Then answered he me, and said, “You have given a right judgment. Why don’t you judge your own case?
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 21] For just as the ground is given to the wood, and the sea to its waves, even so those who dwell upon the earth may understand nothing but what is upon the earth. Only he who dwells above the heavens understands the things that are above the height of the heavens.”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 22] Then answered I and said, “I beg you, O Lord, why has the power of understanding been given to me?
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 23] For it was not in my mind to be curious of the ways above, but of such things as pass by us daily, because Israel is given up as a reproach to the heathen. The people whom you have loved have been given over to ungodly nations. The law of our forefathers is made of no effect, and the written covenants are nowhere regarded.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 24] We pass away out of the world like locusts. Our life is like a vapor, and we aren’t worthy to obtain mercy.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 25] What will he then do for his name by which we are called? I have asked about these things.”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 26] Then he answered me, and said, “If you are alive you will see, and if you live long, you will marvel, for the world hastens quickly to pass away.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 27] For it is not able to bear the things that are promised to the righteous in the times to come; for this world is full of sadness and infirmities.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 28] For the evil about which you asked me has been sown, but its harvest hasn’t yet come.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 29] If therefore that which is sown isn’t reaped, and if the place where the evil is sown doesn’t pass away, the field where the good is sown won’t come.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 30] For a grain of evil seed was sown in the heart of Adam from the beginning, and how much wickedness it has produced to this time! How much more it will yet produce until the time of threshing comes!
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 31] Ponder now by yourself, how much fruit of wickedness a grain of evil seed has produced.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 32] When the grains which are without number are sown, how great a threshing floor they will fill!”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 33] Then I answered and said, “How long? When will these things come to pass? Why are our years few and evil?”
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 34] He answered me, and said, “Don’t hurry faster than the Most High; for your haste is for your own self, but he who is above hurries on behalf of many.
[WEB | EN | OT | 2 Esdras | Chapter 4 | Verse 35] Didn’t the souls of the righteous ask question of these things in their chambers, saying, ‘How long will we be here? When does the fruit of the threshing floor come?’
