[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 1] “So it came to pass that when my son was entered into his wedding chamber, he fell down and died.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 2] Then we all put out the lamps, and all my neighbors rose up to comfort me. I remained quiet until the second day at night.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 3] It came to pass, when they had all stopped consoling me, encouraging me to be quiet, then rose I up by night, and fled, and came here into this field, as you see.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 4] Now I don’t intend to return into the city, but to stay here, and not eat or drink, but to continually mourn and fast until I die.”
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 5] Then I left the reflections I was engaged in, and answered her in anger,
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 6] “You most foolish woman, don’t you see our mourning, and what has happened to us?
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 7] For Zion the mother of us all is full of sorrow, and much humbled.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 8] It is right now to mourn deeply, since we all mourn, and to be sorrowful, since we are all in sorrow, but you are mourning for one son.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 9] Ask the earth, and she will tell you that it is she which ought to mourn for so many that grow upon her.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 10] For out of her, all had their beginnings, and others will come; and, behold, almost all of them walk into destruction, and the multitude of them is utterly doomed.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 11] Who then should mourn more, she who has lost so great a multitude, or you, who are grieved but for one?
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 12] But if you say to me, ‘My lamentation is not like the earth’s, for I have lost the fruit of my womb, which I brought forth with pains, and bare with sorrows;’
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 13] but it is with the earth after the manner of the earth. The multitude present in it has gone as it came.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 14] Then say I to you, ‘Just as you have brought forth with sorrow, even so the earth also has given her fruit, namely, people, ever since the beginning to him who made her.’
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 15] Now therefore keep your sorrow to yourself, and bear with a good courage the adversities which have happened to you.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 16] For if you will acknowledge the decree of God to be just, you will both receive your son in time, and will be praised among women.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 17] Go your way then into the city to your husband.”
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 18] She said to me, “I won’t do that. I will not go into the city, but I will die here.”
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 19] So I proceeded to speak further to her, and said,
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 20] “Don’t do so, but allow yourself to be persuaded by reason of the adversities of Zion; and be comforted by reason of the sorrow of Jerusalem.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 21] For you see that our sanctuary has been laid waste, our altar broken down, our temple destroyed,
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 22] our lute has been brought low, our song is put to silence, our rejoicing is at an end, the light of our candlestick is put out, the ark of our covenant is plundered, our holy things are defiled, and the name that we are called is profaned. Our free men are despitefully treated, our priests are burned, our Levites have gone into captivity, our virgins are defiled and our wives ravished, our righteous men carried away, our little ones betrayed, our young men are brought into bondage, and our strong men have become weak.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 23] What is more than all, the seal of Zion has now lost the seal of her honor, and is delivered into the hands of those who hate us.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 24] Therefore shake off your great heaviness, and put away from yourself the multitude of sorrows, that the Mighty One may be merciful to you again, and the Most High may give you rest, even ease from your troubles.”
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 25] It came to pass while I was talking with her, behold, her face suddenly began to shine exceedingly, and her countenance glistered like lightning, so that I was very afraid of her, and wondered what this meant.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 26] Behold, suddenly she made a great and very fearful cry, so that the earth shook at the noise.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 27] I looked, and behold, the woman appeared to me no more, but there was a city built, and a place shown itself from large foundations. Then I was afraid, and cried with a loud voice,
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 28] “Where is Uriel the angel, who came to me at the first? For he has caused me to fall into this great trance, and my end has turned into corruption, and my prayer a reproach!”
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 29] As I was speaking these words, behold, the angel who had come to me at first came to me, and he looked at me.
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 30] Behold, I lay as one who had been dead, and my understanding was taken from me. He took me by the right hand, and comforted me, and set me on my feet, and said to me,
[WEB | EN | OT | 2 Esdras | Chapter 10 | Verse 31] “What ails you? Why are you so troubled? Why is your understanding and the thoughts of your heart troubled?”
