[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 1] The second book of the prophet Esdras, the son of Saraias, the son of Azaraias, the son of Helkias, the son of Salemas, the son of Sadoc, the son of Ahitob,
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 2] the son of Achias, the son of Phinees, the son of Heli, the son of Amarias, the son of Aziei, the son of Marimoth, the son of Arna, the son of Ozias, the son of Borith, the son of Abissei, the son of Phinees, the son of Eleazar,
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 3] the son of Aaron, of the tribe of Levi, who was captive in the land of the Medes, in the reign of Artaxerxes king of the Persians.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 4] The Lord’s word came to me, saying,
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 5] “Go your way and show my people their sinful deeds, and their children their wickedness which they have done against me, that they may tell their children’s children,
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 6] because the sins of their fathers have increased in them, for they have forgotten me, and have offered sacrifices to foreign gods.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 7] Didn’t I bring them out of the land of Egypt, out of the house of bondage? But they have provoked me to wrath and have despised my counsels.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 8] So pull out the hair of your head and cast all evils upon them, for they have not been obedient to my law, but they are a rebellious people.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 9] How long shall I endure them, to whom I have done so much good?
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 10] I have overthrown many kings for their sakes. I have struck down Pharoah with his servants and all his army.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 11] I have destroyed all the nations before them. In the east, I have scattered the people of two provinces, even of Tyre and Sidon, and have slain all their adversaries.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 12] Speak therefore to them, saying:
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 13] “The Lord says, truly I brought you through the sea, and where there was no path I made highways for you. I gave you Moses for a leader and Aaron for a priest.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 14] I gave you light in a pillar of fire. I have done great wonders among you, yet you have forgotten me, says the Lord.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 15] “The Lord Almighty says: The quails were for a token to you. I gave you a camp for your protection, but you complained there.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 16] You didn’t celebrate in my name for the destruction of your enemies, but even to this day you still complain.
[WEB | EN | OT | 2 Esdras | Chapter 1 | Verse 17] Where are the benefits that I have given you? When you were hungry and thirsty in the wilderness, didn’t you cry to me,
