[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 1] It came to pass upon the third day, I sat under an oak, and, behold, a voice came out of a bush near me, and said, “Esdras, Esdras!”
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 2] I said, “Here I am, Lord,” and I stood up on my feet.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 3] Then he said to me, “I revealed myself in a bush and talked with Moses when my people were in bondage in Egypt.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 4] I sent him, and he led my people out of Egypt. I brought him up to Mount Sinai, where I kept him with me for many days.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 5] I told him many wondrous things, and showed him the secrets of the times and the end of the seasons. I commanded him, saying,
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 6] ‘You shall publish these openly, and these you shall hide.’
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 7] Now I say to you:
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 8] Lay up in your heart the signs that I have shown, the dreams that you have seen, and the interpretations which you have heard;
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 9] for you will be taken away from men, and from now on you will live with my Son and with those who are like you, until the times have ended.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 10] For the world has lost its youth, and the times begin to grow old.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 11] For the age is divided into twelve parts, and ten parts of it are already gone, even the half of the tenth part.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 12] There remain of it two parts after the middle of the tenth part.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 13] Now therefore set your house in order, reprove your people, comfort the lowly among them, and instruct those of them who are wise, and now renounce the life that is corruptible,
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 14] and let go of the mortal thoughts, cast away from you the burdens of man, put off now your weak nature,
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 15] lay aside the thoughts that are most grievous to you, and hurry to escape from these times.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 16] For worse evils than those which you have seen happen will be done after this.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 17] For look how much the world will be weaker through age, so much that more evils will increase on those who dwell in it.
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 18] For the truth will withdraw itself further off, and falsehood will be near. For now the eagle which you saw in vision hurries to come.”
[WEB | EN | OT | 2 Esdras | Chapter 14 | Verse 19] Then I answered and said, “Let me speak in your presence, O Lord.
