[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 1] Τὸ δὲ πνεῦμα ῥητῶς λέγει, ὅτι ἐν ὑστέροις καιροῖς ἀποστήσονταί τινες τῆς πίστεως, προσέχοντες πνεύμασι πλάνοις καὶ διδασκαλίαις δαιμονίων,
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 2] ἐν ὑποκρίσει ψευδολόγων, κεκαυτηριασμένων τὴν ἰδίαν συνείδησιν,
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 3] κωλυόντων γαμεῖν, ἀπέχεσθαι βρωμάτων, ἃ ὁ Θεὸς ἔκτισεν εἰς μετάληψιν μετὰ εὐχαριστίας τοῖς πιστοῖς καὶ ἐπεγνωκόσι τὴν ἀλήθειαν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 4] Ὅτι πᾶν κτίσμα Θεοῦ καλόν, καὶ οὐδὲν ἀπόβλητον, μετὰ εὐχαριστίας λαμβανόμενον·
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 5] ἁγιάζεται γὰρ διὰ λόγου Θεοῦ καὶ ἐντεύξεως.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 6] Ταῦτα ὑποτιθέμενος τοῖς ἀδελφοῖς καλὸς ἔσῃ διάκονος Ἰησοῦ Χριστοῦ, ἐντρεφόμενος τοῖς λόγοις τῆς πίστεως, καὶ τῆς καλῆς διδασκαλίας ᾗ παρηκολούθηκας.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 7] Τοὺς δὲ βεβήλους καὶ γραώδεις μύθους παραιτοῦ. Γύμναζε δὲ σεαυτὸν πρὸς εὐσέβειαν·
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 8] ἡ γὰρ σωματικὴ γυμνασία πρὸς ὀλίγον ἐστὶν ὠφέλιμος· ἡ δὲ εὐσέβεια πρὸς πάντα ὠφέλιμός ἐστιν, ἐπαγγελίαν ἔχουσα ζωῆς τῆς νῦν καὶ τῆς μελλούσης.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 9] Πιστὸς ὁ λόγος καὶ πάσης ἀποδοχῆς ἄξιος.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 10] Εἰς τοῦτο γὰρ καὶ κοπιῶμεν καὶ ὀνειδιζόμεθα, ὅτι ἠλπίκαμεν ἐπὶ Θεῷ ζῶντι, ὅς ἐστι σωτὴρ πάντων ἀνθρώπων, μάλιστα πιστῶν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 11] Παράγγελλε ταῦτα καὶ δίδασκε.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 12] Μηδείς σου τῆς νεότητος καταφρονείτω, ἀλλὰ τύπος γίνου τῶν πιστῶν ἐν λόγῳ, ἐν ἀναστροφῇ, ἐν ἀγάπῃ, ἐν πνεύματι, ἐν πίστει, ἐν ἁγνείᾳ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 13] Ἕως ἔρχομαι, πρόσεχε τῇ ἀναγνώσει, τῇ παρακλήσει, τῇ διδασκαλίᾳ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 14] Μὴ ἀμέλει τοῦ ἐν σοὶ χαρίσματος, ὃ ἐδόθη σοι διὰ προφητείας μετὰ ἐπιθέσεως τῶν χειρῶν τοῦ πρεσβυτερίου.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 15] Ταῦτα μελέτα, ἐν τούτοις ἴσθι, ἵνα σου ἡ προκοπὴ φανερὰ ᾖ ἐν πᾶσιν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 4 | Verse 16] Ἔπεχε σεαυτῷ καὶ τῇ διδασκαλίᾳ. Ἐπίμενε αὐτοῖς· τοῦτο γὰρ ποιῶν καὶ σεαυτὸν σώσεις καὶ τοὺς ἀκούοντάς σου.
