[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 1] Πιστὸς ὁ λόγος· εἴ τις ἐπισκοπῆς ὀρέγεται, καλοῦ ἔργου ἐπιθυμεῖ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 2] Δεῖ οὖν τὸν ἐπίσκοπον ἀνεπίληπτον εἶναι, μιᾶς γυναικὸς ἄνδρα, + 3:2 νηφάλιον ¦ νηφάλεον STνηφάλιον, σώφρονα, κόσμιον, φιλόξενον, διδακτικόν·
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 3] μὴ πάροινον, μὴ πλήκτην, μὴ αἰσχροκερδῆ, ἀλλ᾿ ἐπιεικῆ, ἄμαχον, ἀφιλάργυρον·
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 4] τοῦ ἰδίου οἴκου καλῶς προϊστάμενον, τέκνα ἔχοντα ἐν ὑποταγῇ μετὰ πάσης σεμνότητος.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 5] Εἰ δέ τις τοῦ ἰδίου οἴκου προστῆναι οὐκ οἶδε, πῶς ἐκκλησίας Θεοῦ ἐπιμελήσεται;
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 6] Μὴ νεόφυτον, ἵνα μὴ τυφωθεὶς εἰς κρίμα ἐμπέσῃ τοῦ διαβόλου.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 7] Δεῖ δὲ αὐτὸν καὶ μαρτυρίαν καλὴν ἔχειν ἀπὸ τῶν ἔξωθεν, ἵνα μὴ εἰς ὀνειδισμὸν ἐμπέσῃ καὶ παγίδα τοῦ διαβόλου.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 8] Διακόνους ὡσαύτως σεμνούς, μὴ διλόγους, μὴ οἴνῳ πολλῷ προσέχοντας, μὴ αἰσχροκερδεῖς,
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 9] ἔχοντας τὸ μυστήριον τῆς πίστεως ἐν καθαρᾷ συνειδήσει.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 10] Καὶ οὗτοι δὲ δοκιμαζέσθωσαν πρῶτον, εἶτα διακονείτωσαν, ἀνέγκλητοι ὄντες.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 11] Γυναῖκας ὡσαύτως σεμνάς, μὴ διαβόλους, + 3:11 νηφαλίους ¦ νηφαλέους ST νηφαλίους, πιστὰς ἐν πᾶσι.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 12] Διάκονοι ἔστωσαν μιᾶς γυναικὸς ἄνδρες, τέκνων καλῶς προϊστάμενοι καὶ τῶν ἰδίων οἴκων.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 13] Οἱ γὰρ καλῶς διακονήσαντες βαθμὸν ἑαυτοῖς καλὸν περιποιοῦνται, καὶ πολλὴν παρρησίαν ἐν πίστει τῇ ἐν Χριστῷ Ἰησοῦ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 14] Ταῦτά σοι γράφω, ἐλπίζων ἐλθεῖν πρός σε τάχιον·
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 15] ἐὰν δὲ βραδύνω, ἵνα εἰδῇς πῶς δεῖ ἐν οἴκῳ Θεοῦ ἀναστρέφεσθαι, ἥτις ἐστὶν ἐκκλησία Θεοῦ ζῶντος, στύλος καὶ ἑδραίωμα τῆς ἀληθείας.
[GRCGTR | EL | NT | 1 Timothy | Chapter 3 | Verse 16] Καὶ ὁμολογουμένως μέγα ἐστὶ τὸ τῆς εὐσεβείας μυστήριον· Θεὸς ἐφανερώθη ἐν σαρκί, ἐδικαιώθη ἐν πνεύματι, ὤφθη ἀγγέλοις, ἐκηρύχθη ἐν ἔθνεσιν, ἐπιστεύθη ἐν κόσμῳ, ἀνελήφθη ἐν δόξῃ.
