[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 1] Παῦλος ἀπόστολος Ἰησοῦ Χριστοῦ κατ᾿ ἐπιταγὴν Θεοῦ σωτῆρος ἡμῶν, καὶ Κυρίου Ἰησοῦ Χριστοῦ τῆς ἐλπίδος ἡμῶν,
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 2] Τιμοθέῳ γνησίῳ τέκνῳ ἐν πίστει· χάρις, ἔλεος, εἰρήνη ἀπὸ Θεοῦ πατρὸς ἡμῶν καὶ + 1:2 Χριστοῦ Ἰησοῦ ¦ Ἰησοῦ Χριστοῦ SCR Χριστοῦ Ἰησοῦ τοῦ Κυρίου ἡμῶν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 3] Καθὼς παρεκάλεσά σε προσμεῖναι ἐν Ἐφέσῳ, πορευόμενος εἰς Μακεδονίαν, ἵνα παραγγείλῃς τισὶ μὴ ἑτεροδιδασκαλεῖν,
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 4] μηδὲ προσέχειν μύθοις καὶ γενεαλογίαις ἀπεράντοις, αἵτινες ζητήσεις παρέχουσι μᾶλλον ἢ + 1:4 οἰκοδομίαν ¦ οἰκονομίαν STοἰκοδομίαν Θεοῦ τὴν ἐν πίστει.
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 5] Τὸ δὲ τέλος τῆς παραγγελίας ἐστὶν ἀγάπη ἐκ καθαρᾶς καρδίας καὶ συνειδήσεως ἀγαθῆς καὶ πίστεως ἀνυποκρίτου·
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 6] ὧν τινὲς ἀστοχήσαντες ἐξετράπησαν εἰς ματαιολογίαν,
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 7] θέλοντες εἶναι νομοδιδάσκαλοι, μὴ νοοῦντες μήτε ἃ λέγουσι, μήτε περὶ τίνων διαβεβαιοῦνται.
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 8] Οἴδαμεν δὲ ὅτι καλὸς ὁ νόμος, ἐάν τις αὐτῷ νομίμως χρῆται,
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 9] εἰδὼς τοῦτο, ὅτι δικαίῳ νόμος οὐ κεῖται, ἀνόμοις δὲ καὶ ἀνυποτάκτοις, ἀσεβέσι καὶ ἁμαρτωλοῖς, ἀνοσίοις καὶ βεβήλοις, πατραλῴαις καὶ μητραλῴαις, ἀνδροφόνοις,
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 10] πόρνοις, ἀρσενοκοίταις, ἀνδραποδισταῖς, ψεύσταις, ἐπιόρκοις, καὶ εἴ τι ἕτερον τῇ ὑγιαινούσῃ διδασκαλίᾳ ἀντίκειται,
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 11] κατὰ τὸ εὐαγγέλιον τῆς δόξης τοῦ μακαρίου Θεοῦ, ὃ ἐπιστεύθην ἐγώ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 12] Καὶ χάριν ἔχω τῷ ἐνδυναμώσαντί με Χριστῷ Ἰησοῦ τῷ Κυρίῳ ἡμῶν, ὅτι πιστόν με ἡγήσατο, θέμενος εἰς διακονίαν,
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 13] τὸν πρότερον ὄντα βλάσφημον καὶ διώκτην καὶ ὑβριστήν· ἀλλ᾿ ἠλεήθην, ὅτι ἀγνοῶν ἐποίησα ἐν ἀπιστίᾳ·
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 14] ὑπερεπλεόνασε δὲ ἡ χάρις τοῦ Κυρίου ἡμῶν μετὰ πίστεως καὶ ἀγάπης τῆς ἐν Χριστῷ Ἰησοῦ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 15] Πιστὸς ὁ λόγος καὶ πάσης ἀποδοχῆς ἄξιος, ὅτι Χριστὸς Ἰησοῦς ἦλθεν εἰς τὸν κόσμον ἁμαρτωλοὺς σῶσαι, ὧν πρῶτός εἰμι ἐγώ·
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 16] ἀλλὰ διὰ τοῦτο ἠλεήθην, ἵνα ἐν ἐμοὶ πρώτῳ ἐνδείξηται Ἰησοῦς Χριστὸς τὴν πᾶσαν μακροθυμίαν, πρὸς ὑποτύπωσιν τῶν μελλόντων πιστεύειν ἐπ᾿ αὐτῷ εἰς ζωὴν αἰώνιον.
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 17] Τῷ δὲ βασιλεῖ τῶν αἰώνων, ἀφθάρτῳ, ἀοράτῳ, μόνῳ σοφῷ Θεῷ, τιμὴ καὶ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων. Ἀμήν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 18] Ταύτην τὴν παραγγελίαν παρατίθεμαί σοι, τέκνον Τιμόθεε, κατὰ τὰς προαγούσας ἐπὶ σὲ προφητείας, ἵνα στρατεύῃ ἐν αὐταῖς τὴν καλὴν στρατείαν,
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 19] ἔχων πίστιν καὶ ἀγαθὴν συνείδησιν, ἥν τινες ἀπωσάμενοι περὶ τὴν πίστιν ἐναυάγησαν·
[GRCGTR | EL | NT | 1 Timothy | Chapter 1 | Verse 20] ὧν ἐστὶν Ὑμέναιος καὶ Ἀλέξανδρος, οὓς παρέδωκα τῷ Σατανᾷ, ἵνα παιδευθῶσι μὴ βλασφημεῖν.
