[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 1] Πρεσβυτέρῳ μὴ ἐπιπλήξῃς, ἀλλὰ παρακάλει ὡς πατέρα· νεωτέρους, ὡς ἀδελφούς·
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 2] πρεσβυτέρας, ὡς μητέρας· νεωτέρας, ὡς ἀδελφάς, ἐν πάσῃ ἁγνείᾳ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 3] Χήρας τίμα τὰς ὄντως χήρας.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 4] Εἰ δέ τις χήρα τέκνα ἢ ἔκγονα ἔχει, μανθανέτωσαν πρῶτον τὸν ἴδιον οἶκον εὐσεβεῖν, καὶ ἀμοιβὰς ἀποδιδόναι τοῖς προγόνοις· τοῦτο γάρ ἐστι καλὸν καὶ ἀπόδεκτον ἐνώπιον τοῦ Θεοῦ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 5] Ἡ δὲ ὄντως χήρα καὶ μεμονωμένη ἤλπικεν ἐπὶ τὸν Θεόν, καὶ προσμένει ταῖς δεήσεσι καὶ ταῖς προσευχαῖς νυκτὸς καὶ ἡμέρας.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 6] Ἡ δὲ σπαταλῶσα, ζῶσα τέθνηκε.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 7] Καὶ ταῦτα παράγγελλε, ἵνα ἀνεπίληπτοι ὦσιν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 8] Εἰ δέ τις τῶν ἰδίων καὶ μάλιστα τῶν οἰκείων οὐ προνοεῖ, τὴν πίστιν ἤρνηται, καὶ ἔστιν ἀπίστου χείρων.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 9] Χήρα καταλεγέσθω μὴ ἔλαττον ἐτῶν ἑξήκοντα, γεγονυῖα ἑνὸς ἀνδρὸς γυνή,
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 10] ἐν ἔργοις καλοῖς μαρτυρουμένη, εἰ ἐτεκνοτρόφησεν, εἰ ἐξενοδόχησεν, εἰ ἁγίων πόδας ἔνιψεν, εἰ θλιβομένοις ἐπήρκεσεν, εἰ παντὶ ἔργῳ ἀγαθῷ ἐπηκολούθησε.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 11] Νεωτέρας δὲ χήρας παραιτοῦ· ὅταν γὰρ καταστρηνιάσωσι τοῦ Χριστοῦ, γαμεῖν θέλουσιν,
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 12] ἔχουσαι κρίμα, ὅτι τὴν πρώτην πίστιν ἠθέτησαν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 13] Ἅμα δὲ καὶ ἀργαὶ μανθάνουσι, περιερχόμεναι τὰς οἰκίας, οὐ μόνον δὲ ἀργαί, ἀλλὰ καὶ φλύαροι καὶ περίεργοι, λαλοῦσαι τὰ μὴ δέοντα.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 14] Βούλομαι οὖν νεωτέρας γαμεῖν, τεκνογονεῖν, οἰκοδεσποτεῖν, μηδεμίαν ἀφορμὴν διδόναι τῷ ἀντικειμένῳ λοιδορίας χάριν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 15] Ἤδη γάρ τινες ἐξετράπησαν ὀπίσω τοῦ Σατανᾶ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 16] Εἴ τις πιστὸς ἢ πιστὴ ἔχει χήρας, ἐπαρκείτω αὐταῖς, καὶ μὴ βαρείσθω ἡ ἐκκλησία, ἵνα ταῖς ὄντως χήραις ἐπαρκέσῃ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 17] Οἱ καλῶς προεστῶτες πρεσβύτεροι διπλῆς τιμῆς ἀξιούσθωσαν, μάλιστα οἱ κοπιῶντες ἐν λόγῳ καὶ διδασκαλίᾳ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 18] Λέγει γὰρ ἡ γραφή, Βοῦν ἀλοῶντα οὐ φιμώσεις· καί, Ἄξιος ὁ ἐργάτης τοῦ μισθοῦ αὐτοῦ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 5 | Verse 19] Κατὰ πρεσβυτέρου κατηγορίαν μὴ παραδέχου, ἐκτὸς εἰ μὴ ἐπὶ δύο ἢ τριῶν μαρτύρων.
