[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 1] Ὅσοι εἰσὶν ὑπὸ ζυγὸν δοῦλοι, τοὺς ἰδίους δεσπότας πάσης τιμῆς ἀξίους ἡγείσθωσαν, ἵνα μὴ τὸ ὄνομα τοῦ Θεοῦ καὶ ἡ διδασκαλία βλασφημῆται.
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 2] Οἱ δὲ πιστοὺς ἔχοντες δεσπότας μὴ καταφρονείτωσαν, ὅτι ἀδελφοί εἰσιν· ἀλλὰ μᾶλλον δουλευέτωσαν, ὅτι πιστοί εἰσι καὶ ἀγαπητοὶ οἱ τῆς εὐεργεσίας ἀντιλαμβανόμενοι. Ταῦτα δίδασκε καὶ παρακάλει.
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 3] Εἴ τις ἑτεροδιδασκαλεῖ, καὶ μὴ προσέρχεται ὑγιαίνουσι λόγοις, τοῖς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, καὶ τῇ κατ᾿ εὐσέβειαν διδασκαλίᾳ,
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 4] τετύφωται, μηδὲν ἐπιστάμενος, ἀλλὰ νοσῶν περὶ ζητήσεις καὶ λογομαχίας, ἐξ ὧν γίνεται φθόνος, ἔρις, βλασφημίαι, ὑπόνοιαι πονηραί,
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 5] παραδιατριβαὶ διεφθαρμένων ἀνθρώπων τὸν νοῦν, καὶ ἀπεστερημένων τῆς ἀληθείας, νομιζόντων πορισμὸν εἶναι τὴν εὐσέβειαν. Ἀφίστασο ἀπὸ τῶν τοιούτων.
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 6] Ἔστι δὲ πορισμὸς μέγας ἡ εὐσέβεια μετὰ αὐταρκείας·
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 7] οὐδὲν γὰρ εἰσηνέγκαμεν εἰς τὸν κόσμον, δῆλον ὅτι οὐδὲ ἐξενεγκεῖν τι δυνάμεθα·
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 8] ἔχοντες δὲ διατροφὰς καὶ σκεπάσματα τούτοις ἀρκεσθησόμεθα.
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 9] Οἱ δὲ βουλόμενοι πλουτεῖν ἐμπίπτουσιν εἰς πειρασμὸν καὶ παγίδα καὶ ἐπιθυμίας πολλὰς ἀνοήτους καὶ βλαβεράς, αἵτινες βυθίζουσι τοὺς ἀνθρώπους εἰς ὄλεθρον καὶ ἀπώλειαν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 10] Ῥίζα γὰρ πάντων τῶν κακῶν ἐστὶν ἡ φιλαργυρία· ἧς τινὲς ὀρεγόμενοι ἀπεπλανήθησαν ἀπὸ τῆς πίστεως, καὶ ἑαυτοὺς περιέπειραν ὀδύναις πολλαῖς.
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 11] Σὺ δέ, ὦ ἄνθρωπε τοῦ Θεοῦ, ταῦτα φεῦγε· δίωκε δὲ δικαιοσύνην, εὐσέβειαν, πίστιν, ἀγάπην, ὑπομονήν, πρᾳότητα.
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 12] Ἀγωνίζου τὸν καλὸν ἀγῶνα τῆς πίστεως, ἐπιλαβοῦ τῆς αἰωνίου ζωῆς, εἰς ἣν καὶ ἐκλήθης, καὶ ὡμολόγησας τὴν καλὴν ὁμολογίαν ἐνώπιον πολλῶν μαρτύρων.
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 13] Παραγγέλλω σοι ἐνώπιον τοῦ Θεοῦ τοῦ ζῳοποιοῦντος τὰ πάντα, καὶ Χριστοῦ Ἰησοῦ τοῦ μαρτυρήσαντος ἐπὶ Ποντίου Πιλάτου τὴν καλὴν ὁμολογίαν,
[GRCGTR | EL | NT | 1 Timothy | Chapter 6 | Verse 14] τηρῆσαί σε τὴν ἐντολὴν ἄσπιλον, ἀνεπίληπτον, μέχρι τῆς ἐπιφανείας τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,
