[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 1] Παρακαλῶ οὖν πρῶτον πάντων ποιεῖσθαι δεήσεις, προσευχάς, ἐντεύξεις, εὐχαριστίας, ὑπὲρ πάντων ἀνθρώπων·
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 2] ὑπὲρ βασιλέων καὶ πάντων τῶν ἐν ὑπεροχῇ ὄντων, ἵνα ἤρεμον καὶ ἡσύχιον βίον διάγωμεν ἐν πάσῃ εὐσεβείᾳ καὶ σεμνότητι.
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 3] Τοῦτο γὰρ καλὸν καὶ ἀπόδεκτον ἐνώπιον τοῦ σωτῆρος ἡμῶν Θεοῦ,
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 4] ὃς πάντας ἀνθρώπους θέλει σωθῆναι καὶ εἰς ἐπίγνωσιν ἀληθείας ἐλθεῖν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 5] Εἷς γὰρ Θεός, εἷς καὶ μεσίτης Θεοῦ καὶ ἀνθρώπων, ἄνθρωπος Χριστὸς Ἰησοῦς,
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 6] ὁ δοὺς ἑαυτὸν ἀντίλυτρον ὑπὲρ πάντων, τὸ μαρτύριον καιροῖς ἰδίοις,
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 7] εἰς ὃ ἐτέθην ἐγὼ κῆρυξ καὶ ἀπόστολος· ἀλήθειαν λέγω ἐν Χριστῷ, οὐ ψεύδομαι· διδάσκαλος ἐθνῶν ἐν πίστει καὶ ἀληθείᾳ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 8] Βούλομαι οὖν προσεύχεσθαι τοὺς ἄνδρας ἐν παντὶ τόπῳ, ἐπαίροντας ὁσίους χεῖρας, χωρὶς ὀργῆς καὶ διαλογισμοῦ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 9] Ὡσαύτως καὶ τὰς γυναῖκας ἐν καταστολῇ κοσμίῳ, μετὰ αἰδοῦς καὶ σωφροσύνης, κοσμεῖν ἑαυτάς, μὴ ἐν πλέγμασιν, ἢ χρυσῷ, ἢ μαργαρίταις, ἢ ἱματισμῷ πολυτελεῖ,
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 10] ἀλλ᾿ ὃ πρέπει γυναιξὶν ἐπαγγελλομέναις θεοσέβειαν, δι᾿ ἔργων ἀγαθῶν.
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 11] Γυνὴ ἐν ἡσυχίᾳ μανθανέτω ἐν πάσῃ ὑποταγῇ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 12] Γυναικὶ δὲ διδάσκειν οὐκ ἐπιτρέπω, οὐδὲ αὐθεντεῖν ἀνδρός, ἀλλ᾿ εἶναι ἐν ἡσυχίᾳ.
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 13] Ἀδὰμ γὰρ πρῶτος ἐπλάσθη, εἶτα Εὔα·
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 14] καὶ Ἀδὰμ οὐκ ἠπατήθη, ἡ δὲ γυνὴ ἀπατηθεῖσα ἐν παραβάσει γέγονε·
[GRCGTR | EL | NT | 1 Timothy | Chapter 2 | Verse 15] σωθήσεται δὲ διὰ τῆς τεκνογονίας, ἐὰν μείνωσιν ἐν πίστει καὶ ἀγάπῃ καὶ ἁγιασμῷ μετὰ σωφροσύνης.
