[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 1] वह कलाम जो ख़ुदावन्द की तरफ़ से यरमियाह पर नाज़िल हुआ
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 2] “ख़ुदावन्द इस्राईल का ख़ुदा यूँ फ़रमाता है कि: यह सब बातें जो मैंने तुझ से कहीं किताब में लिख।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 3] क्यूँकि देख, वह दिन आते हैं, ख़ुदावन्द फ़रमाता है, कि मैं अपनी क़ौम इस्राईल और यहूदाह की ग़ुलामी को ख़त्म कराऊँगा, ख़ुदावन्द फ़रमाता है; और मैं उनको उस मुल्क में वापस लाऊँगा, जो मैंने उनके बाप — दादा को दिया, और वह उसके मालिक होंगे।”
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 4] और वह बातें जो ख़ुदावन्द ने इस्राईल और यहूदाह के बारे में फ़रमाईं यह हैं:
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 5] कि ख़ुदावन्द यूँ फ़रमाता है कि: हम ने हड़बड़ी की आवाज़ सुनी, ख़ौफ़ है और सलामती नहीं।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 6] अब पूछो और देखो, क्या कभी किसी मर्द को पैदाइश का दर्द लगा? क्या वजह है कि मैं हर एक मर्द को ज़च्चा की तरह अपने हाथ कमर पर रख्खे देखता हूँ और सबके चेहरे ज़र्द हो गए हैं?
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 7] अफ़सोस! वह दिन बड़ा है, उसकी मिसाल नहीं; वह या'क़ूब की मुसीबत का वक़्त है, लेकिन वह उससे रिहाई पाएगा।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 8] और उस रोज़ यूँ होगा, रब्ब — उल — अफ़वाज फ़रमाता है, कि मैं उसका जूआ तेरी गर्दन पर से तोड़ूँगा और तेरे बन्धनों को खोल डालूँगा; और बेगाने तुझ से फिर ख़िदमत न कराएँगे।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 9] लेकिन वह ख़ुदावन्द अपने ख़ुदा की और अपने बादशाह दाऊद की, जिसे मैं उनके लिए खड़ा करूँगा, ख़िदमत करेंगे।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 10] इसलिए ऐ मेरे ख़ादिम या'क़ूब, हिरासान न हो, ख़ुदावन्द फ़रमाता है; और ऐ इस्राईल, घबरा न जा; क्यूँकि देख, मैं तुझे दूर से और तेरी औलाद को ग़ुलामी की सरज़मीन से छुड़ाऊँगा; और या'क़ूब वापस आएगा और आराम — ओ — राहत से रहेगा और कोई उसे न डराएगा।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 11] क्यूँकि मैं तेरे साथ हूँ, ख़ुदावन्द फ़रमाता है, ताकि तुझे बचाऊँ:अगरचे मैं सब क़ौमों को जिनमें मैंने तुझे तितर — बितर किया तमाम कर डालूँगा तोभी तुझे तमाम न करूँगा; बल्कि तुझे मुनासिब तम्बीह करूँगा और हरगिज़ बे सज़ा न छोड़ूँगा।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 12] क्यूँकि ख़ुदावन्द यूँ फ़रमाता है कि: तेरी ख़स्तगी ला — इलाज और तेरा ज़ख़्म सख़्त दर्दनाक है।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 13] तेरा हिमायती कोई नहीं जो तेरी मरहम पट्टी करे तेरे पास कोई शिफ़ा बख़्श दवा नहीं।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 14] तेरे सब चाहने वाले तुझे भूल गए, वह तेरे तालिब नहीं हैं, हक़ीक़त में मैंने तुझे दुश्मन की तरह घायल किया और संग दिल की तरह तादीब की; इसलिए कि तेरी बदकिरदारी बढ़ गई और तेरे गुनाह ज़्यादा हो गए।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 15] तू अपनी ख़स्तगी की वजह से क्यूँ चिल्लाती है, तेरा दर्द ला — इलाज है; इसलिए कि तेरी बदकिरदारी बहुत बढ़ गई और तेरे गुनाह ज़्यादा हो गए, मैंने तुझसे ऐसा किया।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 16] तो भी वह सब जो तुझे निगलते हैं, निगले जाएँगे, और तेरे सब दुश्मन ग़ुलामी में जाएँगे, और जो तुझे ग़ारत करते हैं, ख़ुद ग़ारत होंगे; और मैं उन सबको जो तुझे लूटते हैं लुटा दूँगा।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 17] क्यूँकि मैं फिर तुझे तंदुरुस्ती और तेरे ज़ख्मों से शिफ़ा बख़्शूँगा ख़ुदावन्द फ़रमाता है क्यूँकि उन्होंने तेरा मरदूदा रख्खा कि यह सिय्यून है, जिसे कोई नहीं पूछता
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 18] “ख़ुदावन्द यूँ फ़रमाता है कि: देख, मैं या'क़ूब के ख़ेमों की ग़ुलामी को ख़त्म कराऊँगा, और उसके घरों पर रहमत करूँगा; और शहर अपने ही पहाड़ पर बनाया जाएगा और क़स्र अपने ही मक़ाम पर आबाद हो जाएगा।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 19] और उनमें से शुक्रगुज़ारी और ख़ुशी करने वालों की आवाज़ आएगी; और मैं उनको अफ़ज़ाइश बख़्शूँगा, और वह थोड़े न होंगे; मैं उनको शौकत बख़्शूँगा और वह हक़ीर न होंगे।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 20] और उनकी औलाद ऐसी होगी जैसी पहले थी, और उनकी जमा'अत मेरे हुज़ूर में क़ाईम होगी, और मैं उन सबको जो उन पर ज़ुल्म करें सज़ा दूँगा।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 21] और उनका हाकिम उन्हीं में से होगा, और उनका फ़रमॉरवाँ उन्हीं के बीच से पैदा होगा और मैं उसे क़ुर्बत बख़्शूँगा, और वह मेरे नज़दीक आएगा; क्यूँकि कौन है जिसने ये जुर'अत की हो कि मेरे पास आए? ख़ुदावन्द फ़रमाता है।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 22] और तुम मेरे लोग होगे, और मैं तुम्हारा ख़ुदा हूँगा।”
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 23] देख, ख़ुदावन्द के ग़ज़बनाक ग़ुस्से की आँधी चलती है! यह तेज़ तूफ़ान शरीरों के सिर पर टूट पड़ेगा।
[IRV | UR | OT | Jeremiah | Chapter 30 | Verse 24] जब तक यह सब कुछ न हो ले, और ख़ुदावन्द अपने दिल के मक़सद पूरे न कर ले, उसका ग़ज़बनाक ग़ुस्सा ख़त्म न होगा; तुम आख़िरी दिनों में इसे समझोगे।
