[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 1] ख़ुदावन्द यूँ फ़रमाता है कि “शाह — ए — यहूदाह के घर को जा, और वहाँ ये कलाम सुना
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 2] और कह, 'ऐ शाह — ए — यहूदाह जो दाऊद के तख़्त पर बैठा है, ख़ुदावन्द का कलाम सुन, तू और तेरे मुलाज़िम और तेरे लोग जो इन दरवाज़ों से दाख़िल होते हैं।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 3] ख़ुदावन्द यूँ फ़रमाता है कि: 'अदालत और सदाक़त के काम करो, और मज़लूम को ज़ालिम के हाथ से छुड़ाओ; और किसी से बदसुलूकी न करो, और मुसाफ़िर — ओ — यतीम और बेवा पर ज़ुल्म न करो, इस जगह बेगुनाह का ख़ून न बहाओ।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 4] क्यूँकि अगर तुम इस पर 'अमल करोगे, तो दाऊद के जानशीन बादशाह रथों पर और घोड़ों पर सवार होकर इस घर के फाटकों से दाख़िल होंगे, बादशाह और उसके मुलाज़िम और उसके लोग।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 5] लेकिन अगर तुम इन बातों को न सुनोगे, तो ख़ुदावन्द फ़रमाता है, मुझे अपनी ज़ात की क़सम यह घर वीरान हो जाएगा
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 6] क्यूँकि शाह — ए — यहूदाह के घराने के बारे में ख़ुदावन्द यूँ फ़रमाता है कि: अगरचे तू मेरे लिए जिल'आद है और लुबनान की चोटी, तो भी मैं यक़ीनन तुझे उजाड़ दूंगा और ग़ैर — आबाद शहर बनाऊँगा।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 7] और मैं तेरे ख़िलाफ़ ग़ारतगरों को मुक़र्रर करूँगा, हर एक को उसके हथियारों के साथ, और वह तेरे नफ़ीस देवदारों को काटेंगे और उनको आग में डालेंगे।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 8] और बहुत सी क़ौमें इस शहर की तरफ़ से गुज़रेंगी और उनमें से एक दूसरे से कहेगा कि 'ख़ुदावन्द ने इस बड़े शहर से ऐसा क्यूँ किया है?”
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 9] तब वह जवाब देंगे, इसलिए कि उन्होंने ख़ुदावन्द अपने ख़ुदा के 'अहद को छोड़ दिया और ग़ैरमा'बूदों की इबादत और परस्तिश की।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 10] मुर्दे पर न रो, न नौहा करो, मगर उस पर जो चला जाता है ज़ार — ज़ार नाला करो, क्यूँकि वह फिर न आएगा, न अपने वतन को देखेगा।
[IRV | UR | OT | Jeremiah | Chapter 22 | Verse 11] क्यूँकि शाह — ए — यहूदाह सलूम — बिन — यूसियाह के बारे में जो अपने बाप यूसियाह का जानशीन हुआ और इस जगह से चला गया, ख़ुदावन्द यूँ फ़रमाता है कि “वह फिर इस तरफ़ न आएगा;
