[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 1] Adam, Sheth, Enosh,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 2] Kenan, Mahalaleel, Jered,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 3] Henoch, Methuselah, Lamech,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 4] Noah, Shem, Ham, and Japheth.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 5] The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 6] And the sons of Gomer; Ashchenaz, and Riphath, and Togarmah.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 7] And the sons of Javan; Elisha, and Tarshish, Kittim, and Dodanim.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 8] The sons of Ham; Cush, and Mizraim, Put, and Canaan.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 9] And the sons of Cush; Seba, and Havilah, and Sabta, and Raamah, and Sabtecha. And the sons of Raamah; Sheba, and Dedan.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 10] And Cush begat Nimrod. He began to be mighty upon the earth.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 11] And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 12] And Pathrusim, and Casluhim, (of whom came the Philistines,) and Caphthorim.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 13] And Canaan begat Zidon his first-born, and Heth,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 14] The Jebusite also, and the Amorite, and the Girgashite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 15] And the Hivite, and the Archite, and the Sinite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 16] And the Arvadite, and the Zemarite, and the Hamathite.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 17] The sons of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 18] And Arphaxad begat Shelah, and Shelah begat Eber.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 19] And to Eber were born two sons: the name of the one was Peleg; because in his days the earth was divided: and his brother's name was Joktan.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 20] And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 21] Hadoram also, and Uzal, and Diklah,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 22] And Ebal, and Abimael, and Sheba,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 23] And Ophir, and Havilah, and Jobab. All these were the sons of Joktan.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 24] Shem, Arphaxad, Shelah,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 25] Eber, Peleg, Reu,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 26] Serug, Nahor, Terah,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 27] Abram; the same is Abraham.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 28] The sons of Abraham; Isaac, and Ishmael.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 29] These are their generations. The first-born of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 30] Mishma, and Dumah, Massa, Hadad, and Tema,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 31] Jetur, Naphish, and Kedemah. These are the sons of Ishmael.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 32] Now the sons of Keturah, Abraham's concubine: she bore Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan; Sheba, and Dedan.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 33] And the sons of Midian; Ephah, and Epher, and Henoch, and Abida, and Eldaah. All these are the sons of Keturah,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 34] And Abraham begat Isaac. The sons of Isaac; Esau and Israel.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 35] The sons of Esau; Eliphaz, Reuel, and Jeush, and Jaalam, and Korah.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 36] The sons of Eliphaz; Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 1 | Verse 37] The sons of Reuel; Nahath, Zerah, Shammah, and Mizzah.
